rowID;Region;Jurisdiction;Subregion.Oaxaca.;Location;Year;Source;AGN_Type;AGN_ID
49;State of Mexico, fringes of Morelos and Guerrero;Tenango del Valle (see also Ocuioaca under Metepec) ;;Calimaya,;1803;AGN Criminal 123 exp. 28;Criminal;123
50;State of Mexico, fringes of Morelos and Guerrero;Tenango del Valle (see also Ocuioaca under Metepec) ;;Tenango;1762;AGN Criminal 123 exp. 21 (six tumultos mentioned);Criminal;123
51;State of Mexico, fringes of Morelos and Guerrero;Tenango del Valle (see also Ocuioaca under Metepec) ;;Ozolotepec;1799;AGN Indios 70 exp. 69;Indios;70
52;State of Mexico, fringes of Morelos and Guerrero;Lerma;;San Miguel Amealco;1733;AGN Criminal 169, fols. 103-143 ;Criminal;169
53;State of Mexico, fringes of Morelos and Guerrero;Temascaltepec and Sultepec;;Tescaticlan;1714;AGN Criminal 180, fols. 50-61 ;Criminal;180
54;State of Mexico, fringes of Morelos and Guerrero;Temascaltepec and Sultepec;;Sultepec;1764;AGN Criminal 210, fok 243r ;Criminal;210
55;State of Mexico, fringes of Morelos and Guerrero;Temascaltepec and Sultepec;;Pozontepec;1758;AGN Criminal 210, fols. 189-205;Criminal;210
56;State of Mexico, fringes of Morelos and Guerrero;Ichcateopan ;;Yzcatepec;1787;AGN Criminal 81, fols. 238-300 ;Criminal;81
57;State of Mexico, fringes of Morelos and Guerrero;Ichcateopan ;;Aclahuistlan;1711;AGN Criminal 166, fols. 320-353;Criminal;166
58;State of Mexico, fringes of Morelos and Guerrero;Malinalco;;Malinalco;1803;AGN Criminal 191 exp. 1 ;Criminal;191
59;State of Mexico, fringes of Morelos and Guerrero;Malinalco;;Malinalco;1818;AGN Civil 2292 exps. 7-8 ;Civil;2292
60;State of Mexico, fringes of Morelos and Guerrero;Malinalco;;Azingo;1786;AGN Civil 865 exp. 8;Civil;865
61;State of Mexico, fringes of Morelos and Guerrero;Malinalco;;Ocuila;1772;AGN Civil 865 exp. g;Civil;865
62;State of Mexico, fringes of Morelos and Guerrero;Malinalco;;Tenancingo;1797;AGN Criminal 15 exps. 2-3;Criminal;15
63;State of Mexico, fringes of Morelos and Guerrero;Malinalco;;Zumpahuacan;1808;AGN Criminal 17 exp. 11;Criminal;17
