rowID;ref_Label;gz_id;lugar_nombre;lugar_variantes;toponym-match;toponym-score;saint-match;category-match;territories-match;phase-1-outcome;ref_Region;ref_Jurisdiccion;ref_Obispado;ref_START;ref_END;ref_Pais;ref_Adm1;manual_region;manual_province;manual_district;manual_ciudad_villa_only
23;Almoloya;1001171;San Mateo Almoloya;;toponym_label;1.0;saint_null;category_null;matched;auto_adopt;NES;Metepec;;1792.0;1792.0;MEX;Mexico;;;;False
39;Amanalco;1001173;San Jeronimo Amanalco;;toponym_label;1.0;saint_null;category_null;matched;auto_adopt;NES;Metepec;;1792.0;1792.0;MEX;Mexico;;;;False
26;Metepec;1000094;San Juan Bautista Metepec;;toponym_label;1.0;saint_null;category_null;matched;auto_adopt;NES;Metepec;;1772.0;1772.0;MEX;Mexico;;;;False
30;Ixtlahuaca;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
37;Los Reyes, district of Xocotitlán;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
25;Metepec;1000094;San Juan Bautista Metepec;;toponym_label;1.0;saint_null;category_null;matched;auto_adopt;NES;Metepec;;1735.0;1735.0;MEX;Mexico;;;;False
36;San Antonio;1001112;San Antonio;;toponym_label;1.0;saint_mismatch;category_null;matched;deleted_candidate;NES;Metepec;;1735.0;1735.0;MEX;Mexico;;;;False
36;San Antonio;1001187;San Antonio De La Laguna;San Antonio de la Laguna;toponym_label;1.0;saint_mismatch;category_null;matched;deleted_candidate;NES;Metepec;;1735.0;1735.0;MEX;Mexico;;;;False
31;Atlacomulco;1001087;Guadalupe Atlacomulco;;toponym_label;1.0;saint_null;category_null;matched;auto_adopt;NES;Metepec;;1733.0;1733.0;MEX;Mexico;;;;False
24;Metepec;1000094;San Juan Bautista Metepec;;toponym_label;1.0;saint_null;category_null;matched;auto_adopt;NES;Metepec;;1733.0;1733.0;MEX;Mexico;;;;False
21;Yolotepec;1001563;San Bartolome Oxolotepec;Otzolotepec @;toponym_levenshtein;0.89;saint_null;category_null;matched;adopted_candidate;NES;Metepec;;1733.0;1733.0;MEX;Mexico;;;;False
22;San Felipe, district of Ixtlahuaca;1001129;Santa Ana Ixtlahuaca;Ixtlahuaca;toponym_levenshtein;1.0;saint_mismatch;category_null;matched;deleted_candidate;NES;Metepec;;1730.0;1730.0;MEX;Mexico;;;;False
20;Tarasquillo;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
29;Ixtlahuaca;1000091;San Francisco Ixtlahuaca;;toponym_label;1.0;saint_null;category_null;matched;auto_adopt;NES;Metepec;;1727.0;1727.0;MEX;Mexico;;;;False
19;Tarasquillo;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
40;San Lorenzo and Santa Maria Guisisilapa;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
35;San Andres Mexicalcingo;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
38;San Mateo Atengo;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
54;Sultepec;1001480;Sultepec;;toponym_label;1.0;saint_null;category_null;matched;deleted_candidate;NES;Temascaltepec and Sultepec;;1764.0;1764.0;MEX;Mexico;;;;False
55;Pozontepec;1001508;Asuncion Potzontepec;;toponym_label;1.0;saint_null;category_null;matched;deleted_candidate;NES;Temascaltepec and Sultepec;;1758.0;1758.0;MEX;Mexico;;;;False
53;Tescaticlan;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
49;Calimaya,;1001543;San Pedro y San Pablo Calimaya;;toponym_label;1.0;saint_null;category_null;matched;auto_adopt;NES;Tenango del Valle (see also Ocuioaca under Metepec) ;;1803.0;1803.0;MEX;Mexico;;;;False
51;Ozolotepec;1001563;San Bartolome Oxolotepec;Otzolotepec @;toponym_levenshtein;1.0;saint_null;category_null;matched;deleted_candidate;NES;Tenango del Valle (see also Ocuioaca under Metepec) ;;1799.0;1799.0;MEX;Mexico;;;;False
48;Quintana, district of Ozolotepec;1001563;San Bartolome Oxolotepec;Otzolotepec @;toponym_levenshtein;0.91;saint_null;category_null;matched;deleted_candidate;NES;Tenango del Valle (see also Ocuioaca under Metepec) ;;1783.0;1783.0;MEX;Mexico;;;;False
50;Tenango;1000102;Asuncion Tenango del Valle;Teutenango;toponym_levenshtein;1.0;saint_null;category_null;matched;deleted_candidate;NES;Tenango del Valle (see also Ocuioaca under Metepec) ;;1762.0;1762.0;MEX;Mexico;;;;False
