rowID;ref_Label;gz_id;toponym-match;toponym-score;saint-match;category-match;territories-match;phase-1-outcome;ref_Region;ref_START;ref_END;manual_region;manual_province;manual_district;manual_ciudad_villa_only
60;Durango;;null;0;null;null;no_matches_all_levels;relegated;GDJ;1111;9999;;;;False
61;Guadalajara;;null;0;null;null;no_matches_all_levels;relegated;GDJ;1111;9999;;;;False
62;Rosario;;null;0;null;null;no_matches_all_levels;relegated;GDJ;1111;9999;;;;False
63;Saltillo;;null;0;null;null;no_matches_all_levels;relegated;GDJ;1111;9999;;;;False
64;San Blas;;null;0;null;null;no_matches_all_levels;relegated;GDJ;1111;9999;;;;False
65;Sombrerete;;null;0;null;null;no_matches_all_levels;relegated;GDJ;1111;9999;;;;False
66;Acajutla;;null;0;null;null;no_matches_all_levels;relegated;GUA;1111;9999;;;;False
67;Cartago;;null;0;null;null;no_matches_all_levels;relegated;GUA;1111;9999;;;;False
68;Chiapa;;null;0;null;null;no_matches_all_levels;relegated;GUA;1111;9999;;;;False
69;Chiapa;;null;0;null;null;no_matches_all_levels;relegated;GUA;1111;9999;;;;False
70;Chiapas;;null;0;null;null;no_matches_all_levels;relegated;GUA;1111;9999;;;;False
71;Honduras;;null;0;null;null;no_matches_all_levels;relegated;GUA;1111;9999;;;;False
72;Honduras;;null;0;null;null;no_matches_all_levels;relegated;GUA;1111;9999;;;;False
73;Comayagua;;null;0;null;null;no_matches_all_levels;relegated;GUA;1111;9999;;;;False
74;Granada;;null;0;null;null;no_matches_all_levels;relegated;GUA;1111;9999;;;;False
75;Guatemala;;null;0;null;null;no_matches_all_levels;relegated;GUA;1111;9999;;;;False
76;León;;null;0;null;null;no_matches_all_levels;relegated;GUA;1111;9999;;;;False
77;Nueva Segovia;;null;0;null;null;no_matches_all_levels;relegated;GUA;1111;9999;;;;False
78;San Pedro Sula;;null;0;null;null;no_matches_all_levels;relegated;GUA;1111;9999;;;;False
79;Sonsonate;;null;0;null;null;no_matches_all_levels;relegated;GUA;1111;9999;;;;False
80;Tegucigalpa;;null;0;null;null;no_matches_all_levels;relegated;GUA;1111;9999;;;;False
81;Acapulco;;null;0;null;null;no_matches_all_levels;relegated;NES;1111;9999;;;;False
82;Campeche;;null;0;null;null;no_matches_all_levels;relegated;NES;1111;9999;;;;False
83;Guanajuato;;null;0;null;null;no_matches_all_levels;relegated;NES;1111;9999;;;;False
84;Mérida;;null;0;null;null;no_matches_all_levels;relegated;NES;1111;9999;;;;False
85;México;;null;0;null;null;no_matches_all_levels;relegated;NES;1111;9999;;;;False
86;Michoacán;;null;0;null;null;no_matches_all_levels;relegated;NES;1111;9999;;;;False
87;Oaxaca;;null;0;null;null;no_matches_all_levels;relegated;NES;1111;9999;;;;False
88;Pachuca;;null;0;null;null;no_matches_all_levels;relegated;NES;1111;9999;;;;False
89;Panuco;;null;0;null;null;no_matches_all_levels;relegated;NES;1111;9999;;;;False
90;Perote;;null;0;null;null;no_matches_all_levels;relegated;NES;1111;9999;;;;False
91;Presidio del Carmen;;null;0;null;null;no_matches_all_levels;relegated;NES;1111;9999;;;;False
92;Presidio del Carmen;;null;0;null;null;no_matches_all_levels;relegated;NES;1111;9999;;;;False
93;Puebla;;null;0;null;null;no_matches_all_levels;relegated;NES;1111;9999;;;;False
94;Puebla;;null;0;null;null;no_matches_all_levels;relegated;NES;1111;9999;;;;False
95;San Luis Potosí;;null;0;null;null;no_matches_all_levels;relegated;NES;1111;9999;;;;False
96;Tabasco;;null;0;null;null;no_matches_all_levels;relegated;NES;1111;9999;;;;False
97;Veracruz;;null;0;null;null;no_matches_all_levels;relegated;NES;1111;9999;;;;False
98;Zacatecas;;null;0;null;null;no_matches_all_levels;relegated;GDJ;1111;9999;;;;False
99;Zimapan;;null;0;null;null;no_matches_all_levels;relegated;NES;1111;9999;;;;False
100;Veragua;;null;0;null;null;no_matches_all_levels;relegated;NGR;1111;9999;;;;False
101;Arequipa;;null;0;null;null;no_matches_all_levels;relegated;PER;1111;9999;;;;False
102;Arica;;null;0;null;null;no_matches_all_levels;relegated;PER;1111;9999;;;;False
103;Cailloma;;null;0;null;null;no_matches_all_levels;relegated;PER;1111;9999;;;;False
