ref_Region;internalID;Label;Tipo;Cardinalidad;Rango;ref_Label;ref_START;START_ex;ref_END;END_ex;Nota;Fuente;Orden;Superior;Principal;Domain;rowID
NES;Correo_1000108;Estafeta de correo de Tixtla;Estafeta de correo;Estafeta;4;Tixtla;1111;;9999;;;AGI_Correos;;Mexico;Mexico;Correo;314
NES;Correo_1000109;Estafeta de correo de San José de Toluca;Estafeta de correo;Estafeta;4;San José de Toluca;1111;;9999;;;AGI_Correos;;Mexico;Mexico;Correo;315
NES;Correo_1000111;Estafeta de correo de Tulancingo;Estafeta de correo;Estafeta;4;Tulancingo;1111;;9999;;;AGI_Correos;;Mexico;Mexico;Correo;316
NES;Correo_1000113;Estafeta de correo de Yahualica;Estafeta de correo;Estafeta;4;Yahualica;1111;;9999;;;AGI_Correos;;Mexico;Mexico;Correo;317
NES;Correo_1000114;Estafeta de correo de Tecpan;Estafeta de correo;Estafeta;4;Tecpan;1111;;9999;;;AGI_Correos;;Mexico;Mexico;Correo;318
NES;Correo_1000117;Estafeta de correo de Zimapan;Estafeta de correo;Estafeta;4;Zimapan;1111;;9999;;;AGI_Correos;;Mexico;Mexico;Correo;319
NES;Correo_1000119;Estafeta de correo de Angamacutiro;Estafeta de correo;Estafeta;4;Angamacutiro;1111;;9999;;;AGI_Correos;;Mexico;Mexico;Correo;320
NES;Correo_1000120;Estafeta de correo de Apatzingan;Estafeta de correo;Estafeta;4;Apatzingan;1111;;9999;;;AGI_Correos;;Mexico;Mexico;Correo;321
NES;Correo_1000121;Estafeta de correo de Ario;Estafeta de correo;Estafeta;4;Ario;1111;;9999;;;AGI_Correos;;Mexico;Mexico;Correo;322
NES;Correo_1000125;Estafeta de correo de San Diego de Cocupao;Estafeta de correo;Estafeta;4;San Diego de Cocupao;1111;;9999;;;AGI_Correos;;Mexico;Mexico;Correo;323
NES;Correo_1000126;Estafeta de correo de Cuitzeo de La Laguna;Estafeta de correo;Estafeta;4;Cuitzeo de La Laguna;1111;;9999;;;AGI_Correos;;Mexico;Mexico;Correo;324
NES;Correo_1000127;Estafeta de correo de Erongaricuaro;Estafeta de correo;Estafeta;4;Erongaricuaro;1111;;9999;;;AGI_Correos;;Mexico;Mexico;Correo;325
NES;Correo_1000131;Estafeta de correo de Indaparapeo;Estafeta de correo;Estafeta;4;Indaparapeo;1111;;9999;;;AGI_Correos;;Mexico;Mexico;Correo;326
NES;Correo_1000132;Estafeta de correo de Jiquilpan;Estafeta de correo;Estafeta;4;Jiquilpan;1111;;9999;;;AGI_Correos;;Mexico;Mexico;Correo;327
NES;Correo_1000135;Estafeta de correo de Pátzcuaro;Estafeta de correo;Estafeta;4;Pátzcuaro;1111;;9999;;;AGI_Correos;;Mexico;Mexico;Correo;328
NES;Correo_1000136;Estafeta de correo de Puruandiro;Estafeta de correo;Estafeta;4;Puruandiro;1111;;9999;;;AGI_Correos;;Mexico;Mexico;Correo;329
NES;Correo_1000137;Estafeta de correo de Santa Clara de los Cobres;Estafeta de correo;Estafeta;4;Santa Clara de los Cobres;1111;;9999;;;AGI_Correos;;Mexico;Mexico;Correo;330
NES;Correo_1000139;Estafeta de correo de San Jerónimo de Tacambaro;Estafeta de correo;Estafeta;4;San Jerónimo de Tacambaro;1111;;9999;;;AGI_Correos;;Mexico;Mexico;Correo;331
NES;Correo_1000140;Estafeta de correo de Taretan;Estafeta de correo;Estafeta;4;Taretan;1111;;9999;;;AGI_Correos;;Mexico;Mexico;Correo;332
NES;Correo_1000142;Estafeta de correo de Tlalpujahua;Estafeta de correo;Estafeta;4;Tlalpujahua;1111;;9999;;;AGI_Correos;;Mexico;Mexico;Correo;333
NES;Correo_1000143;Estafeta de correo de Tlazazalca;Estafeta de correo;Estafeta;4;Tlazazalca;1111;;9999;;;AGI_Correos;;Mexico;Mexico;Correo;334
NES;Correo_1000144;Estafeta de correo de Uruapan;Estafeta de correo;Estafeta;4;Uruapan;1111;;9999;;;AGI_Correos;;Mexico;Mexico;Correo;335
NES;Correo_1000145;Estafeta de correo de San Martín de Zamora;Estafeta de correo;Estafeta;4;San Martín de Zamora;1111;;9999;;;AGI_Correos;;Mexico;Mexico;Correo;336
NES;Correo_1000146;Estafeta de correo de Zinapecuaro;Estafeta de correo;Estafeta;4;Zinapecuaro;1111;;9999;;;AGI_Correos;;Mexico;Mexico;Correo;337
NES;Correo_1000147;Estafeta de correo de San Juan Zitácuaro;Estafeta de correo;Estafeta;4;San Juan Zitácuaro;1111;;9999;;;AGI_Correos;;Mexico;Mexico;Correo;338
PER;Puerto_6000021;Puerto de Arica;Armada del Mar del Sur;Consular;3;Arica;1111;;9999;;Sólo se incorporó mandando plata a El Callao, no era destino de comercio de Europa.;Joseph de Veitia Linage, Norte de la Contratación de las Indias occidentales (Sevilla 1672);;;;Puerto;339
PER;Puerto_6000008;Puerto de El Callao;Armada del Mar del Sur;Consular;1;El Callao;1111;;9999;;;Joseph de Veitia Linage, Norte de la Contratación de las Indias occidentales (Sevilla 1672);;;;Puerto;340
QUI;Puerto_5600003;Puerto de Guayaquil;Armada del Mar del Sur;Consular;3;Guayaquil;1111;;9999;;Sólo se tocó a la vuelta, no era destino de comercio de Europa.;Interpolación;;;;Puerto;341
PER;Puerto_6000003;Puerto de Trujillo;Armada del Mar del Sur;Consular;3;Trujillo;1111;;9999;;Sólo se tocó a la vuelta, no era destino de comercio de Europa.;Joseph de Veitia Linage, Norte de la Contratación de las Indias occidentales (Sevilla 1672);;;;Puerto;342
PER;Puerto_6001392;Puerto de Paita;Armada del Mar del Sur;Consular;3;Paita;1111;;9999;;Sólo se tocó a la vuelta, no era destino de comercio de Europa, aunque en la ida a Callao era puerto de desembarque de pasajeros antes de continuar a El Callao, y en la vuelta se recogió plata.;Interpolación;;;;Puerto;343
NGR;Puerto_5000002;Puerto de Panamá;Armada del Mar del Sur;Consular;1;Panamá;1111;;9999;;;Joseph de Veitia Linage, Norte de la Contratación de las Indias occidentales (Sevilla 1672);;;;Puerto;344
CHL;Puerto_7000003;Puerto de Valparaíso;Armada del Mar del Sur;Consular;3;Valparaíso;1111;;9999;;Sólo se incorporó mandando mercancía a El Callao, no era destino de comercio de Europa.;Interpolación;;;;Puerto;345
SDO;Puerto_3000001;Puerto de Santo Domingo;Flota de Barlovento;Consular;2;Santo Domingo;1111;;9999;;;Joseph de Veitia Linage, Norte de la Contratación de las Indias occidentales (Sevilla 1672);;;;Puerto;346
NES;Puerto_1000226;Puerto de Campeche;Flota de Barlovento;Consular;2;Campeche;1111;;9999;;;Joseph de Veitia Linage, Norte de la Contratación de las Indias occidentales (Sevilla 1672);;;;Puerto;347
SDO;Puerto_3000003;Puerto de San Juan de Puerto Rico;Flota de Barlovento;Consular;2;San Juan de Puerto Rico;1111;;9999;;;Joseph de Veitia Linage, Norte de la Contratación de las Indias occidentales (Sevilla 1672);;;;Puerto;348
SDO;Puerto_3000005;Puerto de Santiago de Cuba;Flota de Barlovento;Consular;2;Santiago de Cuba;1111;;9999;;;Joseph de Veitia Linage, Norte de la Contratación de las Indias occidentales (Sevilla 1672);;;;Puerto;349
GUA;Puerto_2000732;Puerto de Santo Tomás de Castilla;Flota de Barlovento;Consular;2;Santo Tomás de Castilla;1111;;9999;;;Joseph de Veitia Linage, Norte de la Contratación de las Indias occidentales (Sevilla 1672);;;;Puerto;350
GUA;Puerto_2000009;Puerto de Trujillo;Flota de Barlovento;Consular;2;Trujillo;1111;;9999;;;Joseph de Veitia Linage, Norte de la Contratación de las Indias occidentales (Sevilla 1672);;;;Puerto;351
NES;Puerto_1000021;Puerto de Veracruz;Flota de Barlovento;Consular;1;Veracruz;1111;;9999;;;Joseph de Veitia Linage, Norte de la Contratación de las Indias occidentales (Sevilla 1672);;;;Puerto;352
NES;Puerto_1000021;Puerto de Veracruz;Flota de Barlovento;Consular;1;Veracruz;1111;;9999;;;Interpolación;;;;Puerto;353
SDO;Puerto_3000004;Puerto de La Habana;Flota de Barlovento y Tornaviaje;Consular;1;La Habana;1111;;9999;;;Joseph de Veitia Linage, Norte de la Contratación de las Indias occidentales (Sevilla 1672);;;;Puerto;354
NGR;Puerto_5000004;Puerto de Cartagena de Indias;Galeones de Tierrafirme;Consular;1;Cartagena de Indias;1111;;9999;;;Joseph de Veitia Linage, Norte de la Contratación de las Indias occidentales (Sevilla 1672);;;;Puerto;355
VEN;Puerto_4000005;Puerto de Cumaná;Galeones de Tierrafirme;Consular;2;Cumaná;1111;;9999;;;Joseph de Veitia Linage, Norte de la Contratación de las Indias occidentales (Sevilla 1672);;;;Puerto;356
VEN;Puerto_4000004;Puerto de isla de Trinidad;Galeones de Tierrafirme;Consular;2;isla de Trinidad;1111;;9999;;;Joseph de Veitia Linage, Norte de la Contratación de las Indias occidentales (Sevilla 1672);;;;Puerto;357
VEN;Puerto_4000393;Puerto de isla Margarita;Galeones de Tierrafirme;Consular;2;isla Margarita;1111;;9999;;;Joseph de Veitia Linage, Norte de la Contratación de las Indias occidentales (Sevilla 1672);;;;Puerto;358
VEN;Puerto_4000010;Puerto de La Guaira;Galeones de Tierrafirme;Consular;2;La Guaira;1111;;9999;;;Joseph de Veitia Linage, Norte de la Contratación de las Indias occidentales (Sevilla 1672);;;;Puerto;359
VEN;Puerto_4000007;Puerto de Maracaibo;Galeones de Tierrafirme;Consular;2;Maracaibo;1111;;9999;;;Joseph de Veitia Linage, Norte de la Contratación de las Indias occidentales (Sevilla 1672);;;;Puerto;360
NGR;Puerto_5000005;Puerto de Portobelo;Galeones de Tierrafirme;Consular;1;Portobelo;1111;;9999;;;Joseph de Veitia Linage, Norte de la Contratación de las Indias occidentales (Sevilla 1672);;;;Puerto;361
NGR;Puerto_5000012;Puerto de Riohacha;Galeones de Tierrafirme;Consular;2;Riohacha;1111;;9999;;;Joseph de Veitia Linage, Norte de la Contratación de las Indias occidentales (Sevilla 1672);;;;Puerto;362
NGR;Puerto_5000011;Puerto de Santa Marta;Galeones de Tierrafirme;Consular;2;Santa Marta;1111;;9999;;;Joseph de Veitia Linage, Norte de la Contratación de las Indias occidentales (Sevilla 1672);;;;Puerto;363
NES;Puerto_1000006;Puerto de Acapulco;Nao de china;Consular;1;Acapulco;1111;;9999;;;Interpolación;;;;Puerto;364
FIL;Puerto_1600001;Puerto de Manila;Nao de china;Consular;1;Manila;1111;;9999;;;Interpolación;;;;Puerto;365
SDO;Puerto_3000004;Puerto de La Habana;Puerto mayor;Comercio libre;1;La Habana;1111;;9999;;;Interpolación;;;;Puerto;366
PER;Puerto_6000021;Puerto de Arica;Puerto mayor;Comercio libre;1;Arica;1111;;9999;;;Reglamento y aranceles reales para el comercio libre de España a Indias (Madrid 1778), pp. 5-6.;;;;Puerto;367
RPL;Puerto_9000001;Puerto de Buenos Aires;Puerto mayor;Comercio libre;1;Buenos Aires;1111;;9999;;;Reglamento y aranceles reales para el comercio libre de España a Indias (Madrid 1778), pp. 5-6.;;;;Puerto;368
PER;Puerto_6000008;Puerto de El Callao;Puerto mayor;Comercio libre;1;El Callao;1111;;9999;;;Reglamento y aranceles reales para el comercio libre de España a Indias (Madrid 1778), pp. 5-6.;;;;Puerto;369
NGR;Puerto_5000004;Puerto de Cartagena de Indias;Puerto mayor;Comercio libre;1;Cartagena de Indias;1111;;9999;;;Reglamento y aranceles reales para el comercio libre de España a Indias (Madrid 1778), pp. 5-6.;;;;Puerto;370
NES;Correo_1000151;Estafeta de correo de Huajuapan;Estafeta de correo;Estafeta;4;Huajuapan;1111;;9999;;;AGI_Correos;;Veracruz;Veracruz;Correo;371
NES;Correo_1000156;Estafeta de correo de Jalapa;Estafeta de correo;Estafeta;4;Jalapa;1111;;9999;;;AGI_Correos;;Veracruz;Veracruz;Correo;372
NES;Correo_1000157;Estafeta de correo de Xamiltepeque;Estafeta de correo;Estafeta;4;Xamiltepeque;1111;;9999;;;AGI_Correos;;Veracruz;Veracruz;Correo;373
NES;Correo_1000160;Estafeta de correo de Quiechapan;Estafeta de correo;Estafeta;4;Quiechapan;1111;;9999;;;AGI_Correos;;Veracruz;Veracruz;Correo;374
NES;Correo_1000161;Estafeta de correo de Nochistlan;Estafeta de correo;Estafeta;4;Nochistlan;1111;;9999;;;AGI_Correos;;Mexico;Mexico;Correo;375
NES;Correo_1000162;Estafeta de correo de Tehuantepec;Estafeta de correo;Estafeta;4;Tehuantepec;1111;;9999;;;AGI_Correos;;Veracruz;Veracruz;Correo;376
NES;Correo_1000164;Estafeta de correo de Teutitlan;Estafeta de correo;Estafeta;4;Teutitlan;1111;;9999;;;AGI_Correos;;Veracruz;Veracruz;Correo;377
NES;Correo_1000167;Estafeta de correo de Teposcolula;Estafeta de correo;Estafeta;4;Teposcolula;1111;;9999;;;AGI_Correos;;Veracruz;Veracruz;Correo;378
NES;Correo_1000169;Estafeta de correo de Villa Alta;Estafeta de correo;Estafeta;4;Villa Alta;1111;;9999;;;AGI_Correos;;Veracruz;Veracruz;Correo;379
NES;Correo_1000171;Estafeta de correo de Acatlan;Estafeta de correo;Estafeta;4;Acatlan;1111;;9999;;Identidad incierta;AGI_Correos;;Puebla;Mexico;Correo;380
NES;Correo_1000172;Estafeta de correo de Amozoc;Estafeta de correo;Estafeta;4;Amozoc;1111;;9999;;;AGI_Correos;;Puebla;Mexico;Correo;381
NES;Correo_1000173;Estafeta de correo de Atlixco;Estafeta de correo;Estafeta;4;Atlixco;1111;;9999;;;AGI_Correos;;Puebla;Mexico;Correo;382
NES;Correo_1000174;Estafeta de correo de Chiautla;Estafeta de correo;Estafeta;4;Chiautla;1111;;9999;;;AGI_Correos;;Puebla;Mexico;Correo;383
NES;Correo_1000175;Estafeta de correo de Chietla;Estafeta de correo;Estafeta;4;Chietla;1111;;9999;;;AGI_Correos;;Puebla;Mexico;Correo;384
NES;Correo_1000176;Estafeta de correo de Cholula;Estafeta de correo;Estafeta;4;Cholula;1111;;9999;;;AGI_Correos;;Puebla;Mexico;Correo;385
NES;Correo_1000178;Estafeta de correo de Huayacocotla;Estafeta de correo;Estafeta;4;Huayacocotla;1111;;9999;;;AGI_Correos;;Mexico;Mexico;Correo;386
NES;Correo_1000179;Estafeta de correo de Huejotzingo;Estafeta de correo;Estafeta;4;Huejotzingo;1111;;9999;;;AGI_Correos;;Puebla;Mexico;Correo;387
NES;Correo_1000182;Estafeta de correo de Izúcar;Estafeta de correo;Estafeta;4;Izúcar;1111;;9999;;;AGI_Correos;;Puebla;Mexico;Correo;388
NES;Correo_1000183;Estafeta de correo de San Juan de los Llanos;Estafeta de correo;Estafeta;4;San Juan de los Llanos;1111;;9999;;;AGI_Correos;;Veracruz;Veracruz;Correo;389
NES;Correo_1000184;Estafeta de correo de Tecali;Estafeta de correo;Estafeta;4;Tecali;1111;;9999;;;AGI_Correos;;Puebla;Mexico;Correo;390
NES;Correo_1000185;Estafeta de correo de Tehuacan de las Granadas;Estafeta de correo;Estafeta;4;Tehuacan de las Granadas;1111;;9999;;;AGI_Correos;;Veracruz;Veracruz;Correo;391
NES;Correo_1000186;Estafeta de correo de Tepeaca;Estafeta de correo;Estafeta;4;Tepeaca;1111;;9999;;;AGI_Correos;;Puebla;Mexico;Correo;392
NES;Correo_1000187;Estafeta de correo de Tepexi de la Seda;Estafeta de correo;Estafeta;4;Tepexi de la Seda;1111;;9999;;;AGI_Correos;;Puebla;Mexico;Correo;393
NES;Correo_1000189;Estafeta de correo de Teziutlan;Estafeta de correo;Estafeta;4;Teziutlan;1111;;9999;;;AGI_Correos;;Veracruz;Veracruz;Correo;394
