ID;ref_Label;Entidad_ID;Nivel;ref_START;START_;END_;Productos;Fuente;Nota;rowID;ref_END
23;Bayamon;PTSDPRBY;Partido;1111;1775;1775;;Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).;;23;9999
24;Cabo Rojo;PTSDPRCR;Partido;1111;1775;1775;;Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).;;24;9999
25;Caguas;PTSDPRCG;Partido;1111;1775;1775;;Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).;;25;9999
26;Cangrejos;PTSDPRCJ;Partido;1111;1775;1775;;Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).;;26;9999
27;Cayey de Muesas;PTSDPRCY;Partido;1111;1775;1775;;Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).;;27;9999
28;Coamo;PTSDPRCO;Partido;1111;1775;1775;;Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).;;28;9999
29;Fajardo;PTSDPRFA;Partido;1111;1775;1775;;Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).;;29;9999
30;Guayama;PTSDPRGM;Partido;1111;1775;1775;;Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).;;30;9999
31;Guaynabo;PTSDPRGN;Partido;1111;1775;1775;;Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).;;31;9999
32;Loiza;PTSDPRLO;Partido;1111;1775;1775;;Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).;;32;9999
33;Mayagüez;PTSDPRMY;Partido;1111;1775;1775;;Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).;;33;9999
