rowID;ref_Label;gz_id;lugar_nombre;lugar_variantes;toponym-match;toponym-score;saint-match;category-match;territories-match;phase-1-outcome;ref_Region;ref_Jurisdiccion;ref_START;ref_END;manual_region;manual_province;manual_district;manual_ciudad_villa_only
56;Yzcatepec;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
57;Aclahuistlan;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
58;Malinalco;1001154;San Salvador Malinalco;;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Malinalco;1803.0;1803.0;;;;False
59;Malinalco;1001154;San Salvador Malinalco;;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Malinalco;1818.0;1818.0;;;;False
60;Azingo;1001147;San Juan Atzingo;;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Malinalco;1786.0;1786.0;;;;False
61;Ocuila;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
62;Tenancingo;1000093;San Francisco Tenancingo;;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Malinalco;1797.0;1797.0;;;;False
63;Zumpahuacan;1001167;Asuncion Zumpahuacan;;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Malinalco;1808.0;1808.0;;;;False
64;Tepoztlan;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
65;Achichipilco;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
66;Thetelzingo;1000899;San Nicolas Tetelcingo;;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Cuahutla;1778.0;1778.0;;;;False
67;Tlayacapan;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
68;Atlautla;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
69;Amecameca, barrio Tlailotlacan, ;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
70;Tlalmanalco;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
71;Tlalmanalco;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
72;Chimalhuacan;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
74;Misquiaguala;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
75;Axacuba;1001610;Santa Maria Ajacuba;;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Tetepango;1744.0;1744.0;;;;False
76;Tlapanaloya, district of Atitalaquia;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
77;Tetitlan ;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
78;Actopan;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
80;Meztitlan;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
81;Zozoquiapam;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
82;San Juan Meztitlan ;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
83;Coamelco;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
85;Real del Monte;1001381;Real del Monte;Real del Monte @;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Pachuca;1805.0;1805.0;;;;False
86;Pachuca;1000007;Real de Pachuca;Real de Pachuca @;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Pachuca;1771.0;1771.0;;;;False
88;Sabanilla;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
89;Donicha;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
90;Tulancingo;1000111;San Juan Bautista Tulancingo;;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Tulancingo;1769.0;1769.0;;;;False
92;San Francisco Soyalmiquilpa;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
93;San Pedro Donicaa;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
94;Santa Maria Tixmadeje;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
95;Alfajayuca;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
96;Zimapatongo;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
98;La Milpa;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
99;Dayonthe;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
101;San Andres Chalchicomula;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
102;Tetela de Xonotla;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
103;San Gabriel Chilac;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
104;Soquitlan;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
105;Izucar de Matamoros;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
108;Cuilapan;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
109;San Pablo Etla;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
110;Sant Cruz Amilpas;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
111;Sant Cruz Amilpas;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
112;Zaachila;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
113;Zaachila;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
114;Zaachila;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
115;Zaachila;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
116;Guelavia;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
117;Guelavia;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
118;Ocotlan;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
119;Soledad Etla;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
121;Zimatlan;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
122;Zimatlan;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
123;Zimatlan;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
124;San Antonio de la Cal;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
125;San Antonio de la Cal;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
126;Teotitlan del Valle;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
127;Teotitlan del Valle;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
128;Santa Lucia;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
129;Various towns;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
130;Abasolo;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
131;Tlalixtac;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
132;Trinidad de la Huertas;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
133;Macuilx6chitl;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
134;Tlapacoya;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
135;Lachixijo;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
136;San Pablo, district of Cuatro Villas;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
137;Ayoquesco;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
138;Achiutla;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
139;Petalcingo;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
140;Sujeto of Teposcolula;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
141;Xinastla;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
142;Santiago Tillo;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
143;Tamazulapa;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
144;Xaltepetongo;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
145;Tiltepec;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
146;Usila;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
147;Yanhuitlan;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
148;Chalcatongo;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
149;Chalcatongo;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
150;Achiutla;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
151;Yolomecatl;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
152;Yolomecatl;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
153;Santo Domingo Yodoino;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
154;San Andres Xinastla;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
155;Teozacualco ;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
156;San Miguel Malinaltepec;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
157;Theotila;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
158;Teposcolula;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
159;San Miguel el Grande;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
160;Coixtlahuaca;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
161;San Pedro Añañe;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
