Label;GZ_ID;ID;Contexto-Sup1;Contexto-Sup2;Contexto-Sup3;Contexto-Sup4;REG;Curatos;Anexos;Nucleos;Alcance-tipo;START_;END_;Fecha_Dato;Dato-tipo;Fuente;SUMAS;Nota;Total;Blancos;Indios;Mestizos;Castas;Indefinidos;Blancos-rel;Indios-rel;Mestizos-rel;Castas-rel;Indefinidos-rel;Esclavos;Esclavos-rel;Vecinos-doc;Tributarios-doc;Familias-doc;Total-doc;Eclesiasticos-t-doc;Blancos-t-doc;Indefinidos-t-doc;Indios-t-doc;Mestizos-t-doc;Castas-t-doc;Negros-t-doc;Esclavos-t-doc;Eclesiásticos-m-doc;Eclesiásticos-f-doc;Blancos-m-doc;Blancos-f-doc;Indefinidos-m-doc;Indefinidos-f-doc;Indios-m-doc;Indios-f-doc;Mestizos-m-doc;Mestizos-f-doc;Castas-m-doc;Castas-f-doc;Negros-m-doc;Negros-f-doc;Esclavos-m-doc;Esclavos-f-doc;Blancos-m-cas-doc;Blancos-m-sol-doc;Blancos-m-men-doc;Blancos-f-cas-doc;Blancos-f-sol-doc;Blancos-f-men-doc;Indios-m-cas-doc;Indios-m-sol-doc;Indios-m-men-doc;Indios-f-cas-doc;Indios-f-sol-doc;Indios-f-men-doc;Indefinido-m-cas;Indefinido-m-sol;Indefinido-m-men;Indefinido-f-cas;Indefinido-f-sol;Indefinido-f-men;Mestizos-m-cas-doc;Mestizos-m-sol-doc;Mestizos-m-men-doc;Mestizos-f-cas-doc;Mestizos-f-sol-doc;Mestizos-f-men-doc;Castas-m-cas-doc;Castas-m-sol-doc;Castas-m-men-doc;Castas-f-cas-doc;Castas-f-sol-doc;Castas-f-men-doc;Negros-m-cas-doc;Negros-m-sol-doc;Negros-m-men-doc;Negros-f-cas-doc;Negros-f-sol-doc;Negros-f-men-doc;Esclavos-m-cas-doc;Esclavos-m-sol-doc;Esclavos-m-men-doc;Esclavos-f-cas-doc;Esclavos-f-sol-doc;Esclavos-f-men-doc;Blancos-m-viudos;Blancos-f-viudos;Indios-m-viudos;Indios-f-viudos;Mestizos-m-viudos;Mestizos-f-viudos;Castas-m-viudos;Castas-f-viudos;Negros-m-viudos;Negros-f-viudos;Esclavos-m-viudos;Esclavos-f-viudos;Indefinido-m-viudos;Indefinido-f-viudos;Casas-doc;Familias-Blancos;Familias-Indios;Fam-Indefinidos;Fam-Mestizos;Fam-Castas;Fam-Negros;Fam-Esclavos;Etnia principal;Etnias;gz_id;lat_y;lon_x;cert
Sacava;;7396;;Sacava;Cochabamba;;CHA;;;;Curato;1777;1777;1778;original;;;;3719;271;1931;1517;0;0;7,286905082;51,92255983;40,79053509;0,0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;61;40;26;61;51;32;621;200;122;621;281;86;0;0;0;0;0;0;432;263;36;432;318;36;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000028;-17,4038860004385;-66,0403710003214;Buena
Quillacollo;;7397;;Quillacollo;Cochabamba;;CHA;;;;Curato;1777;1777;1778;original;;;;4171;1166;1338;1511;156;0;27,95492688;32,07863822;36,22632462;3,740110285;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;185;148;239;185;163;246;350;206;120;350;182;130;0;0;0;0;0;0;250;162;343;250;160;346;32;17;31;32;13;31;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000098;-17,3976030002782;-66,2816509996939;Buena
Passo;;7398;;Passo;Cochabamba;;CHA;;;;Curato;1777;1777;1778;original;;;;1916;177;1241;498;0;0;9,237995825;64,77035491;25,99164927;0,0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27;49;10;27;21;43;256;206;127;256;243;153;0;0;0;0;0;0;118;72;97;118;35;58;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9900990;-17,3372059103244;-66,2649404899116;Buena
Tiquipaya;;7399;;Tiquipaya;Cochabamba;;CHA;;;;Curato;1777;1777;1778;original;;;;2760;321;1863;519;57;0;11,63043478;67,5;18,80434783;2,065217391;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;64;54;43;64;62;34;448;166;335;448;189;277;0;0;0;0;0;0;110;52;93;110;56;98;9;10;18;9;4;7;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000099;-17,338071999723;-66,2188029999584;Buena
Sipesipe;;7400;;Sipesipe;Cochabamba;;CHA;;;;Curato;1777;1777;1778;original;;;;4270;609;2411;1174;76;0;14,26229508;56,46370023;27,4941452;1,779859485;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;95;99;130;95;96;94;439;290;478;439;296;469;0;0;0;0;0;0;231;141;225;231;151;195;19;11;10;19;9;8;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000097;-17,4535280000171;-66,3579340002539;Buena
Arque;;7401;;Arque;Cochabamba;;CHA;;;;Curato;1777;1777;1778;original;;;;4975;449;3436;1024;66;0;9,025125628;69,06532663;20,58291457;1,326633166;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;76;78;73;76;71;75;761;289;669;761;396;560;0;0;0;0;0;0;189;136;220;189;130;160;18;11;6;18;7;6;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000025;-17,8212085628249;-66,4042621015147;Buena
Caraza;;7402;;Caraza;Cochabamba;;CHA;;;;Curato;1777;1777;1778;original;;;;7238;794;4183;2215;46;0;10,96988118;57,79220779;30,60237635;0,635534678;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;122;140;141;122;125;144;761;523;793;761;576;769;0;0;0;0;0;0;397;299;391;397;314;417;5;13;8;5;9;6;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000085;-17,6260099995618;-66,257311999649;Buena
Colcha;;7403;;Colcha;Cochabamba;;CHA;;;;Curato;1777;1777;1778;original;;;;8070;249;6337;1484;0;0;3,085501859;78,52540273;18,38909542;0,0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49;56;14;49;61;20;1194;883;979;1194;1103;984;0;0;0;0;0;0;304;193;235;304;194;254;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000083;-17,8552075964533;-66,4197760786031;Buena
Machacamarca;;7404;;Machacamarca;Cochabamba;;CHA;;;;Curato;1777;1777;1778;original;;;;4186;372;3111;703;0;0;8,886765409;74,3191591;16,79407549;0,0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;68;56;54;68;66;60;750;282;513;750;289;527;0;0;0;0;0;0;153;81;137;153;67;112;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000089;-17,1217419997934;-66,8687309998357;Buena
Tani;;7405;;Tani;Cochabamba;;CHA;;;;Curato;1777;1777;1778;original;;;;5650;1222;2765;1403;260;0;21,62831858;48,9380531;24,83185841;4,601769912;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;201;273;241;201;105;201;608;289;499;608;292;469;0;0;0;0;0;0;327;153;226;327;162;208;52;37;51;52;36;32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000088;-17,2146239995978;-66,6553979996179;Buena
Capinota;;7406;;Capinota;Cochabamba;;CHA;;;;Curato;1777;1777;1778;original;;;;3895;66;3257;572;0;0;1,694480103;83,62002567;14,68549422;0,0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;11;11;11;13;9;931;403;472;931;307;213;0;0;0;0;0;0;102;105;93;102;91;79;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000084;-17,714704999636;-66,2628139997663;Buena
Choquecamata;;7407;;Choquecamata;Cochabamba;;CHA;;;;Curato;1777;1777;1778;original;;;;804;140;319;339;6;0;17,41293532;39,67661692;42,1641791;0,746268657;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27;27;23;27;17;19;72;36;60;72;34;45;0;0;0;0;0;0;66;43;53;66;62;49;1;3;0;1;1;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000096;-16,9150999996652;-66,6186999998051;Buena
Tapacarí;;7408;;Tapacarí;Cochabamba;;CHA;;;;Curato;1777;1777;1778;original;;;;7280;103;6593;584;0;0;1,414835165;90,56318681;8,021978022;0,0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;19;11;21;11;20;1414;1100;1003;1414;1050;612;0;0;0;0;0;0;139;94;67;139;78;67;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000029;-17,5163290002831;-66,6204060002367;Buena
Tarija;;7409;;Villa de Tarija;Chichas;;CHA;;;;Curato;1777;1777;1778;original;;;;8477;1427;2303;3192;1555;0;16,83378554;27,16763006;37,65483072;18,34375369;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;212;233;216;212;318;236;385;325;387;385;376;445;0;0;0;0;0;0;514;468;650;514;476;570;243;256;263;243;285;265;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000017;-21,5330259996501;-64,7360689996846;Buena
Concepción;;7410;;Concepción;Chichas;;CHA;;;;Curato;1777;1777;1778;original;;;;8728;1631;2304;2122;2671;0;18,68698442;26,39780018;24,31255729;30,60265811;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;221;304;304;221;312;269;320;438;445;320;419;362;0;0;0;0;0;0;279;397;382;279;415;370;445;458;473;445;374;476;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000186;-21,6959350002001;-64,1700369602375;Buena
San Lorenzo;;7411;;San Lorenzo;Chichas;;CHA;;;;Curato;1777;1777;1778;original;;;;5508;18;1648;2111;1731;0;0,326797386;29,92011619;38,32607117;31,42701525;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;6;2;2;4;2;102;326;389;102;336;393;0;0;0;0;0;0;202;464;496;202;250;497;433;446;160;433;136;123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000185;-21,4156230004011;-64,7508879995815;Buena
Tupiza;;7412;;Villa de Tupiza;Chichas;;CHA;;;;Curato;1777;1777;1778;original;;;;6616;608;3187;2580;241;0;9,189842805;48,17110036;38,99637243;3,642684401;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150;70;100;150;52;86;700;400;650;700;238;499;0;0;0;0;0;0;500;400;600;500;249;331;60;20;50;60;19;32;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000038;-21,4428390000198;-65,7205699997057;Buena
Calcha;;7413;;Calcha;Chichas;;CHA;;;;Curato;1777;1777;1778;original;;;;4079;371;2642;1024;42;0;9,095366511;64,77077715;25,1041922;1,029664133;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;80;76;33;80;77;25;555;411;294;555;507;320;0;0;0;0;0;0;209;155;129;209;200;122;5;5;5;5;12;10;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000165;-20,3687500001124;-65,4650700001803;Buena
Talina;;7414;;Talina;Chichas;;CHA;;;;Curato;1777;1777;1778;original;;;;5531;110;4160;888;373;0;1,988790454;75,21243898;16,05496294;6,74380763;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;14;18;20;16;22;1595;200;327;1595;100;343;0;0;0;0;0;0;250;100;120;250;70;98;98;28;70;98;20;59;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000163;-21,752700000005;-65,8243999998601;Buena
Santiago de Cotagayta;;7415;;Santiago de Cotagayta;Chichas;;CHA;;;;Curato;1777;1777;1778;original;;;;2131;335;1247;549;0;0;15,7203191;58,51712811;25,76255279;0,0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60;59;46;60;70;40;332;157;142;332;172;112;0;0;0;0;0;0;114;74;91;114;85;71;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000164;-20,8171999996802;-65,660899999935;Buena
Chocaya;;7416;;Chocaya;Chichas;;CHA;;;;Curato;1777;1777;1778;original;;;;2082;267;1653;149;13;0;12,82420749;79,39481268;7,156580211;0,624399616;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55;36;52;55;34;35;361;185;304;361;170;272;0;0;0;0;0;0;29;24;26;29;17;24;2;3;1;2;4;1;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000480;-20,9737999997701;-66,3314999998251;Buena
Matriz;;7417;;Matriz;Oruro;;CHA;;;;Barrio;1777;1777;1778;original;;;;3912;1828;0;1968;116;0;46,72801636;0,0;50,30674847;2,965235174;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;241;239;210;241;712;185;0;0;0;0;0;0;0;0;0;0;0;0;240;221;291;240;651;325;12;20;12;12;49;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000010;-17,9694660001558;-67,1143640002983;Buena
Rancheria;;7418;;Rancheria;Oruro;;CHA;;;;Barrio;1777;1777;1778;original;;;;1271;0;1271;0;0;0;0,0;100,0;0,0;0,0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;211;400;120;211;295;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000664;-17,9704319997369;-67,1130340001189;Buena
Oruro;;7419;;Oruro;Oruro;;CHA;;;;Nucleo;1777;1777;1778;original;;;;5183;1828;1271;1968;116;0;35,26914914;24,52247733;37,97028748;2,238086051;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;241;239;210;241;712;185;211;400;120;211;295;34;0;0;0;0;0;0;240;221;291;240;651;325;12;20;12;12;49;11;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000010;-17,9694660001558;-67,1143640002983;Buena
Porco;;7420;;Porco;Porco;;CHA;;;;Curato;1777;1777;1778;original;;;;1132;57;960;115;0;0;5,035335689;84,80565371;10,1590106;0,0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;7;13;12;5;8;221;109;185;221;79;145;0;0;0;0;0;0;24;14;20;24;9;24;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000170;-19,7988839996968;-65,988849000381;Buena
Puna;;7421;;Puna;Porco;;CHA;;;;Curato;1777;1777;1778;original;;;;5768;96;5022;620;30;0;1,664355062;87,0665742;10,74895978;0,520110957;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;10;10;23;22;8;1412;487;575;1412;595;541;0;0;0;0;0;0;223;48;54;223;32;40;9;5;6;9;1;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000016;-19,7944439999906;-65,5058330003926;Buena
Chaqui;;7422;;Chaqui;Porco;;CHA;;;;Curato;1777;1777;1778;original;;;;5676;114;5391;171;0;0;2,00845666;94,97885835;3,012684989;0,0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;14;24;20;8;28;1151;496;883;1151;628;1082;0;0;0;0;0;0;34;19;26;34;36;22;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000174;-19,5883160001832;-65,5614860001787;Buena
Cayza;;7423;;Cayza;Porco;;CHA;;;;Curato;1777;1777;1778;original;;;;5000;31;4359;610;0;0;0,62;87,18;12,2;0,0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;3;8;6;7;1;1032;534;530;1032;668;563;0;0;0;0;0;0;110;52;128;110;63;147;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000168;-20,00739999991;-65,6536999997551;Suficiente
Toropalca;;7424;;Toropalca;Porco;;CHA;;;;Curato;1777;1777;1778;original;;;;1916;0;1507;409;0;0;0,0;78,65344468;21,34655532;0,0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;310;272;192;310;237;186;0;0;0;0;0;0;104;46;51;104;56;48;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000169;-20,3185429996597;-65,7083029996837;Buena
Bartholo;;7425;;Bartholo;Porco;;CHA;;;;Curato;1777;1777;1778;original;;;;2306;271;1656;379;0;0;11,75195143;71,81266262;16,43538595;0,0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50;48;31;50;48;44;340;207;301;340;180;288;0;0;0;0;0;0;61;65;56;61;60;76;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000176;-19,5522380001835;-65,4532389995802;Buena
Sipooxo;;7426;;Sipooxo;Porco;;CHA;;;;Curato;1777;1777;1778;original;;;;947;16;829;91;11;0;1,689545935;87,53959873;9,609292503;1,16156283;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;8;1;3;0;1;166;101;124;166;138;134;0;0;0;0;0;0;21;21;11;21;8;9;2;2;1;2;2;2;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000181;-19,3604539999521;-65,4619189996621;Buena
Tomahave;;7427;;Tomahave;Porco;;CHA;;;;Curato;1777;1777;1778;original;;;;4151;92;3929;108;22;0;2,216333414;94,65189111;2,601782703;0,529992773;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;31;11;15;13;7;954;566;468;954;465;522;0;0;0;0;0;0;27;16;13;27;14;11;0;0;0;0;0;0;6,0;2,0;0,0;6,0;5,0;3,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000172;-20,0648350000352;-66,5317710002315;Buena
Miculpaya;;7428;;Miculpaya;Porco;;CHA;;;;Curato;1777;1777;1778;original;;;;2084;170;1380;200;334;0;8,157389635;66,21880998;9,596928983;16,0268714;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;30;60;20;20;20;250;290;242;250;168;180;0;0;0;0;0;0;40;25;36;40;27;32;0;0;0;0;0;0;60,0;40,0;124,0;60,0;28,0;22,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000180;-19,7556099997017;-65,3756800004317;Buena
Tinquipaya;;7429;;Tinquipaya;Porco;;CHA;;;;Curato;1777;1777;1778;original;;;;6254;149;6015;79;11;0;2,382475216;96,17844579;1,263191557;0,175887432;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28;15;22;28;32;24;1297;626;1102;1297;603;1090;0;0;0;0;0;0;18;9;16;18;6;12;1;1;2;1;0;6;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000175;-19,2203980001675;-65,8232800003717;Buena
Esquiri Mataca alta;;7430;;Esquiri Mataca alta;Porco;;CHA;;;;Curato;1777;1777;1778;original;;;;3140;210;2160;580;190;0;6,687898089;68,78980892;18,47133758;6,050955414;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;23;40;40;24;43;360;290;468;360;298;384;0;0;0;0;0;0;115;80;100;115;50;120;36;26;35;36;25;32;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000177;-19,6429479996504;-65,219004999581;Buena
Santa Ana Mataca vaja;;7431;;Santa Ana Mataca vaja;Porco;;CHA;;;;Curato;1777;1777;1778;original;;;;2089;193;1160;610;126;0;9,238870273;55,52896123;29,20057444;6,031594064;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;56;30;20;56;15;16;225;175;170;225;185;180;0;0;0;0;0;0;100;80;125;100;60;145;20;16;25;20;15;30;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000184;-19,7191730002338;-65,4186499998975;Buena
Tacobamba;;7432;;Tacobamba;Porco;;CHA;;;;Curato;1777;1777;1778;original;;;;5262;489;4081;658;34;0;9,29304447;77,55606233;12,50475105;0,646142151;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150;41;43;150;62;43;784;412;758;784;491;852;0;0;0;0;0;0;121;73;156;121;58;129;6;6;3;6;8;5;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000183;-19,2011110001725;-65,5525000003747;Buena
Turuchipa;;7433;;Turuchipa;Porco;;CHA;;;;Curato;1777;1777;1778;original;;;;2148;321;1009;355;463;0;14,94413408;46,97392924;16,52700186;21,55493482;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55;61;43;55;66;41;207;154;127;207;176;138;0;0;0;0;0;0;73;72;49;73;56;32;81;82;67;81;90;62;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000179;-19,819671999663;-64,9412829996107;Buena
Potobamba;;7434;;Potobamba;Porco;;CHA;;;;Curato;1777;1777;1778;original;;;;3597;31;2916;642;8;0;0,861829302;81,0675563;17,84820684;0,222407562;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;4;4;8;1;6;336;795;350;336;785;314;0;0;0;0;0;0;118;125;80;118;116;85;0;0;0;0;0;0;2,0;3,0;0,0;2,0;0,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000182;-19,321019999873;-65,375219999903;Buena
Tuna;;7435;;Tuna;Porco;;CHA;;;;Curato;1777;1777;1778;original;;;;1317;16;1301;0;0;0;1,214882308;98,78511769;0,0;0,0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;2;3;4;2;275;212;166;275;198;175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000171;-20,0734010002559;-66,1249919995811;Buena
Pocopoco;;7436;;Pocopoco;Porco;;CHA;;;;Curato;1777;1777;1778;original;;;;1926;164;687;745;330;0;8,515057113;35,66978193;38,68120457;17,13395639;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;43;23;25;21;27;128;97;102;128;75;157;0;0;0;0;0;0;113;91;143;113;121;164;0;0;0;0;0;0;63,0;32,0;31,0;63,0;61,0;80,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000178;-19,3770000003497;-65,0127999998201;Buena
Chulchucani;;7437;;Chulchucani;Porco;;CHA;;;;Curato;1777;1777;1778;original;;;;2629;13;2197;419;0;0;0,494484595;83,56789654;15,93761887;0,0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;2;4;1;1;471;254;409;471;259;333;0;0;0;0;0;0;28;118;65;28;111;69;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000695;-19,4678999995853;-65,6284999995753;Suficiente
Tarapaya;;7438;;Tarapaya;Porco;;CHA;;;;Curato;1777;1777;1778;original;;;;1712;8;1704;0;0;0;0,46728972;99,53271028;0,0;0,0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;0;1;3;0;374;298;202;374;281;175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000637;-19,4745260002746;-65,7967350002201;Buena
Salinas de Yocalla;;7439;;Salinas de Yocalla;Porco;;CHA;;;;Curato;1777;1777;1778;original;;;;1086;28;957;101;0;0;2,578268877;88,12154696;9,300184162;0,0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;1;4;6;10;1;237;85;179;237;75;144;0;0;0;0;0;0;20;5;19;20;18;19;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000636;-19,3899999999999;-65,9091669995573;Buena
Curato de Chayanta;;7440;;Chayanta;Chayanta;;CHA;;;;Curato;1777;1777;1778;original;;;;3327;140;3187;0;0;0;4,207995191;95,79200481;0,0;0,0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24;20;12;24;40;20;773;254;523;773;396;468;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000037;-18,4608660000658;-66,4430469997192;Buena
Chayantacas;;7441;;Chayantacas;Chayanta;;CHA;;;;Curato;1777;1777;1778;original;;;;3952;111;3628;199;14;0;2,808704453;91,80161943;5,035425101;0,354251012;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;17;18;20;26;10;829;360;534;829;499;577;0;0;0;0;0;0;35;24;37;35;26;42;2;0;3;2;4;3;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000037;-18,4608660000658;-66,4430469997192;Buena
San Pedro de Buenavista;;7442;;San Pedro de Buenavista;Chayanta;;CHA;;;;Curato;1777;1777;1778;original;;;;3097;82;2791;224;0;0;2,647723603;90,11947046;7,232805941;0,0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;16;8;16;22;4;882;321;173;882;395;138;0;0;0;0;0;0;57;40;12;57;49;9;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000150;-18,2705560003591;-65,9808330003427;Buena
Miraflores;;7443;;Miraflores;Chayanta;;CHA;;;;Curato;1777;1777;1778;original;;;;2161;69;1923;167;2;0;3,192966219;88,98658029;7,727903748;0,092549745;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;9;7;17;7;12;416;276;316;416;233;266;0;0;0;0;0;0;34;19;16;34;40;24;0;1;0;0;1;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000152;-18,4660363895677;-66,5645201902545;Buena
Moromoro;;7444;;Moromoro;Chayanta;;CHA;;;;Curato;1777;1777;1778;original;;;;4510;278;3744;427;61;0;6,164079823;83,01552106;9,467849224;1,352549889;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36;55;67;36;48;36;784;427;573;784;493;683;0;0;0;0;0;0;80;43;76;80;71;77;14;9;11;14;7;6;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000156;-18,7420261495871;-65,5918258794607;Suficiente
