Label;GZ_ID;ID;Contexto-Sup1;Contexto-Sup2;Contexto-Sup3;Contexto-Sup4;REG;Curatos;Anexos;Nucleos;Alcance-tipo;START_;END_;Fecha_Dato;Dato-tipo;Fuente;SUMAS;Nota;Total;Blancos;Indios;Mestizos;Castas;Indefinidos;Blancos-rel;Indios-rel;Mestizos-rel;Castas-rel;Indefinidos-rel;Esclavos;Esclavos-rel;Vecinos-doc;Tributarios-doc;Familias-doc;Total-doc;Eclesiasticos-t-doc;Blancos-t-doc;Indefinidos-t-doc;Indios-t-doc;Mestizos-t-doc;Castas-t-doc;Negros-t-doc;Esclavos-t-doc;Eclesiásticos-m-doc;Eclesiásticos-f-doc;Blancos-m-doc;Blancos-f-doc;Indefinidos-m-doc;Indefinidos-f-doc;Indios-m-doc;Indios-f-doc;Mestizos-m-doc;Mestizos-f-doc;Castas-m-doc;Castas-f-doc;Negros-m-doc;Negros-f-doc;Esclavos-m-doc;Esclavos-f-doc;Blancos-m-cas-doc;Blancos-m-sol-doc;Blancos-m-men-doc;Blancos-f-cas-doc;Blancos-f-sol-doc;Blancos-f-men-doc;Indios-m-cas-doc;Indios-m-sol-doc;Indios-m-men-doc;Indios-f-cas-doc;Indios-f-sol-doc;Indios-f-men-doc;Indefinido-m-cas;Indefinido-m-sol;Indefinido-m-men;Indefinido-f-cas;Indefinido-f-sol;Indefinido-f-men;Mestizos-m-cas-doc;Mestizos-m-sol-doc;Mestizos-m-men-doc;Mestizos-f-cas-doc;Mestizos-f-sol-doc;Mestizos-f-men-doc;Castas-m-cas-doc;Castas-m-sol-doc;Castas-m-men-doc;Castas-f-cas-doc;Castas-f-sol-doc;Castas-f-men-doc;Negros-m-cas-doc;Negros-m-sol-doc;Negros-m-men-doc;Negros-f-cas-doc;Negros-f-sol-doc;Negros-f-men-doc;Esclavos-m-cas-doc;Esclavos-m-sol-doc;Esclavos-m-men-doc;Esclavos-f-cas-doc;Esclavos-f-sol-doc;Esclavos-f-men-doc;Blancos-m-viudos;Blancos-f-viudos;Indios-m-viudos;Indios-f-viudos;Mestizos-m-viudos;Mestizos-f-viudos;Castas-m-viudos;Castas-f-viudos;Negros-m-viudos;Negros-f-viudos;Esclavos-m-viudos;Esclavos-f-viudos;Indefinido-m-viudos;Indefinido-f-viudos;Casas-doc;Familias-Blancos;Familias-Indios;Fam-Indefinidos;Fam-Mestizos;Fam-Castas;Fam-Negros;Fam-Esclavos;Etnia principal;Etnias;gz_id;lat_y;lon_x;cert
Sapse;;7376;;Sapse;Yamparaez;;CHA;;;;Curato;1777;1777;1778;original;;;;1098;0;752;263;83;0;0,0;68,48816029;23,95264117;7,559198543;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;186;111;111;186;73;85;0;0;0;0;0;0;75;23;36;75;22;32;21;16;9;21;1;15;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000073;-18,7243899999984;-65,2776509997938;Buena
Chuxumatas;;7377;;Chuxumatas;Yamparaez;;CHA;;;;Curato;1777;1777;1778;original;;;;1321;282;426;390;223;0;21,34746404;32,24829674;29,52308857;16,88115064;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42;38;73;42;35;52;90;36;96;90;34;80;0;0;0;0;0;0;72;46;85;72;33;82;34;23;54;34;23;55;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000070;-19,1394579997868;-65,1714299999945;No localizado
Copavilque;;7378;;Copavilque;Yamparaez;;CHA;;;;Curato;1777;1777;1778;original;;;;1121;219;404;316;182;0;19,53612846;36,03925067;28,18911686;16,23550401;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;46;30;40;30;33;94;63;47;94;54;52;0;0;0;0;0;0;32;22;36;32;140;54;31;64;13;31;28;15;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000081;-18,6236209998092;-65,2856400003857;Buena
Potoma;;7379;;Potoma;Yamparaez;;CHA;;;;Curato;1777;1777;1778;original;;;;2535;210;1987;235;103;0;8,284023669;78,382643;9,270216963;4,063116371;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51;37;20;51;26;25;499;229;298;499;209;253;0;0;0;0;0;0;63;25;28;63;27;29;26;20;11;26;9;11;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000074;-18,5382120001836;-65,426687000005;Buena
Pocpo;;7380;;Pocpo;Yamparaez;;CHA;;;;Curato;1777;1777;1778;original;;;;2045;135;1290;541;79;0;6,601466993;63,0806846;26,45476773;3,863080685;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;26;26;25;20;13;301;112;231;301;142;203;0;0;0;0;0;0;110;79;93;110;70;79;18;15;12;18;5;11;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000075;-18,7940200004226;-65,3261630003221;Buena
Mororoco;;7381;;Mororoco;Yamparaez;;CHA;;;;Curato;1777;1777;1778;original;;;;850;104;317;229;200;0;12,23529412;37,29411765;26,94117647;23,52941176;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28;16;12;28;9;11;75;47;45;75;37;38;0;0;0;0;0;0;47;49;30;47;23;33;37;47;24;37;32;23;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000072;-18,951102000257;-65,1265359999364;Buena
Siccha;;7382;;Siccha;Yamparaez;;CHA;;;;Curato;1777;1777;1778;original;;;;1438;111;723;470;134;0;7,719054242;50,27816412;32,68428373;9,318497914;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;25;17;21;16;11;174;82;112;174;78;103;0;0;0;0;0;0;90;69;90;90;54;77;32;18;20;32;17;15;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000076;-18,9146189995672;-65,2959439998157;Buena
Acachila;;7383;;Acachila;Yamparaez;;CHA;;;;Curato;1777;1777;1778;original;;;;821;145;347;267;62;0;17,66138855;42,26552984;32,52131547;7,551766139;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24;26;23;24;21;27;87;53;33;87;53;34;0;0;0;0;0;0;64;35;40;64;34;30;15;12;7;15;7;6;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000362;-19,3027179895435;-65,1697623709366;Suficiente
Curato de la Matriz;;7384;;Potosi;Yamparaez;;CHA;;;;Parroquia;1777;1777;1778;original;;;;11312;4877;0;6435;0;0;43,11350778;0,0;56,88649222;0,0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;680;1595;435;680;1023;464;0;0;0;0;0;0;0;0;0;0;0;0;741;1665;724;741;1807;757;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000006;-19,5892809997183;-65,7535109998327;Buena
Rezas;;7385;;Potosi;Yamparaez;;CHA;;;;Parroquia;1777;1777;1778;original;;;;726;0;0;0;726;0;0,0;0,0;0,0;100,0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87;145;25;87;360;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000675;-19,5866050004204;-65,7548240001275;Buena
