OficialNombres;OficialParticulas;OficialApellidos;Titulo;Titulo 2;EntidadID;Entidad_nombre_generico;Entidad_tipo_generico;Emanador;Nombramiento_y;Posesion_y;Fin_y;Primera_Fecha_y;Ultima_Fecha_y;Fuente;Comentario;Nombramiento_num;Posesion_num;Fin_num;Primera Fecha_num;Ultima_Fecha_num
First names of the official;De, del, de los…;Last names of the official;Main title for the office;possibly aggregated titles ;"comes prefilled with export of template; if working from scratch, search the territory ID in encyclopedia.";"comes prefilled with export of template; if working from scratch, search in encyclopedia.";"comes prefilled with export of template; if working from scratch, search the in encyclopedia.";who issued the title;Year when the official was appointed;Year when the official took office;Year when the official left office;Earliest known date of exercizing the office;Last know year to hold this office;Indicate a source;Comment. Tag if it was an interim appointment or or specifics.;If known, add exact date using YYYYMMDD;If known, add exact date using YYYYMMDD;If known, add exact date using YYYYMMDD;If known, add exact date using YYYYMMDD;If known, add exact date using YYYYMMDD
Nombres de pila del funcionario;De, del, de los…;Apellidos del funcionario;Título principal del cargo;Posibles títulos agrupados;"Se rellena automáticamente con la exportación de la plantilla; si trabaja desde cero, busque el ID del territorio en la enciclopedia.";"Se rellena automáticamente con la exportación de la plantilla; si trabaja desde cero, busque en la enciclopedia.";"Se rellena automáticamente con la exportación de la plantilla; si trabaja desde cero, busque en la enciclopedia.";Quien otorgó el título;Año en que el funcionario fue nombrado;Año en que el funcionario asumió el cargo;Año en que el funcionario dejó el cargo;Fecha más antigua conocida del ejercicio del cargo;Último año conocido en que ocupó este cargo;Indique una fuente;Comentario. Indique si fue un nombramiento interino o añada cualquier detalle relevante.;Si se conoce, añada la fecha exacta en formato AAAAMMDD;Si se conoce, añada la fecha exacta en formato AAAAMMDD;Si se conoce, añada la fecha exacta en formato AAAAMMDD;Si se conoce, añada la fecha exacta en formato AAAAMMDD;Si se conoce, añada la fecha exacta en formato AAAAMMDD
