rowID;ref_START;ref_END;Type;ref_Label;Location2;Location3;Location4;ref_Partido;ref_Obispado;ref_Audiencia;Country;Motive;Details;Source;Unnamed: 13;OBJECTID;ID_0;ISO;NAME_0;ID_1;NAME_1;ID_2;NAME_2;ID_3;NAME_3
23;1736;1736;Rebellion or revolt;Atonsulla;;;;Castrovirreyna;;;;mining laborers revolted against tax collector and enterador de mitas;;O'Phelan, p. 286;;;;;;;;;;;
24;1736;1736;Rebellion or revolt;Asillo;;;;Azangaro;;;;unrest aimed at expelling priest;;O'Phelan, p. 286;;1578;178;PER;Peru;22;Puno;161;Azangaro;1578;Asillo
25;1737;1737;Rebellion or revolt;Huamanga;;;;;Huamanga;;;unrest provoked by the alcalde ordinario ;;O'Phelan, p. 286;;447;178;PER;Peru;5;Ayacucho;44;Huamanga;447;Ayacucho
26;1737;1737;Rebellion or revolt;Azangaro;;;;Cuzco;;;;abortive rebellion, 17 provinces were involved;;O'Phelan, p. 286;;1579;178;PER;Peru;22;Puno;161;Azangaro;1579;Azangaro
27;1738;1738;Rebellion or revolt;Cutervo;;;;Cajamarca;;;;Indian revolt led by the mestizo against civil and ecclesiastical authorities;;O'Phelan, p. 286;;607;178;PER;Peru;6;Cajamarca;59;Cutervo;607;Cutervo
28;1739;1739;Rebellion or revolt;Oruro;;;;;La Plata;;Bolivia;abortive revolt against taxation;;O'Phelan, p. 286;;;;;;;;;;;
29;1739;1739;Rebellion or revolt;Huamantanga;;;;Canta;;;;against corregidor;;O'Phelan, p. 286;1730s;1307;178;PER;Peru;16;Lima;132;Canta;1307;Huamantanga
30;1739;1739;Rebellion or revolt;Castrovirreyna;;;;;Huamanga;;;homicide of corregidor;;O'Phelan, p. 286;1730s;884;178;PER;Peru;10;Huancavelica;94;Castrovirreyna;884;Castrovirreyna
31;1741;1741;Rebellion or revolt;Azangaro;;;;;Cuzco;;;Indian resistence agsint reparto ;;O'Phelan, p. 286;;1579;178;PER;Peru;22;Puno;161;Azangaro;1579;Azangaro
32;1742;1750;Rebellion or revolt;Tarma;;;;;Lima;;;rebellion led Atahualpa;;O'Phelan, p. 286;;1110;178;PER;Peru;12;Junin;111;Tarma;1110;Tarma
33;1744;1744;Rebellion or revolt;Iguari;;;;Chancay;;;Bolivia;revolt against priest;;O'Phelan, p. 286;;1317;178;PER;Peru;16;Lima;133;Huaral;1317;Ihuari
34;1744;1744;Rebellion or revolt;Oteque;;;;Chancay;;;Bolivia;;;O'Phelan, p. 286;;1317;178;PER;Peru;16;Lima;133;Huaral;1317;Ihuari
35;1744;1744;Rebellion or revolt;Guachinga;;;;Chancay;;;Bolivia;;;O'Phelan, p. 286;;1317;178;PER;Peru;16;Lima;133;Huaral;1317;Ihuari
36;1744;1744;Rebellion or revolt;Tarma;;;;;Lima;;;homicide of corregidor;collection of reparto debts;O'Phelan, p. 286;;1110;178;PER;Peru;12;Junin;111;Tarma;1110;Tarma
37;1744;1744;Rebellion or revolt;Rapaz;;;;Cajatambo;;;;violent land occupation by Indians;;O'Phelan, p. 286;;1372;178;PER;Peru;16;Lima;136;Oyon;1372;Oyon
38;1747;1747;Rebellion or revolt;Cercado;;;;Lima;;;;revolt led by indios olleros against local authorities;;O'Phelan, p. 286;;1250;178;PER;Peru;15;Lima Province;128;Lima;1250;Lima
39;1749;1749;Rebellion or revolt;Llacuabado;;;;Huarochiri;;;;armed resistence against corregidor lieutenant;;O'Phelan, p. 286;;;;;;;;;;;
40;1749;1749;Rebellion or revolt;Ferrenafe;;;;Sana;;;;Indian tax collector revolted agasint corregidor;;O'Phelan, p. 286;;1219;178;PER;Peru;14;Lambayeque;126;Ferrenafe;1219;Ferrenafe
41;1750;1750;Rebellion or revolt;Lima;;;;;Lima;;;"Indian and mestizo rebellion against ""bad government""";;O'Phelan, p. 286;;1250;178;PER;Peru;15;Lima Province;128;Lima;1250;Lima
42;1750;1750;Rebellion or revolt;Huarochiri;;;;Lima;;;;Rebellion against Crown's anti-mestizo policy and Spanish authorities;;O'Phelan, p. 286;;1331;178;PER;Peru;16;Lima;134;Huarochiri;1331;Huarochiri
43;1751;1751;Rebellion or revolt;Urubamba;;;;Cuzco;;;;against corregidor;against imprisonment of and Indian;O'Phelan, p. 286;;785;178;PER;Peru;8;Cusco;80;Urubamba;785;Urubamba
44;1751;1751;Rebellion or revolt;Zana;;;;;;Lima;;revolt led by cuadrillas de negros;;O'Phelan, p. 286;;1216;178;PER;Peru;14;Lambayeque;125;Chiclayo;1216;Saña
45;1751;1751;Rebellion or revolt;Ferrenafe;;;;Sana;;;;against corregidor and local cacique;to avoid division of cacicazgo;O'Phelan, p. 286;;1219;178;PER;Peru;14;Lambayeque;126;Ferrenafe;1219;Ferrenafe
46;1751;1751;Rebellion or revolt;Potosi;;;;;La Plata;;Bolivia;indios capchas;worked at mine killed Spaniard;O'Phelan, p. 286;;;;;;;;;;;
47;1755;1755;Rebellion or revolt;Jauja;;;;;Lima;;;Land conflict between Spaniards and local cacique;;O'Phelan, p. 286;;1065;178;PER;Peru;12;Junín;108;Jauja;1065;Jauja
48;1756;1756;Rebellion or revolt;Angaraes;;;;;Huamanga;;;Indian upheaval ;occupation of communal land by Spaniards and mestizos and against reparto;O'Phelan, p. 286;;876;178;PER;Peru;10;Huancavelica;93;Angaraes;876;Julcamarca
49;1756;1756;Rebellion or revolt;Usquil;;;;Huamachuco;;;;against obraje administration;;O'Phelan, p. 286;;1154;178;PER;Peru;13;La Libertad;118;Otuzco;1154;Usquil
50;1756;1756;Rebellion or revolt;Ninacaca;;;;Tarma;;;;local priest led revolt against corregidor;corregidor changed Indian alcalde appointed by them;O'Phelan, p. 286;;1503;178;PER;Peru;20;Pasco;152;Pasco;1503;Ninacaca
51;1756;1756;Rebellion or revolt;Carhuamayo;;;;Tarma;;;;;;O'Phelan, p. 286;;1089;178;PER;Peru;12;Junin;109;Junín;1089;Carhuamayo
52;1757;1757;Rebellion or revolt;Chacayan;;;;Tarma;;;;Indian revolt ;against corregidor, and primicia tax;O'Phelan, p. 286;;1484;178;PER;Peru;20;Pasco;150;Daniel Alcides Carrión;1484;Chacayan
53;1757;1757;Rebellion or revolt;Yanacocha;;;;Tarma;;;;;;O'Phelan, p. 286;;1102;178;PER;Peru;12;Junin;111;Tarma;1102;Acobamba
54;1757;1757;Rebellion or revolt;Tapu;;;;Tarma;;;;;;O'Phelan, p. 286;;1109;178;PER;Peru;12;Junín;111;Tarma;1109;Tapo
55;1757;1757;Rebellion or revolt;Michivilca;;;;Tarma;;;;;;O'Phelan, p. 286;;1489;178;PER;Peru;20;Pasco;150;Daniel Alcides Carrión;1489;Tapuc
56;1758;1758;Rebellion or revolt;Huarmacas;;;;Piura;;;;against priest;accused of expropriating communal land;O'Phelan, p. 286;;1525;178;PER;Peru;21;Piura;154;Huancabamba;1525;Huarmaca
57;1758;1758;Rebellion or revolt;Huamachuco;;;;;Trujillo;;;against population count;;O'Phelan, p. 286;;1176;178;PER;Peru;13;La Libertad;121;Sánchez Carrión;1176;Huamachuco
58;1758;1758;Rebellion or revolt;Otuzco;;;;;;Lima;;released prisoners;;O'Phelan, p. 286;;1150;178;PER;Peru;13;La Libertad;118;Otuzco;1150;Otuzco
59;1760;1760;Rebellion or revolt;Pichuichuro;;;;Abancay;Cuzco;;;at obraje;oficinas burnt down;O'Phelan, p. 286;;685;178;PER;Peru;8;Cusco;69;Anta;685;Ancahuasi
60;1760;1762;Rebellion or revolt;Totora;;;;Carangas;;;Bolivia;against revisita;;O'Phelan, p. 286;;;;;;;;;;;
61;1761;1761;Rebellion or revolt;Simbal;;;;Trujillo;;;;by indios forasteros;to expel priest;O'Phelan, p. 286;;1197;178;PER;Peru;13;La Libertad;123;Trujillo;1197;Simbal
62;1762;1762;Rebellion or revolt;Zepita;;;;;;Lima;;against local revisita and numeracion de tributarios;;O'Phelan, p. 286;;1608;178;PER;Peru;22;Puno;163;Chucuito;1608;Zepita
63;1764;1764;Rebellion or revolt;Pueblo Nuevo;;;;Sana;;;;by Indians and mestizos;to defend local priest;O'Phelan, p. 286;;1223;178;PER;Peru;14;Lambayeque;126;Ferreñafe;1223;Pueblo Nuevo
64;1764;1764;Rebellion or revolt;San Luis Huancapi;;;;Vilcashuaman;;;;against tribute collector;against mita quota to Huancavelica;O'Phelan, p. 286;;536;178;PER;Peru;5;Ayacucho;52;Victor Fajardo;536;Huancapi
65;1764;1764;Rebellion or revolt;Riobamba;;;;Quito;;;Ecuador;Indians;against obraje administrator due to increase in tareas;O'Phelan, p. 286;;;;;;;;;;;
66;1765;1765;Rebellion or revolt;Pichuichuro;;;;Abancay;;;;Labourers from obraje;against mayordolomos and mandones;O'Phelan, p. 286;;685;178;PER;Peru;8;Cusco;69;Anta;685;Ancahuasi
67;1766;1766;Rebellion or revolt;Caylloma;;;;;Arequipa;;;led by priests;;O'Phelan, p. 286;;398;178;PER;Peru;4;Arequipa;39;Caylloma;398;Caylloma
68;1766;1767;Rebellion or revolt;Pomata;;;;Chucuito;;;;by Indians   ;against revisita and increase in tribute;O'Phelan, p. 286;;1607;178;PER;Peru;22;Puno;163;Chucuíto;1607;Pomata
69;1766;1767;Rebellion or revolt;Puno;;;;;La Paz;;;by Indians;against Justicia mayor;O'Phelan, p. 286;;1658;178;PER;Peru;22;Puno;170;Puno;1658;Puno
70;1767;1768;Rebellion or revolt;Mojos;;;;;Santa Cruz;;Bolivia?;by Indians;against Crown due to the expulsion of Jesuits;O'Phelan, p. 286;;;;;;;;;;;
71;1768;1768;Rebellion or revolt;Paraysancos;;;;Lucanas;;;;led by priest  ;against reparto;O'Phelan, p. 286;;461;178;PER;Peru;5;Ayacucho;45;Huanca Sancos;461;Sancos
72;1768;1768;Rebellion or revolt;Quito;;;;;Quito;;Ecuador;against alcabalas;;O'Phelan, p. 286;;;;;;;;;;;
73;1768;1768;Rebellion or revolt;Chumbivilcas;;;;;Cuzco;;;against corregidor;support priest that Chala was part of Calamani's curato;O'Phelan, p. 286;;725;178;PER;Peru;8;Cusco;73;Chumbivilcas;725;Santo Tomas
74;1769;1769;Rebellion or revolt;Contumaza;;;;;;Lima;;against tribute and revisitador;;O'Phelan, p. 286;;597;178;PER;Peru;6;Cajamarca;58;Contumazá;597;Contumaza
