TYPE;NAME;Partido;Column3;Jurisdiccion
Pueblo;San Francisco Papalotla;Nativitas;;Tlaxcala
Pueblo;San Pablo del Monte;Nativitas;;Tlaxcala
Pueblo;San Miguel Canoa;Nativitas;;Tlaxcala
Pueblo;Santa Isabel;Nativitas;;Tlaxcala
Pueblo;San Luis Teolocholco;Nativitas;;Tlaxcala
Pueblo;San Antonio;Nativitas;;Tlaxcala
Pueblo;Santa María Astama;Nativitas;;Tlaxcala
Pueblo;Nuestra Señora de la Defensa;Nativitas;;Tlaxcala
Hacienda;Santa Marta;Tlaxcala;;Tlaxcala
Hacienda;Xaltip.C;Tlaxcala;;Tlaxcala
Hacienda;Tepalcatepeque;Tlaxcala;;Tlaxcala
Hacienda;Nuestra Señora del Carmen;Tlaxcala;;Tlaxcala
Hacienda;San Bartolomé Jonecuila;Tlaxcala;;Tlaxcala
Hacienda;San Juan Bautista de Zavaleta;Tlaxcala;;Tlaxcala
Hacienda;Soltepeque;Tlaxcala;;Tlaxcala
Hacienda;Santiago Escalzingo;Tlaxcala;Ocotzingo;Tlaxcala
Hacienda;San Francisco Cuezcomatepeque;Tlaxcala;;Tlaxcala
Hacienda;Santiago Alzayanga;Tlaxcala;;Tlaxcala
Hacienda;San Diego Texinola;Tlaxcala;;Tlaxcala
Hacienda;La Asunción;Tlaxcala;;Tlaxcala
Hacienda;San Juan Bautista Cuapiastla;Tlaxcala;;Tlaxcala
Hacienda;San José Temalacayuca;Tlaxcala;;Tlaxcala
Hacienda;La Compasión Tlascantla;Tlaxcala;;Tlaxcala
Hacienda;San Diego La Paloma y Indiana;Tlaxcala;;Tlaxcala
Hacienda;San Juan Tepeyahualco;Tlaxcala;;Tlaxcala
Hacienda;San Martín;Tlaxcala;;Tlaxcala
Hacienda;San Pablo;Tlaxcala;;Tlaxcala
Hacienda;La Candelaria;Tlaxcala;;Tlaxcala
Hacienda;San Cristóbal Jalapasco;Tlaxcala;;Tlaxcala
Hacienda;San Antonio Cuatla;Tlaxcala;;Tlaxcala
Hacienda;La Purísima Concepción;Tlaxcala;;Tlaxcala
Hacienda;Santa María de la Noria;Tlaxcala;;Tlaxcala
Hacienda;Santo Domingo Texmola;Tlaxcala;;Tlaxcala
Hacienda;Guadalupe;Tlaxcala;;Tlaxcala
Hacienda;San Cristóbal de la Rosa;Tlaxcala;;Tlaxcala
Hacienda;San Diego Azumatla;Tlaxcala;;Tlaxcala
Hacienda;Señora Santa Ana;Tlaxcala;;Tlaxcala
Hacienda;El Balconcillo;Tlaxcala;;Tlaxcala
Hacienda;San Bartolomé Xonecuila;Tlaxcala;;Tlaxcala
Hacienda;Santa Bárbara;Tlaxcala;;Tlaxcala
Hacienda;San Antonio;Tlaxcala;;Tlaxcala
Hacienda y venta;San Diego;Tlaxcala;;Tlaxcala
Hacienda;San Miguel Quimichuca;Tlaxcala;;Tlaxcala
Hacienda;San Juan Bautista;Tlaxcala;;Tlaxcala
Hacienda;San Francisco de Asís;Tlaxcala;;Tlaxcala
Hacienda;San Miguel Tomecuila y Santa María Soapila;Tlaxcala;;Tlaxcala
Hacienda;La Natividad Tazacuala;Tlaxcala;;Tlaxcala
Hacienda;San Miguel Tazaguala y San Pedro Cuatoque;Tlaxcala;;Tlaxcala
Hacienda;San Buenaventura;Tlaxcala;;Tlaxcala
Hacienda;San Diego Zitlaltepeque;Tlaxcala;;Tlaxcala
Hacienda;San Diego del Pilancon;Tlaxcala;;Tlaxcala
Hacienda;San Miguel y su Rancho;Tlaxcala;;Tlaxcala
