rowID;Region;ref_Region;ref_Jurisdiccion;ref_Obispado;Subregion.Oaxaca.;ref_Label;ref_START;Source;AGN_Type;AGN_ID;ref_END;ref_Pais;ref_Adm1
41;State of Mexico, fringes of Morelos and Guerrero;NES;Zacualpa;;;Yzcateopan;1808;AGN Criminal 166, fols. 134-136 ;Criminal;166;1808;MEX;Mexico
42;State of Mexico, fringes of Morelos and Guerrero;NES;Zacualpa;;;Ostumac;1810;AGN Criminal 166, fols. 274-294 ;Criminal;166;1810;MEX;Mexico
43;State of Mexico, fringes of Morelos and Guerrero;NES;Zacualpa;;;Alahuistlan;1795;AGN Criminal 166, fols. 354;Criminal;166;1795;MEX;Mexico
44;State of Mexico, fringes of Morelos and Guerrero;NES;Zacualpa;;;Apastla;1783;AGN Criminal 167 exp. 1;Criminal;167;1783;MEX;Mexico
45;State of Mexico, fringes of Morelos and Guerrero;NES;Zacualpa;;;Apastla;1807;AGN Criminal 168, fols. 1-13 ;Criminal;168;1807;MEX;Mexico
46;State of Mexico, fringes of Morelos and Guerrero;NES;Zacualpa;;;Apastla;1111;AGN Criminal 166, fols. 185;Criminal;166;1111;MEX;Mexico
47;State of Mexico, fringes of Morelos and Guerrero;NES;Zacualpa;;;Yztapa;1800;AGN Criminal 181, fols. 201.;Criminal;181;1800;MEX;Mexico
48;State of Mexico, fringes of Morelos and Guerrero;NES;Tenango del Valle (see also Ocuioaca under Metepec) ;;;Quintana, district of Ozolotepec;1783;AGN Criminal 123 exp. 3 ;Criminal;123;1783;MEX;Mexico
49;State of Mexico, fringes of Morelos and Guerrero;NES;Tenango del Valle (see also Ocuioaca under Metepec) ;;;Calimaya,;1803;AGN Criminal 123 exp. 28;Criminal;123;1803;MEX;Mexico
50;State of Mexico, fringes of Morelos and Guerrero;NES;Tenango del Valle (see also Ocuioaca under Metepec) ;;;Tenango;1762;AGN Criminal 123 exp. 21 (six tumultos mentioned);Criminal;123;1762;MEX;Mexico
51;State of Mexico, fringes of Morelos and Guerrero;NES;Tenango del Valle (see also Ocuioaca under Metepec) ;;;Ozolotepec;1799;AGN Indios 70 exp. 69;Indios;70;1799;MEX;Mexico
52;State of Mexico, fringes of Morelos and Guerrero;NES;Lerma;;;San Miguel Amealco;1733;AGN Criminal 169, fols. 103-143 ;Criminal;169;1733;MEX;Mexico
53;State of Mexico, fringes of Morelos and Guerrero;NES;Temascaltepec and Sultepec;;;Tescaticlan;1714;AGN Criminal 180, fols. 50-61 ;Criminal;180;1714;MEX;Mexico
54;State of Mexico, fringes of Morelos and Guerrero;NES;Temascaltepec and Sultepec;;;Sultepec;1764;AGN Criminal 210, fok 243r ;Criminal;210;1764;MEX;Mexico
55;State of Mexico, fringes of Morelos and Guerrero;NES;Temascaltepec and Sultepec;;;Pozontepec;1758;AGN Criminal 210, fols. 189-205;Criminal;210;1758;MEX;Mexico
56;State of Mexico, fringes of Morelos and Guerrero;NES;Ichcateopan ;;;Yzcatepec;1787;AGN Criminal 81, fols. 238-300 ;Criminal;81;1787;MEX;Mexico
57;State of Mexico, fringes of Morelos and Guerrero;NES;Ichcateopan ;;;Aclahuistlan;1711;AGN Criminal 166, fols. 320-353;Criminal;166;1711;MEX;Mexico
58;State of Mexico, fringes of Morelos and Guerrero;NES;Malinalco;;;Malinalco;1803;AGN Criminal 191 exp. 1 ;Criminal;191;1803;MEX;Mexico
59;State of Mexico, fringes of Morelos and Guerrero;NES;Malinalco;;;Malinalco;1818;AGN Civil 2292 exps. 7-8 ;Civil;2292;1818;MEX;Mexico
60;State of Mexico, fringes of Morelos and Guerrero;NES;Malinalco;;;Azingo;1786;AGN Civil 865 exp. 8;Civil;865;1786;MEX;Mexico
61;State of Mexico, fringes of Morelos and Guerrero;NES;Malinalco;;;Ocuila;1772;AGN Civil 865 exp. g;Civil;865;1772;MEX;Mexico
