id_i;ref_START;ref_END;Type;ref_Label;Territory;Location2;Location3;Location4;ref_Jurisdiccion;Region;Country;NAME_2;Motive;Details;Source;Unnamed: 16;OBJECTID;ID_0;ISO;NAME_0;ID_1;NAME_1;ID_2;Unnamed: 24;ID_3;NAME_3;rowID
120;1780;1780;Rebellion or revolt;Azangaro;;;;;;PER;;Az√°ngaro;113 spread;;O'Phelan, p. 286;;1579;178;PER;Peru;22;Puno;161;;1579;Azangaro;131
121;1780;1780;Rebellion or revolt;Chucuito;;;;;;PER;;Puno;113 spread;;O'Phelan, p. 286;;1650;178;PER;Peru;22;Puno;170;;1650;Chucuito;132
122;1780;1780;Rebellion or revolt;Paucarcolla;;;;;;PER;;Puno;113 spread;;O'Phelan, p. 286;;1655;178;PER;Peru;22;Puno;170;;1655;Paucarcolla;133
123;1781;1781;Rebellion or revolt;Paria;;;;;;PER;;;113 spread;homicide of corregidor;O'Phelan, p. 286;;;;;;;;;;;;134
124;1781;1781;Rebellion or revolt;Chuquisaca;;;;;;CHA;Bolivia;;unrest in Chuquisaca;;O'Phelan, p. 286;;;;;;;;;;;;135
125;1781;1781;Rebellion or revolt;Cochabamba;;;;;;CHA;Bolivia;;against Aduana;;O'Phelan, p. 286;;;;;;;;;;;;136
126;1781;1781;Rebellion or revolt;Oruro;;;;;;CHA;Bolivia;;by creoles;against Spanish authorities and alcabala;O'Phelan, p. 286;;;;;;;;;;;;137
127;1781;1781;Rebellion or revolt;Tapacari;;;;;;CHA;Bolivia;;rebellion;;O'Phelan, p. 286;;;;;;;;;;;;138
128;1781;1781;Rebellion or revolt;Larecaja;;;;;Pacajes;CHA;Bolivia;;113 spread led by Tupac Catari;;O'Phelan, p. 286;;;;;;;;;;;;139
128;1781;1781;Rebellion or revolt;Omasuyos;;;;;;CHA;Bolivia;;;;O'Phelan, p. 286;;;;;;;;;;;;140
128;1781;1781;Rebellion or revolt;Pacajes;;;;;;CHA;Bolivia;;;;O'Phelan, p. 286;;;;;;;;;;;;141
129;1781;1781;Rebellion or revolt;La Paz;;;;;;CHA;Bolivia;;La Paz was besieged;;O'Phelan, p. 286;;;;;;;;;;;;142
130;1781;1781;Rebellion or revolt;Tupiza;;;;;Chichas;CHA;Bolivia;;by Indians;homicide of corregidor;O'Phelan, p. 286;;;;;;;;;;;;143
131;1781;1781;Rebellion or revolt;Caylloma;;;;;;PER;;Caylloma;unrest;;O'Phelan, p. 286;;398;178;PER;Peru;4;Arequipa;39;;398;Caylloma;144
132;1781;1781;Rebellion or revolt;Ychuma;;;;;;PER;;;131 spread;;O'Phelan, p. 286;;;;;;;;;;;;145
133;1781;1781;Rebellion or revolt;Arica;;;;;;PER;Chile;;revolt;;O'Phelan, p. 286;;;;;;;;;;;;146
134;1781;1781;Rebellion or revolt;Cajatambo;;;;;;PER;;Cajatambo;against corregidor;;O'Phelan, p. 286;;1300;178;PER;Peru;16;Lima;131;;1300;Cajatambo;147
135;1781;1781;Rebellion or revolt;Lambayeque;;;;;;PER;;Lambayeque;against corregidor;;O'Phelan, p. 286;;1227;178;PER;Peru;14;Lambayeque;127;;1227;Lambayeque;148
136;1781;1781;Rebellion or revolt;Vischongos;;;;;;PER;;Vilcas Huam√°n;support of Tupac Amaru;;O'Phelan, p. 286;;548;178;PER;Peru;5;Ayacucho;53;;548;Vischongo;149
137;1781;1781;Rebellion or revolt;Checras;;;;;Chancay;PER;;Huaura;against revisita;;O'Phelan, p. 286;;1358;178;PER;Peru;16;Lima;135;;1358;Checras;150
138;1782;1782;Rebellion or revolt;Huamanga;;;;;;PER;;Huamanga;against rezagos de repartimientos;;O'Phelan, p. 286;;447;178;PER;Peru;5;Ayacucho;44;;447;Ayacucho;151
139;1783;1783;Rebellion or revolt;Marcapata;;;;;Quispicanchis;PER;;Quispicanchi;against civil and ecclesiastical authority;;O'Phelan, p. 286;;775;178;PER;Peru;8;Cusco;79;;775;Marcapata;152
140;1783;1783;Rebellion or revolt;Huarochiri;;;;;;PER;;Huarochiri;started in Ascension and spread the whole province. ;38 people involved, Indians, caciques and mestizos.;O'Phelan, p. 286;;1331;178;PER;Peru;16;Lima;134;;1331;Huarochiri;153
141;1755;1755;Protesta dentro del sistema legal;Oruro;;;;;Oruro;CHA;Bolivia;;exceso en el reparto;;Golte, p. 130;;;;;;;;;;;;154
142;1756;1756;Protesta dentro del sistema legal;Sicasica;;;;;Sicasica;CHA;Bolivia;;exceso en el reparto;;Golte, p. 130;;;;;;;;;;;;155
143;1757;1757;Protesta dentro del sistema legal;Coroma?;;;;;Porco;CHA;Bolivia;;;;Golte, p. 130;;;;;;;;;;;;156
144;1757;1757;Protesta dentro del sistema legal;Chope;;;;;Sicasica;CHA;Bolivia;;;;Golte, p. 130;;;;;;;;;;;;157
145;1758;1758;Protesta dentro del sistema legal;Yanacachi;;;;;Sicasica;CHA;Bolivia;;exceso en el reparto;;Golte, p. 130;;;;;;;;;;;;158
146;1759;1759;Protesta dentro del sistema legal;Chuma;;;;;Larecaja;CHA;Bolivia;;embargo de bienes;;Golte, p. 130;;;;;;;;;;;;159
147;1759;1759;Protesta dentro del sistema legal;Laxa;;;;;Omasuyo;CHA;Bolivia;;exceso en el reparto;;Golte, p. 130;;;;;;;;;;;;160
148;1759;1759;Protesta dentro del sistema legal;Azangaro;;;;;Azangaro;PER;;Az√°ngaro;reparto de mercancias inservibles;;Golte, p. 130;;1579;178;PER;Peru;22;Puno;161;;1579;Azangaro;161
149;1759;1759;Protesta dentro del sistema legal;Cabari;;;;;Sicasica;CHA;Bolivia;;incauto mercancias para repartir;;Golte, p. 130;;;;;;;;;;;;162
150;1759;1759;Protesta dentro del sistema legal;Laxa;;;;;Omasuyo;CHA;Bolivia;;precios excesivos;;Golte, p. 130;;;;;;;;;;;;163
151;1760;1760;Protesta dentro del sistema legal;Calacoto;;;;;Pacajes;CHA;Bolivia;;precios excesivos;;Golte, p. 131;;;;;;;;;;;;164
152;1760;1760;Protesta dentro del sistema legal;Toledo;;;;;Paria;CHA;Bolivia;;reparto de 100 mulas;;Golte, p. 131;;;;;;;;;;;;165
153;1761;1761;Protesta dentro del sistema legal;Tarabucu;;;;;Tomina;CHA;Bolivia;;Tejidos a 8 reales vara;;Golte, p. 131;;;;;;;;;;;;166
154;1761;1761;Protesta dentro del sistema legal;Tacobamba;;;;;Porco;CHA;Bolivia;;embargo de bienes;;Golte, p. 131;;;;;;;;;;;;167
155;1761;1761;Protesta dentro del sistema legal;Pocota;;;;;Chayanta;CHA;Bolivia;;precios excesivos;;Golte, p. 131;;;;;;;;;;;;168
156;1762;1762;Protesta dentro del sistema legal;Tapacari;;;;;Cochabamba;CHA;Bolivia;;reparto de mercancias a la fuerza;;Golte, p. 131;;;;;;;;;;;;169
157;1762;1762;Protesta dentro del sistema legal;Viacha;;;;;Pacajes;CHA;Bolivia;;precios excesivos;;Golte, p. 131;;;;;;;;;;;;170
158;1762;1762;Protesta dentro del sistema legal;Mohosa;;;;;Sicasica;CHA;Bolivia;;exceso en el reparto;;Golte, p. 131;;;;;;;;;;;;171
159;1762;1762;Protesta dentro del sistema legal;;;;;;Azangaro;PER;;;embargo de bienes;;Golte, p. 131;;;;;;;;;;;;172
160;1765;1765;Rebelion local;Paucarcolla;;;;;;PER;;Puno;contra corregidores;;Golte, p. 141;;1655;178;PER;Peru;22;Puno;170;;1655;Paucarcolla;173
161;1765;1765;Rebelion local;Paucarcolla;;;;;;PER;;Puno;contra corregidores;;Golte, p. 141;;1655;178;PER;Peru;22;Puno;170;;1655;Paucarcolla;174
162;1769;1769;Rebelion local;Pomacanchis;;;;;Quispicanchis;PER;;Acomayo;por reparto;homicidio de teniente/corregidor;Golte, p. 141;;682;178;PER;Peru;8;Cusco;68;;682;Pomacanchi;175
163;1769;1769;Rebelion local;Cabanaconde;;;;;Caylloma;PER;;Caylloma;contra corregidor ;murieron 300 indios;Golte, p. 141;;396;178;PER;Peru;4;Arequipa;39;;396;Cabanaconde;176
164;1769;1769;Rebelion local;Caylloma;;;;;;PER;;Caylloma;contra corregidor ;;Golte, p. 141;;398;178;PER;Peru;4;Arequipa;39;;398;Caylloma;177
165;1767;1767;Rebelion local;Huanchaco;;;;;;PER;;Trujillo;sin datos;;Golte, p. 141;;1191;178;PER;Peru;13;La Libertad;123;;1191;Huanchaco;178
166;1768;1768;Rebelion local;Pinchuichuru;;;;;;PER;;Anta;sin datos;;Golte, p. 141;;693;178;PER;Peru;8;Cusco;69;;693;Zurite;179
166;1768;1768;Rebelion local;Surite;;;;;;PER;;Anta;;;;;693;178;PER;Peru;8;Cusco;69;;693;Zurite;180
166;1768;1768;Rebelion local;Abancay;;;;;;PER;;Abancay;;;;;250;178;PER;Peru;3;Apur√≠mac;28;;250;Abancay;181
167;1768;1768;Rebelion local;Chala;;;;;Chumbivilcas;PER;;;contra corregidor ;campesinos se niegan a recibir las mercancias;Golte, p. 141;;;;;;;;;;;;182
168;1769;1769;Rebelion local;Callalli;;;;;Caylloma;PER;;Caylloma;explusion del corregidor;homicidio del teniente;Golte, p. 142;;397;178;PER;Peru;4;Arequipa;39;;397;Callalli;183
169;1769;1769;Rebelion local;Sicasica;Sicasica;Sicasica;;;Sicasica;CHA;Bolivia;;homicidio del cobrador;;Golte, p. 142;;;;;;;;;;;;184
170;1769;1769;Rebelion local;Achacacha;;;;;;CHA;Bolivia;;levantamiento del corregidor;;Golte, p. 142;;;;;;;;;;;;185
170;1769;1769;Rebelion local;Laxa;;;;;;CHA;Bolivia;;;;;;;;;;;;;;;;186
170;1769;1769;Rebelion local;Omasuyu;;;;;;CHA;Bolivia;;;;;;;;;;;;;;;;187
171;1769;1769;Rebelion local;Chulumani;;;;;Sicasica;CHA;Bolivia;;por reparto;confrontacion armada entre 600 hombres ;Golte, p. 142;;;;;;;;;;;;188
172;1769;1769;Rebelion local;La Asunción;;;;;Cajamarca;PER;;Cajamarca;sin datos;;Golte, p. 142;;553;178;PER;Peru;6;Cajamarca;55;;553;Asuncion;189
173;1769;1769;Rebelion local;Caylloma;;;;;;PER;;Caylloma;sin datos;;Golte, p. 142;;398;178;PER;Peru;4;Arequipa;39;;398;Caylloma;190
174;1769;1769;Rebelion local;Sicuani;;;;;Canas y Canchis;PER;;Canchis;sin datos;;Golte, p. 142;;717;178;PER;Peru;8;Cusco;72;;717;Sicuani;191
175;1770;1770;Rebelion local;Caylloma;;;;;;PER;;Caylloma;sin datos;;Golte, p. 142;;398;178;PER;Peru;4;Arequipa;39;;398;Caylloma;192
176;1770;1770;Rebelion local;Totora;;;;;Carangas;CHA;Bolivia;;contra corregidor ;vioelntos y excesivos repartimientos y cobranzas;Golte, p. 142;;;;;;;;;;;;193
176;1770;1770;;Curaguara;;;;;Carangas;CHA;Bolivia;;;;;;;;;;;;;;;;194
177;1770;1770;Rebelion local;Morrope;;;;;;PER;;Lambayeque;sin datos;;Golte, p. 142;;1229;178;PER;Peru;14;Lambayeque;127;;1229;Morrope;195
177;1770;1770;;Pacora;;;;;;PER;;Lambayeque;;;;;1232;178;PER;Peru;14;Lambayeque;127;;1232;Pacora;196
177;1770;1770;;Jayanca;;;;;;PER;;Lambayeque;;;;;1226;178;PER;Peru;14;Lambayeque;127;;1226;Jayanca;197
177;1770;1770;;Sana;;;;;;PER;;Chiclayo;;;;;1216;178;PER;Peru;14;Lambayeque;125;;1216;Sa√±a;198
178;1771;1771;Rebelion local;Jesus de Machaca;Pacajes;Pacajes;;;Pacajes;CHA;Bolivia;;homicidio del corregidor;castigo a mujer por no pago del reparto;Golte, p. 142;;;;;;;;;;;;199
179;1771;1771;Rebelion local;Quechualla;;;;;;CHA;Bolivia;;atentado de homicidio del corregidor;reparto;Golte, p. 142;;;;;;;;;;;;200
179;1771;1771;;Velinga;;;;;;CHA;Bolivia;;;;;;;;;;;;;;;;201
180;1771;1771;Rebelion local;Andahuaylas;;;;;;PER;;Andahuaylas;contra corregidor ;;Golte, p. 142;;259;178;PER;Peru;3;Apur√≠mac;29;;259;Andahuaylas;202
181;1772;1772;Rebelion local;Sondondo;;;;;Lucanas;PER;;Lucanas;sin datos;;Golte, p. 142;;479;178;PER;Peru;5;Ayacucho;48;;479;Cabana;203
182;1772;1772;Rebelion local;Caylloma;;;;;;PER;;Caylloma;contra el reparto;;Golte, p. 142;;398;178;PER;Peru;4;Arequipa;39;;398;Caylloma;204
183;1772;1772;Rebelion local;Quechualla;;;;;Condesuyos;PER;;La Uni√≥n;contra corregidor ;;Golte, p. 143;;434;178;PER;Peru;4;Arequipa;42;;434;Quechualla;205
184;1773;1773;Rebelion local;Celendin;;;;;Cajamarca;PER;;Celend√≠n;sin datos;;Golte, p. 143;;565;178;PER;Peru;6;Cajamarca;56;;565;Celendin;206
185;1773;1773;Rebelion local;Callalli;;;;;Caylloma;PER;;Caylloma;contra corregidor ;reparto de mulas;Golte, p. 143;;397;178;PER;Peru;4;Arequipa;39;;397;Callalli;207
186;1773;1773;Rebelion local;Chuco;;;;;Huamachuco;PER;;Santiago de Chuco;contra corregidor ;contra reparto;Golte, p. 143;;1187;178;PER;Peru;13;La Libertad;122;;1187;Santiago de Chuco;208
187;1774;1774;Rebelion local;Pampas Huanchay;;;;;Huaylas;PER;;Huaraz;contra corregidor ;cobro repartimiento;Golte, p. 143;;139;178;PER;Peru;2;Ancash;16;;139;Huanchay;209
188;1774;1774;Rebelion local;Pocsi;;;;;Moquegua;PER;;Arequipa;sin datos;;Golte, p. 143;;344;178;PER;Peru;4;Arequipa;35;;344;Pocsi;210
189;1774;1774;Rebelion local;Huaylas;;;;;Huaylas;PER;;Huaylas;homicidio del corregidor;;Golte, p. 143;;173;178;PER;Peru;2;Ancash;19;;173;Huaylas;211
190;1774;1774;Rebelion local;Huamalies;;;;;;PER;;Huamal√≠es;homicidio del corregidor;;Golte, p. 143;;812;178;PER;Peru;9;Hu√°nuco;84;;812;Llata;212
191;1774;1774;Rebelion local;Sicasica;;;;;;CHA;Bolivia;;sin datos;;Golte, p. 143;;;;;;;;;;;;213
192;1774;1774;Rebelion local;Chuco;;;;;Huamachuco;PER;;Santiago de Chuco;contra corregidor ;;Golte, p. 143;;1187;178;PER;Peru;13;La Libertad;122;;1187;Santiago de Chuco;214
193;1779;1779;Rebelion local;Camana;;;;;;PER;;Caman√°;amenaza al corregidor con 300 hombres;cobro repartimiento;Golte, p. 143;1770s;360;178;PER;Peru;4;Arequipa;36;;360;Camana;215
194;1779;1779;Rebelion local;Lucanas;;;;;;PER;;Lucanas;3 alzamientos contra el corregidor ;;Golte, p. 143;1770s;487;178;PER;Peru;5;Ayacucho;48;;487;Lucanas;216
195;1779;1779;Rebelion local;Puno;;;;;Paucarcolla;PER;;Puno;2 alzamientos contra los corregidores;;Golte, p. 143;1770s;1658;178;PER;Peru;22;Puno;170;;1658;Puno;217
195;1779;1779;Rebelion local;Paucarcolla;;;;;;PER;;Puno;;;Golte, p. 143;1770s;1655;178;PER;Peru;22;Puno;170;;1655;Paucarcolla;218
196;1779;1779;Rebelion local;Azangaro;;;;;Azangaro;PER;;Az√°ngaro;atentado de homicidio del corregidor;;Golte, p. 144;1770s;1579;178;PER;Peru;22;Puno;161;;1579;Azangaro;219
197;1779;1779;Rebelion local;Paria;;;;;;PER;;;homicidio del gobernador de Lanquipacha;;Golte, p. 144;1770s;;;;;;;;;;;220
198;1779;1779;Rebelion local;Conchucos;;;;;;PER;;Pallasca;contra corregidor ;;Golte, p. 144;1770s;200;178;PER;Peru;2;Ancash;22;;200;Conchucos;221
199;1779;1779;Rebelion local;Urubamba;;;;;;PER;;Urubamba;contra general Rosas y teniente;;Golte, p. 144;1770s;785;178;PER;Peru;8;Cusco;80;;785;Urubamba;222
200;1779;1779;Rebelion local;Aymaraes;;;;;;PER;;Aymaraes;por reparto;;Golte, p. 144;1770s;287;178;PER;Peru;3;Apur√≠mac;31;;287;Chalhuanca;223
201;1779;1779;Rebelion local;Chaca;;;;;;PER;;Asunci√≥n;homicidio de corregidor y cobrador;;Golte, p. 144;1770s;96;178;PER;Peru;2;Ancash;10;;96;Chacas;224
201;1779;1779;Rebelion local;Tinta;;;;;;PER;;Canchis;;;Golte, p. 144;1770s;718;178;PER;Peru;8;Cusco;72;;718;Tinta;225
202;1779;1779;Rebelion local;Cotabambas;;;;;;PER;;Cotabambas;contra corregidor ;2 pueblos por reparto;Golte, p. 144;1770s;311;178;PER;Peru;3;Apur√≠mac;33;;311;Cotabambas;226
203;1779;1779;Rebelion local;Parinacochas;;;;;;PER;;Parinacochas;contral general;3 veces;Golte, p. 144;1770s;500;178;PER;Peru;5;Ayacucho;49;;500;Coracora;227
204;1779;1779;Rebelion local;Huanta;;;;;;PER;;Huanta;contra corregidor ;por reparto;Golte, p. 144;1770s;465;178;PER;Peru;5;Ayacucho;46;;465;Huanta;228
205;1779;1779;Rebelion local;Tambo;;;;;Arequipa;PER;;Caylloma;intento de rebelion;contra reparto;Golte, p. 144;1770s;411;178;PER;Peru;4;Arequipa;39;;411;Tisco;229
206;1779;1779;Rebelion local;Caraveli;;;;;Camana;PER;;Caravel√≠;contra corregidor ;;Golte, p. 144;1770s;373;178;PER;Peru;4;Arequipa;37;;373;Caraveli;230
207;1779;1779;Rebelion local;Usmagama;;;;;Tarapaca;PER;Chile;;contra cobrador;extorsiones ;Golte, p. 144;1770s;;;;;;;;;;;231
208;1779;1779;Rebelion local;Majes;;;;;Camana;PER;;Castilla;contra teniente;;Golte, p. 144;1770s;394;178;PER;Peru;4;Arequipa;38;;394;Viraco;232
209;1775;1775;Rebelion local;San Juan;;;;;Quispicanchis;PER;;;sin datos;;Golte, p. 145;;;;;;;;;;;;233
210;1775;1775;Rebelion local;Quiquijana;;;;;Quispicanchis;PER;;Quispicanchi;homicidio del teniente;contra reparto;Golte, p. 145;;778;178;PER;Peru;8;Cusco;79;;778;Quiquijana;234
211;1775;1775;Rebelion local;Chumbivilcas;;;;;;PER;;Chumbivilcas;homicidio del corregidor;mujeres!;Golte, p. 145;;725;178;PER;Peru;8;Cusco;73;;725;Santo Tomas;235
212;1775;1775;Rebelion local;Achoma;;;;;Caylloma;PER;;Caylloma;contra corregidor ;corregidor queria encarcerar a los deudores;Golte, p. 145;;395;178;PER;Peru;4;Arequipa;39;;395;Achoma;236
213;1775;1775;Rebelion local;Chuquibamba;;;;;Condesuyos;PER;;Condesuyos;contra corregidor ;;Golte, p. 145;;417;178;PER;Peru;4;Arequipa;40;;417;Chuquibamba;237
214;1776;1776;Rebelion local;San Gaban;;;;;Carabaya;PER;;Carabaya;contra teniente;deudas;Golte, p. 145;;1600;178;PER;Peru;22;Puno;162;;1600;San Gaban;238
215;1776;1776;Rebelion local;Urubamba;;;;;;PER;;Urubamba;contra corregidor;;Golte, p. 145;;785;178;PER;Peru;8;Cusco;80;;785;Urubamba;239
216;1776;1776;Rebelion local;Pampacolca;;;;;Condesuyos;PER;;Castilla;incendio casa del cura;contra reparto;Golte, p. 145;;390;178;PER;Peru;4;Arequipa;38;;390;Pampacolca;240
217;1776;1776;Rebelion local;Pampacolca;;;;;Condesuyos;PER;;Castilla;contra corregidor;;Golte, p. 145;;390;178;PER;Peru;4;Arequipa;38;;390;Pampacolca;241
218;1776;1776;Rebelion local;Pampacolca;;;;;Condesuyos;PER;;Castilla;atentado de homicidio al teniente;;Golte, p. 145;;390;178;PER;Peru;4;Arequipa;38;;390;Pampacolca;242
219;1776;1776;Rebelion local;Velille;;;;;Chumbivilcas;PER;;Chumbivilcas;homicidio del corregidor y cobrador;;Golte, p. 146;;726;178;PER;Peru;8;Cusco;73;;726;Velille;243
220;1776;1776;Rebelion local;Guancarama;;;;;Condesuyos;PER;;Andahuaylas;ataque al corregidor;contra reparto;Golte, p. 146;;262;178;PER;Peru;3;Apur√≠mac;29;;262;Huancarama;244
221;1777;1777;Rebelion local;Casapalca;;;;;;PER;;Huancavelica;sin datos;;Golte, p. 146;;919;178;PER;Peru;10;Huancavelica;96;;919;Yauli;245
222;1777;1777;Rebelion local;Chumbivilcas;;;;;;PER;;Chumbivilcas;homicidio del corregidor;;Golte, p. 146;;725;178;PER;Peru;8;Cusco;73;;725;Santo Tomas;246
223;1777;1777;Rebelion local;Huamalies;;;;;;PER;;Huamal√≠es;sin datos;;Golte, p. 146;;812;178;PER;Peru;9;Hu√°nuco;84;;812;Llata;247
224;1777;1777;Rebelion local;Ubinas;;;;;Moquegua;PER;;General S√°nchez Cerro;contra corregidor;;Golte, p. 146;;1473;178;PER;Peru;19;Moquegua;147;;1473;Ubinas;248
225;1777;1777;Rebelion local;Huamanga;;;;;;PER;;Huamanga;atentado de homicidio del corregidor;contra reparto;Golte, p. 146;;447;178;PER;Peru;5;Ayacucho;44;;447;Ayacucho;249
226;1777;1777;Rebelion local;Chayanta;;;;;;CHA;Bolivia;;contra corregidor;;Golte, p. 146;;;;;;;;;;;;250
227;1777;1777;Rebelion local;Caylloma;;;;;;PER;;Caylloma;contra corregidor ;corregidor hirio al cacique por el reparto;Golte, p. 146;;398;178;PER;Peru;4;Arequipa;39;;398;Caylloma;251
228;1777;1777;Rebelion local;Urubamba;;;;;;PER;;Urubamba;contra corregidor;;Golte, p. 146;;785;178;PER;Peru;8;Cusco;80;;785;Urubamba;252
229;1778;1778;Rebelion local;Llacta Ouivilla;;;;;Huamalies;PER;;;sin datos;;Golte, p. 146;;;;;;;;;;;;253
230;1778;1778;Rebelion local;Piscobamba;;;;;;PER;;Mariscal Luzuriaga;sin datos;;Golte, p. 146;;187;178;PER;Peru;2;Ancash;20;;187;Piscobamba;254
230;1778;1778;Rebelion local;Chaca;;;;;;PER;;Asunci√≥n;;;Golte, p. 146;;96;178;PER;Peru;2;Ancash;10;;96;Chacas;255
230;1778;1778;Rebelion local;Conchucos;;;;;;PER;;Pallasca;;;Golte, p. 146;;200;178;PER;Peru;2;Ancash;22;;200;Conchucos;256
231;1778;1778;Rebelion local;Huamanga;;;;;;PER;;Huamanga;sin datos;;Golte, p. 146;;447;178;PER;Peru;5;Ayacucho;44;;447;Ayacucho;257
232;1778;1778;Rebelion local;Cotabambas;;;;;;PER;;Cotabambas;homicidio del corregidor y teniente;;Golte, p. 146;;311;178;PER;Peru;3;Apur√≠mac;33;;311;Cotabambas;258
233;1779;1779;Rebelion local;Viraco;;;;;Condesuyos;PER;;Castilla;sin datos;;Golte, p. 146;;394;178;PER;Peru;4;Arequipa;38;;394;Viraco;259
234;1779;1779;Rebelion local;Huaraz;;;;;;PER;;Huaraz;contra corregidor;2000 hombres armados;Golte, p. 146;;140;178;PER;Peru;2;Ancash;16;;140;Huaraz;260
234;1779;1779;Rebelion local;Caraz;;;;;;PER;;Huaylas;;;;;170;178;PER;Peru;2;Ancash;19;;170;Caraz;261
234;1779;1779;Rebelion local;Huaylas;;;;;;PER;;Huaylas;;;;;173;178;PER;Peru;2;Ancash;19;;173;Huaylas;262
