id_i;ref_START;ref_END;Type;ref_Label;Territory;Location2;Location3;Location4;ref_Jurisdiccion;Region;Country;NAME_2;Motive;Details;Source;Unnamed: 16;OBJECTID;ID_0;ISO;NAME_0;ID_1;NAME_1;ID_2;Unnamed: 24;ID_3;NAME_3;rowID
28;1739;1739;Rebellion or revolt;Castrovirreyna;Castrovirreyna;;;;Castrovirreyna;PER;;Castrovirreyna;homicide of corregidor;;O'Phelan, p. 286;1730s;884;178;PER;Peru;10;Huancavelica;94;;884;Castrovirreyna;30
29;1741;1741;Rebellion or revolt;Azangaro;Azangaro;;;;Azangaro;PER;;Azangaro;Indian resistence agsint reparto ;;O'Phelan, p. 286;;1579;178;PER;Peru;22;Puno;161;;1579;Azangaro;31
30;1742;1750;Rebellion or revolt;Tarma;Tarma;;;;Tarma;PER;;Tarma;rebellion led Atahualpa;;O'Phelan, p. 286;;1110;178;PER;Peru;12;Junin;111;;1110;Tarma;32
31;1744;1744;Rebellion or revolt;Iguari;;;;;Chancay;PER;;Huaral;revolt against priest;;O'Phelan, p. 286;;1317;178;PER;Peru;16;Lima;133;;1317;Ihuari;33
31;1744;1744;Rebellion or revolt;Oteque;;;;;Chancay;PER;;Huaral;;;O'Phelan, p. 286;;1317;178;PER;Peru;16;Lima;133;;1317;Ihuari;34
31;1744;1744;Rebellion or revolt;Guachinga;;;;;Chancay;PER;;Huaral;;;O'Phelan, p. 286;;1317;178;PER;Peru;16;Lima;133;;1317;Ihuari;35
32;1744;1744;Rebellion or revolt;Tarma;Tarma;;;;Tarma;PER;;Tarma;homicide of corregidor;collection of reparto debts;O'Phelan, p. 286;;1110;178;PER;Peru;12;Junin;111;;1110;Tarma;36
33;1744;1744;Rebellion or revolt;Rapaz;;;;;Cajatambo;PER;;Oyon;violent land occupation by Indians;;O'Phelan, p. 286;;1372;178;PER;Peru;16;Lima;136;;1372;Oyon;37
34;1747;1747;Rebellion or revolt;Cercado;;;;;Lima;PER;;Lima;revolt led by indios olleros against local authorities;;O'Phelan, p. 286;;1250;178;PER;Peru;15;Lima Province;128;;1250;Lima;38
35;1749;1749;Rebellion or revolt;Llacuabado;;;;;Huarochiri;PER;;;armed resistence against corregidor lieutenant;;O'Phelan, p. 286;;;;;;;;;;;;39
36;1749;1749;Rebellion or revolt;Ferrenafe;;;;;Sana;PER;;Ferrenafe;Indian tax collector revolted agasint corregidor;;O'Phelan, p. 286;;1219;178;PER;Peru;14;Lambayeque;126;;1219;Ferrenafe;40
37;1750;1750;Rebellion or revolt;Lima;;;;;Lima;PER;;Lima;"Indian and mestizo rebellion against ""bad government""";;O'Phelan, p. 286;;1250;178;PER;Peru;15;Lima Province;128;;1250;Lima;41
