rowID;ref_Label;gz_id;fuzzy_score;category_match;saint_match;territories_match;phase_1a_outcome;toponym_match;lugar_label;lugar_partido_generico;lugar_provincia_generica;fine_level_mismatch;TYPE;Partido;Column3;ref_Jurisdiccion;ref_START;ref_END;phase_1b_step
25;San Francisco Tetlanoca;1004127;0.878;category_null;saint_match;jurisdiccion_exact;deleted_candidate;fuzzy;Tlacuilohcan;Tlaxcala;Tlaxcala;;Pueblo;Santa Ana Chiautempan;;Tlaxcala;1111;9999;
25;San Francisco Tetlanoca;1004086;0.865;category_null;saint_match;jurisdiccion_exact;deleted_candidate;fuzzy;Mitepec;Tlaxcala;Tlaxcala;;Pueblo;Santa Ana Chiautempan;;Tlaxcala;1111;9999;
25;San Francisco Tetlanoca;1004116;0.844;category_null;saint_match;jurisdiccion_exact;deleted_candidate;none;Tepeyanco;Tlaxcala;Tlaxcala;;Pueblo;Santa Ana Chiautempan;;Tlaxcala;1111;9999;
25;San Francisco Tetlanoca;1004048;0.837;category_null;saint_match;jurisdiccion_exact;deleted_candidate;none;Atexcatzinco;Tlaxcala;Tlaxcala;;Pueblo;Santa Ana Chiautempan;;Tlaxcala;1111;9999;
25;San Francisco Tetlanoca;1004089;0.821;category_null;saint_match;jurisdiccion_exact;deleted_candidate;none;Ocotelulco;Tlaxcala;Tlaxcala;;Pueblo;Santa Ana Chiautempan;;Tlaxcala;1111;9999;
25;San Francisco Tetlanoca;1004107;0.821;category_null;saint_match;jurisdiccion_exact;deleted_candidate;none;Temetzontla;Tlaxcala;Tlaxcala;;Pueblo;Santa Ana Chiautempan;;Tlaxcala;1111;9999;
26;San Pedro Tlalcoapan;1004128;0.95;category_null;saint_match;jurisdiccion_exact;auto_adopt;fuzzy;Tlalcuapan;Tlaxcala;Tlaxcala;;Pueblo;Santa Ana Chiautempan;;Tlaxcala;1111;9999;
27;San Bartolomé;1004064;1.0;category_null;saint_match;jurisdiccion_exact;adopted_candidate;exact;Cuahuixmatlac;Tlaxcala;Tlaxcala;;Pueblo;Santa Ana Chiautempan;;Tlaxcala;1111;9999;
27;San Bartolomé;1004082;1.0;category_null;saint_match;jurisdiccion_exact;deleted_candidate;exact;Matlalohcan;Tlaxcala;Tlaxcala;;Pueblo;Santa Ana Chiautempan;;Tlaxcala;1111;9999;
27;San Bartolomé;1004109;1.0;category_null;saint_match;jurisdiccion_exact;deleted_candidate;exact;Tenango;Tlaxcala;Tlaxcala;;Pueblo;Santa Ana Chiautempan;;Tlaxcala;1111;9999;
28;San Pablo Apetlatitlan;1004046;0.957;category_null;saint_match;jurisdiccion_exact;adopted_candidate;fuzzy;Apetatitlan;Tlaxcala;Tlaxcala;;Pueblo;Santa Ana Chiautempan;;Tlaxcala;1111;9999;
28;San Pablo Apetlatitlan;1004101;0.8;category_null;saint_match;jurisdiccion_exact;deleted_candidate;none;San Pablo del Monte;Tlaxcala;Tlaxcala;;Pueblo;Santa Ana Chiautempan;;Tlaxcala;1111;9999;
28;San Pablo Apetlatitlan;1004147;0.8;category_null;saint_match;jurisdiccion_exact;deleted_candidate;none;Zitlaltepec;Tlaxcala;Tlaxcala;;Pueblo;Santa Ana Chiautempan;;Tlaxcala;1111;9999;
29;San Bernardino;1004063;1.0;category_null;saint_match;jurisdiccion_exact;adopted_candidate;exact;Contla;Tlaxcala;Tlaxcala;;Pueblo;Santa Ana Chiautempan;;Tlaxcala;1111;9999;
