id_i;1779;END_;Type;Location1;Territory;Location2;Location3;Location4;Province;Region;Country;NAME_2;Motive;Details;Source;;OBJECTID;ID_0;ISO;NAME_0;ID_1;NAME_1;ID_2;;ID_3;NAME_3
29;1741;1741;Rebellion or revolt;Azangaro;Azangaro;;;;;Peru;;Azangaro;Indian resistence agsint reparto ;;O'Phelan, p. 286;;1579;178;PER;Peru;22;Puno;161;;1579;Azangaro
30;1742;1750;Rebellion or revolt;Tarma;Tarma;;;;;Peru;;Tarma;rebellion led Atahualpa;;O'Phelan, p. 286;;1110;178;PER;Peru;12;Junin;111;;1110;Tarma
31;1744;1744;Rebellion or revolt;Iguari;;;;;Chancay;Peru;;Huaral;revolt against priest;;O'Phelan, p. 286;;1317;178;PER;Peru;16;Lima;133;;1317;Ihuari
31;1744;1744;Rebellion or revolt;Oteque;;;;;Chancay;Peru;;Huaral;;;O'Phelan, p. 286;;1317;178;PER;Peru;16;Lima;133;;1317;Ihuari
31;1744;1744;Rebellion or revolt;Guachinga;;;;;Chancay;Peru;;Huaral;;;O'Phelan, p. 286;;1317;178;PER;Peru;16;Lima;133;;1317;Ihuari
32;1744;1744;Rebellion or revolt;Tarma;Tarma;;;;;Peru;;Tarma;homicide of corregidor;collection of reparto debts;O'Phelan, p. 286;;1110;178;PER;Peru;12;Junin;111;;1110;Tarma
33;1744;1744;Rebellion or revolt;Rapaz;;;;;Cajatambo;Peru;;Oyon;violent land occupation by Indians;;O'Phelan, p. 286;;1372;178;PER;Peru;16;Lima;136;;1372;Oyon
34;1747;1747;Rebellion or revolt;Cercado;;;;;Lima;Peru;;Lima;revolt led by indios olleros against local authorities;;O'Phelan, p. 286;;1250;178;PER;Peru;15;Lima Province;128;;1250;Lima
35;1749;1749;Rebellion or revolt;Llacuabado;;;;;Huarochiri;Peru;;;armed resistence against corregidor lieutenant;;O'Phelan, p. 286;;;;;;;;;;;
36;1749;1749;Rebellion or revolt;Ferrenafe;;;;;Sana;Peru;;Ferrenafe;Indian tax collector revolted agasint corregidor;;O'Phelan, p. 286;;1219;178;PER;Peru;14;Lambayeque;126;;1219;Ferrenafe
