OficialID;foreignkey;prefix;prefixurl;suffixurl
1744;bnarvae;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1745;29396;GCath;https://gcatholic.org/p/;
1746;29397;GCath;https://gcatholic.org/p/;
1747;29398;GCath;https://gcatholic.org/p/;
1747;bgomezlb;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1748;29400;GCath;https://gcatholic.org/p/;
1748;borts;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1749;29401;GCath;https://gcatholic.org/p/;
1749;bdiadcie;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1750;29402;GCath;https://gcatholic.org/p/;
1750;bdvel;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1751;30756;GCath;https://gcatholic.org/p/;
1751;baveyp;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1752;30758;GCath;https://gcatholic.org/p/;
1752;bore;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1753;30759;GCath;https://gcatholic.org/p/;
1753;bzamv;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1754;30760;GCath;https://gcatholic.org/p/;
1754;bcimbron;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1755;30761;GCath;https://gcatholic.org/p/;
1755;bloyver;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1756;30762;GCath;https://gcatholic.org/p/;
1756;bdmor;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1757;30763;GCath;https://gcatholic.org/p/;
1757;blemusa;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1758;30764;GCath;https://gcatholic.org/p/;
1758;bhijmen;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1759;30765;GCath;https://gcatholic.org/p/;
1759;btorz;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1760;222774797;viaf;https://viaf.org/viaf/;
1760;30766;GCath;https://gcatholic.org/p/;
1760;bespi;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1761;30767;GCath;https://gcatholic.org/p/;
1761;bmaran;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1762;30768;GCath;https://gcatholic.org/p/;
1762;broaa;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1763;30774;GCath;https://gcatholic.org/p/;
1763;bbarf;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1764;30775;GCath;https://gcatholic.org/p/;
1764;bmed;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1765;30776;GCath;https://gcatholic.org/p/;
1765;bdeazuaga;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1766;30777;GCath;https://gcatholic.org/p/;
1766;bpees;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1767;30778;GCath;https://gcatholic.org/p/;
1767;bgonzds;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1768;30779;GCath;https://gcatholic.org/p/;
1768;bhuma;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1769;27098575;viaf;https://viaf.org/viaf/;
1769;30780;GCath;https://gcatholic.org/p/;
1769;bcarsaa;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1770;30781;GCath;https://gcatholic.org/p/;
1770;bpuegon;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1771;30782;GCath;https://gcatholic.org/p/;
1771;311471054;viaf;https://viaf.org/viaf/;
1771;brojace;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1772;30783;GCath;https://gcatholic.org/p/;
1772;54180674;viaf;https://viaf.org/viaf/;
1772;baldaxp;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1773;292474929;viaf;https://viaf.org/viaf/;
1773;30784;GCath;https://gcatholic.org/p/;
1773;brozo;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1774;30788;GCath;https://gcatholic.org/p/;
1774;bdlpe;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1775;30790;GCath;https://gcatholic.org/p/;
1775;briav;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1776;30791;GCath;https://gcatholic.org/p/;
1776;bsafa;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1777;30797;GCath;https://gcatholic.org/p/;
1777;bvalp;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1778;30798;GCath;https://gcatholic.org/p/;
1778;bfralu;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1779;30799;GCath;https://gcatholic.org/p/;
1779;bcasycas;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1780;30800;GCath;https://gcatholic.org/p/;
1780;bvelymol;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1781;30801;GCath;https://gcatholic.org/p/;
1781;bcarpo;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1782;30802;GCath;https://gcatholic.org/p/;
1782;bguillis;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1783;30803;GCath;https://gcatholic.org/p/;
1783;bmothar;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1784;30804;GCath;https://gcatholic.org/p/;
1784;bpanv;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1785;30805;GCath;https://gcatholic.org/p/;
1785;bibanm;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1786;30806;GCath;https://gcatholic.org/p/;
1786;bcampg;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1787;30807;GCath;https://gcatholic.org/p/;
1787;bocymo;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1788;30817;GCath;https://gcatholic.org/p/;
1788;boca;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1789;30818;GCath;https://gcatholic.org/p/;
1789;bzayfi;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1790;30821;GCath;https://gcatholic.org/p/;
1790;brivier;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1791;30822;GCath;https://gcatholic.org/p/;
1791;bestur;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1792;30823;GCath;https://gcatholic.org/p/;
1792;bcayar;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1793;30824;GCath;https://gcatholic.org/p/;
1793;bdlrb;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1794;30825;GCath;https://gcatholic.org/p/;
1795;Pedro Vázquez de Velasco;wiki-es;https://es.wikipedia.org/wiki/;
1795;30826;GCath;https://gcatholic.org/p/;
1795;bvadve;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1796;30827;GCath;https://gcatholic.org/p/;
1797;30828;GCath;https://gcatholic.org/p/;
1797;blfyr;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1798;30829;GCath;https://gcatholic.org/p/;
1798;bvergara;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1799;30830;GCath;https://gcatholic.org/p/;
1799;bolmedo;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1800;30831;GCath;https://gcatholic.org/p/;
1800;bpedob;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1801;30832;GCath;https://gcatholic.org/p/;
1801;besyor;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1802;30833;GCath;https://gcatholic.org/p/;
1802;broja;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1803;30834;GCath;https://gcatholic.org/p/;
1803;baldaz;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1804;30835;GCath;https://gcatholic.org/p/;
1804;botondo;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1805;30846;GCath;https://gcatholic.org/p/;
1805;bdlcasas;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1806;30847;GCath;https://gcatholic.org/p/;
1806;bdiazdd;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1807;30848;GCath;https://gcatholic.org/p/;
1808;30849;GCath;https://gcatholic.org/p/;
1808;bpalbo;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1809;30850;GCath;https://gcatholic.org/p/;
1809;blopezdes;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1810;30851;GCath;https://gcatholic.org/p/;
1810;bpriego;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1811;36787;GCath;https://gcatholic.org/p/;
1811;bobryme;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1812;36789;GCath;https://gcatholic.org/p/;
1813;36790;GCath;https://gcatholic.org/p/;
1814;36791;GCath;https://gcatholic.org/p/;
1814;blaroca;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1815;36981;GCath;https://gcatholic.org/p/;
1815;bbalo;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1816;36982;GCath;https://gcatholic.org/p/;
1816;bagugor;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1817;36983;GCath;https://gcatholic.org/p/;
1817;bdherr;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1818;36984;GCath;https://gcatholic.org/p/;
1818;bdieb;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1819;36985;GCath;https://gcatholic.org/p/;
1819;btamaron;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1820;36986;GCath;https://gcatholic.org/p/;
1820;bdiaz;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1821;36988;GCath;https://gcatholic.org/p/;
1821;bsarlun;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1822;58357;GCath;https://gcatholic.org/p/;
1822;bgomezpol;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1823;58359;GCath;https://gcatholic.org/p/;
1823;bnavarf;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1824;58360;GCath;https://gcatholic.org/p/;
1824;bfraga;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1825;58361;GCath;https://gcatholic.org/p/;
1825;begues;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1826;58363;GCath;https://gcatholic.org/p/;
1826;bnpda;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1827;58364;GCath;https://gcatholic.org/p/;
1827;bparyarm;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1828;58365;GCath;https://gcatholic.org/p/;
1829;58366;GCath;https://gcatholic.org/p/;
1829;bpastrgj;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1830;58367;GCath;https://gcatholic.org/p/;
1830;bdlcruzf;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1831;58368;GCath;https://gcatholic.org/p/;
1831;bdltar;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1832;58369;GCath;https://gcatholic.org/p/;
1832;bespyoro;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1833;61870;GCath;https://gcatholic.org/p/;
1834;balboj;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1835;bangulo;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1837;bcarcaj;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1838;bcardt;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1839;bcuero;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1840;bdangg;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1841;bdangp;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1842;bdavcar;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1843;bdeagreda;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1845;bdelora;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1847;bdlpemo;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1848;89626164;viaf;https://viaf.org/viaf/;
1848;bdqui;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1849;bdqv;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1850;bgarces;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1851;bgarcidia;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1852;bgardp;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1854;bgonzda;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1855;bgonzdm;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1856;bhhg;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1857;blopezdez;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1858;bmanso;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1859;bmarhu;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1860;bmasa;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1861;bmerc;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1862;bmohudfi;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1863;bramdz;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1864;breya;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1865;brucab;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1866;bsacedon;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1867;bsalid;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1868;bsanchezr;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1869;bsfermi;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1870;bsuacan;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1871;bsuarezd;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1872;btalav;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1873;67636154;viaf;https://viaf.org/viaf/;
1873;btrsa;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1874;bullhm;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1875;bvalcacer;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1876;114203;viaf;https://viaf.org/viaf/;
1876;bvald;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1877;bvalj;cathie;https://www.catholic-hierarchy.org/bishop/;.html
1878;bvito;cathie;https://www.catholic-hierarchy.org/bishop/;.html
2769;bartave;cathie;https://www.catholic-hierarchy.org/bishop/;.html
2770;bcaball;cathie;https://www.catholic-hierarchy.org/bishop/;.html
2771;bcarsa;cathie;https://www.catholic-hierarchy.org/bishop/;.html
2772;bcasart;cathie;https://www.catholic-hierarchy.org/bishop/;.html
2773;bcis;cathie;https://www.catholic-hierarchy.org/bishop/;.html
2774;bhorta;cathie;https://www.catholic-hierarchy.org/bishop/;.html
2775;bibarraa;cathie;https://www.catholic-hierarchy.org/bishop/;.html
2777;blserena;cathie;https://www.catholic-hierarchy.org/bishop/;.html
2778;bmlh;cathie;https://www.catholic-hierarchy.org/bishop/;.html
2779;bmntalv;cathie;https://www.catholic-hierarchy.org/bishop/;.html
2780;bpacc;cathie;https://www.catholic-hierarchy.org/bishop/;.html
2781;bprzdc;cathie;https://www.catholic-hierarchy.org/bishop/;.html
4312;4973;dbe;https://dbe.rah.es/biografias/;
36;10137/bernardo-de-galvez;dbe;https://dbe.rah.es/biografias/;
19;7714/jose-sarmiento-valladares;dbe;https://dbe.rah.es/biografias/;
22;9022/fernando-de-alencastre-norona-y-silva;dbe;https://dbe.rah.es/biografias/;
23;6793/baltasar-de-zuniga-y-guzman;dbe;https://dbe.rah.es/biografias/;
31;16487/joaquin-de-montserrat-y-cruillas;dbe;https://dbe.rah.es/biografias/;
34;84712/martin-diaz-de-mayorga-y-ferrer;dbe;https://dbe.rah.es/biografias/;
39;11393/juan-vicente-de-guemes-pacheco-de-padilla-y-horcasitas;dbe;https://dbe.rah.es/biografias/;
40;11348/miguel-de-la-grua-talamanca-y-branciforte;dbe;https://dbe.rah.es/biografias/;
47;63406/pedro-garrido-y-duran;dbe;https://dbe.rah.es/biografias/;
48;137155/enrique-legallois-de-grimarest;dbe;https://dbe.rah.es/biografias/;
68;75874/manuel-sanchez-arteaga;dbe;https://dbe.rah.es/biografias/;
180;61127/pedro-caballero;dbe;https://dbe.rah.es/biografias/;
392;51907/juan-de-dios-ayala-gudino-medina-y-calderon;dbe;https://dbe.rah.es/biografias/;
411;71363/francisco-de-paula-vilches;dbe;https://dbe.rah.es/biografias/;
458;137207/clemente-sanchez-de-orellana;dbe;https://dbe.rah.es/biografias/;
513;51826/joaquin-de-la-rocha-lavarces;dbe;https://dbe.rah.es/biografias/;
1174;12376/francisco-antonio-de-lorenzana-y-butron;dbe;https://dbe.rah.es/biografias/;
1182;80847/nicolas-videla-del-pino;dbe;https://dbe.rah.es/biografias/;
1183;56621/rodrigo-antonio-de-orellana;dbe;https://dbe.rah.es/biografias/;
1186;40648/pedro-inocencio-bejarano;dbe;https://dbe.rah.es/biografias/;
1187;107687/juan-de-los-barrios-y-toledo;dbe;https://dbe.rah.es/biografias/;
1490;7829/beato-juan-de-palafox-y-mendoza;dbe;https://dbe.rah.es/biografias/;
1523;19457/juan-gonzalez-de-mendoza;dbe;https://dbe.rah.es/biografias/;
1526;11207/tomas-casillas;dbe;https://dbe.rah.es/biografias/;
1527;11148/bartolome-de-las-casas;dbe;https://dbe.rah.es/biografias/;
1534;78753/francisco-javier-de-luna-victoria-y-castro;dbe;https://dbe.rah.es/biografias/;
1552;33311/agustin-de-carvajal;dbe;https://dbe.rah.es/biografias/;
1557;32855/tomas-henriquez-y-gomez;dbe;https://dbe.rah.es/biografias/;
1561;4944/vicente-de-valverde;dbe;https://dbe.rah.es/biografias/;
1581;44491/diego-de-salamanca;dbe;https://dbe.rah.es/biografias/;
1599;14456/miguel-ramirez-de-salamanca;dbe;https://dbe.rah.es/biografias/;
1610;51975/nicolas-delgado;dbe;https://dbe.rah.es/biografias/;
1621;81754/pedro-de-villarreal;dbe;https://dbe.rah.es/biografias/;
1626;51900/diego-alvarez-de-osorio;dbe;https://dbe.rah.es/biografias/;
1628;52045/francisco-de-mendavia;dbe;https://dbe.rah.es/biografias/;
1682;41854/jose-cayetano-paravicino;dbe;https://dbe.rah.es/biografias/;
1685;47721/diego-montero-del-aguila;dbe;https://dbe.rah.es/biografias/;
1696;32789/manuel-antonio-de-la-torre;dbe;https://dbe.rah.es/biografias/;
1701;15857/reginaldo-de-lizarraga;dbe;https://dbe.rah.es/biografias/;
1731;75584/diego-de-banos-y-sotomayor;dbe;https://dbe.rah.es/biografias/;
1751;24853/antonio-de-san-miguel-avendano-y-paz;dbe;https://dbe.rah.es/biografias/;
1762;47728/tomas-de-roa-y-alarcon;dbe;https://dbe.rah.es/biografias/;
1764;47670/diego-de-medellin;dbe;https://dbe.rah.es/biografias/;
1772;47711/manuel-de-alday-y-aspee;dbe;https://dbe.rah.es/biografias/;
1795;63766/pedro-vazquez-de-velasco;dbe;https://dbe.rah.es/biografias/;
1815;34452/pedro-de-barrientos-lomelin;dbe;https://dbe.rah.es/biografias/;
1848;10565/vasco-de-quiroga;dbe;https://dbe.rah.es/biografias/;
1858;13378/alonso-manso;dbe;https://dbe.rah.es/biografias/;
1859;13492/francisco-marroquin-hurtado;dbe;https://dbe.rah.es/biografias/;
1870;35687/lorenzo-suarez-de-cantillana;dbe;https://dbe.rah.es/biografias/;
1871;15016/pedro-suarez-de-deza;dbe;https://dbe.rah.es/biografias/;
2785;42646/cristobal-de-ovalle;dbe;https://dbe.rah.es/biografias/;
2796;76110/andres-perez-chuecos-y-franco;dbe;https://dbe.rah.es/biografias/;
2801;42865/juan-de-padilla-guardiola-y-guzman;dbe;https://dbe.rah.es/biografias/;
2803;34685/andres-de-robles;dbe;https://dbe.rah.es/biografias/;
2836;75621/juan-de-canseco-y-quinones;dbe;https://dbe.rah.es/biografias/;
2838;77170/antonio-de-ulloa-y-chaves;dbe;https://dbe.rah.es/biografias/;
2839;55868/antonio-alvarez-de-castro;dbe;https://dbe.rah.es/biografias/;
2843;127750/alonso-de-ceballos-villagutierre;dbe;https://dbe.rah.es/biografias/;
2844;63779/antonio-vidal-y-abarca-y-balda;dbe;https://dbe.rah.es/biografias/;
2845;75729/alonso-de-coronado-maldonado;dbe;https://dbe.rah.es/biografias/;
2846;21670/alonso-lopez-de-cerrato;dbe;https://dbe.rah.es/biografias/;
2848;9159/francisco-briceno-gasco;dbe;https://dbe.rah.es/biografias/;
2859;12594/carlos-de-mencos-martin;dbe;https://dbe.rah.es/biografias/;
2868;74510/francisco-rodriguez-de-rivas;dbe;https://dbe.rah.es/biografias/;
2870;55761/pedro-de-rivera-y-villalon;dbe;https://dbe.rah.es/biografias/;
2875;59727/alonso-fernandez-de-heredia;dbe;https://dbe.rah.es/biografias/;
2885;10022/gabino-crispin-gainza-fernandez-de-medrano;dbe;https://dbe.rah.es/biografias/;
2886;11906/jose-martinez-de-salazar;dbe;https://dbe.rah.es/biografias/;
2889;33568/francisco-guillen-chaparro;dbe;https://dbe.rah.es/biografias/;
2891;10787/sancho-giron-de-narvaez;dbe;https://dbe.rah.es/biografias/;
2893;33571/juan-fernandez-de-cordoba-y-coalla;dbe;https://dbe.rah.es/biografias/;
2896;33574/diego-del-corro-y-carrascal;dbe;https://dbe.rah.es/biografias/;
2902;26099/diego-cordoba-y-lasso-de-la-vega;dbe;https://dbe.rah.es/biografias/;
2906;14047/antonio-de-la-pedrosa-y-guerrero;dbe;https://dbe.rah.es/biografias/;
2911;16366/jorge-de-villalonga-fortuny;dbe;https://dbe.rah.es/biografias/;
2915;12744/pedro-mesia-de-la-cerda-y-de-los-rios;dbe;https://dbe.rah.es/biografias/;
2916;14901/manuel-de-guirior-y-portal;dbe;https://dbe.rah.es/biografias/;
2918;16033/juan-de-torrezar-y-diaz-pimienta;dbe;https://dbe.rah.es/biografias/;
2920;14380/francisco-gil-de-taboada-y-lemus;dbe;https://dbe.rah.es/biografias/;
2928;12617/antonio-de-mendoza-y-pacheco;dbe;https://dbe.rah.es/biografias/;
2931;14094/gaston-de-peralta;dbe;https://dbe.rah.es/biografias/;
2933;15651/martin-enriquez-de-almansa;dbe;https://dbe.rah.es/biografias/;
