ID;gz_id;foreignkey;foreignsite;foreignID;foreignprefix
100;9900986;viaf:143198439;viaf;143198439;http://viaf.org/viaf/
101;9900986;loc:n90676159;loc;n90676159;https://lccn.loc.gov/
102;9900986;whg:167807;whg;167807;https://whgazetteer.org/places/
103;9900985;whg:167806;whg;167806;https://whgazetteer.org/places/
104;9900984;whg:167805;whg;167805;https://whgazetteer.org/places/
105;9900983;whg:167804;whg;167804;https://whgazetteer.org/places/
106;9900982;whg:167803;whg;167803;https://whgazetteer.org/places/
107;9900981;whg:167802;whg;167802;https://whgazetteer.org/places/
108;9900980;whg:167801;whg;167801;https://whgazetteer.org/places/
109;9900979;whg:167799;whg;167799;https://whgazetteer.org/places/
110;9900978;wd:Q7137570;wd;Q7137570;https://www.wikidata.org/wiki/
111;9900978;whg:167798;whg;167798;https://whgazetteer.org/places/
112;9900977;whg:167797;whg;167797;https://whgazetteer.org/places/
113;9900976;whg:167796;whg;167796;https://whgazetteer.org/places/
114;9900975;whg:167795;whg;167795;https://whgazetteer.org/places/
115;9900974;whg:167794;whg;167794;https://whgazetteer.org/places/
116;9900973;whg:167793;whg;167793;https://whgazetteer.org/places/
117;9900972;whg:167792;whg;167792;https://whgazetteer.org/places/
118;9900971;whg:167791;whg;167791;https://whgazetteer.org/places/
119;9900968;whg:167789;whg;167789;https://whgazetteer.org/places/
120;9900967;whg:167788;whg;167788;https://whgazetteer.org/places/
121;9900966;whg:167787;whg;167787;https://whgazetteer.org/places/
122;9900965;whg:167786;whg;167786;https://whgazetteer.org/places/
123;9900964;whg:167785;whg;167785;https://whgazetteer.org/places/
124;9900963;whg:167784;whg;167784;https://whgazetteer.org/places/
125;9900962;whg:167783;whg;167783;https://whgazetteer.org/places/
126;9900961;gn:3686460;gn;3686460;https://www.geonames.org/
127;9900961;wd:Q1576762;wd;Q1576762;https://www.wikidata.org/wiki/
128;9900961;whg:167782;whg;167782;https://whgazetteer.org/places/
129;9900960;whg:167781;whg;167781;https://whgazetteer.org/places/
130;9900955;whg:167779;whg;167779;https://whgazetteer.org/places/
131;9900954;whg:167778;whg;167778;https://whgazetteer.org/places/
132;9900953;whg:167777;whg;167777;https://whgazetteer.org/places/
133;9900952;whg:167776;whg;167776;https://whgazetteer.org/places/
134;9900951;whg:167775;whg;167775;https://whgazetteer.org/places/
135;9900950;whg:167774;whg;167774;https://whgazetteer.org/places/
136;9900949;whg:167772;whg;167772;https://whgazetteer.org/places/
137;9900948;whg:167771;whg;167771;https://whgazetteer.org/places/
