OficialID;nombre_id;NOM_entero;Nacimiento_y;Fallecimiento_y;N_date_t;F_date_t;Nombres;particulo;Apellidos;titulo_de_nobleza;religious_order;PlaceOfBirth_Settlement;PlaceOfBirth_GZ_ID;PlaceOfBirth_Province;PlaceOfBirth_Country;Nacimiento_num;PlaceOfDeath_Settlement;PlaceOfDeath_GZ_ID;Fallecimiento_Province;PlaceOfDeath_Country;Fallecimiento_num;Fuente;Nota;flag;status;cargo_primero;cargo_ultimo;NOM_entero_STANDARD;Nombres_standard;Apellidos_standard;Apellidos_min;RANGE_S;RANGE_E;dbe;no_foreignkey;nowiki;tocayos;Nombres_alternative;Apellidos_alternative;N_date;F_date;Nom1;Nom2;Nom3;Part1;Ap1;Part2;Ap2;Part3;Ap3;N1S;N2S;N3S;A1S;A2S;A3S;flag_num;update_flag;FullOficialID
23;baltasar_zuniga_y_guzman;Baltasar Zúñiga y Guzmán;1658;1727;1658;1727;Baltasar;;Zúñiga y Guzmán;Duque de Arión I;;;;;;;Madrid;;;ESP;;;;;wsmwikibatch;PRNEMX00;PRNEMX00;Baltasar Zuniga y Guzman;Baltasar;Zuniga y Guzman;Zuniga Guzman;1658;1727;6793/baltasar-de-zuniga-y-guzman;;haswiki;;;;;;;;;;;;;;;;;;;;;;;persIndias23
26;pedro_castro_figueroa_y_salazar;Pedro Castro Figueroa y Salazar;1678;1741;1678;1741;Pedro;;Castro  Figueroa y Salazar;;;San Julian de Cela;;;ESP;;México;1000001;;MEX;;;;;wsmwikibatch;PRNEMX00;PRNEMX00;Pedro Castro Figueroa y Salazar;Pedro;Castro  Figueroa y Salazar;Castro  Figueroa Salazar;1678;1741;;;haswiki;;;;;;;;;;;;;;;;;;;;;;;persIndias26
27;pedro_cebrian_y_agustin;Pedro Cebrián y Agustín;1687;1752;1687;17.08.1752;Pedro;;Cebrián y Agustín;Conde de Fuenclara  V;;Luceni;;;ESP;16870000;Madrid;;;ESP;17520806;;;dbenew;wsmwikibatch;PRNEMX00;PRNEMX00;Pedro Cebrian y Agustin;Pedro;Cebrian y Agustin;Cebrian Agustin;1687;1752;11910/pedro-cebrian-y-agustin;;haswiki;;;;;;;;;;;;;;;;;;;;;;;persIndias27
28;juan_francisco_guemes_y_horacitas_gordon_de_saenz_de_villamolinedo;Juan Francisco Güemes y Horacitas Gordón de Saenz de Villamolinedo;1681;1766;1681;1766;Juan Francisco;;Güemes y Horacitas  Gordón de Saenz de Villamolinedo;;;Reinosa;;;ESP;;Madrid;;;ESP;;;;;wsmwikibatch;PRSDIC00;SUNE0000;Juan Francisco Guemes y Horacitas Gordon de Saenz de Villamolinedo;Juan Francisco;Guemes y Horacitas  Gordon de Saenz de Villamolinedo;Guemes Horacitas  Gordon Saenz Villamolinedo;1681;1766;;;haswiki;;;;;;;;;;;;;;;;;;;;;;;persIndias28
29;agustin_ahumada_y_villalon;Agustín Ahumada y Villalón;1700;1760;17.09.1700;17.02.1760;Agustín;;Ahumada y Villalón;Marqués de las Amarillas;;Ronda;;;ESP;17000918;México;1000001;;MEX;17600205;;;dbenew;wsmwikibatch;PRNEMX00;PRNEMX00;Agustin Ahumada y Villalon;Agustin;Ahumada y Villalon;Ahumada Villalon;1705;1760;5622/agustin-de-ahumada-y-villalon;added;;;;;;;;;;;;;;;;;;;;;;;;persIndias29
30;francisco_cagigal_de_la_vega;Francisco Cagigal de la Vega;1691;1777;1691;1777;Francisco;;Cagigal de la Vega;;;Hoz de Anero;;;ESP;16910000;Hoz de Anero;;;ESP;17770000;;;dbenew;q;PRSDIC00;PRNEMX00;Francisco Cagigal de la Vega;Francisco;Cagigal de la Vega;Cagigal Vega;1691;1777;9773/francisco-antonio-cagigal-de-la-vega;;haswiki;;;;;;;;;;;;;;;;;;;;;;;persIndias30
31;joaquin_montserrat;Joaquín Montserrat;1700;1771;1700;1771;Joaquín;;Montserrat y Cruillas;Marqués de Cruillas I;;Valencia;;;ESP;;;;;;;;;;wsmwikibatch;PRNEMX00;PRNEMX00;Joaquin Montserrat;Joaquin;Montserrat;Montserrat;1700;1771;16487/joaquin-de-montserrat-y-cruillas;;haswiki;;;;;;;;;;;;;;;;;;;;;;;persIndias31
32;carlos_francisco_croix;Carlos Francisco Croix;1703;1778;17.01.1703;17.10.1778;Carlos Francisco;;Croix;Marqués de Croix;;Lille;;;FRA;17030101;Valencia;;;ESP;17781028;;;dbenew;wsmwikibatch;PRNEMX00;PRNEMX00;Carlos Francisco Croix;Carlos Francisco;Croix;Croix;1703;1778;15135/carlos-francisco-de-croix;;haswiki;;;;;;;;;;;;;;;;;;;;;;;persIndias32
33;antonio_maria_bucareli_y_ursua_hinostrosa_lasso_de_la_vega;Antonio María Bucareli y Ursúa Hinostrosa Lasso de la Vega;1717;1779;1717;1779;Antonio María;;Bucareli y Ursúa  Hinostrosa Lasso de la Vega;;;Sevilla;;;ESP;;México;1000001;;MEX;;;;;wsmwikibatch;PRSDIC00;PRNEMX00;Antonio Maria Bucareli y Ursua Hinostrosa Lasso de la Vega;Antonio Maria;Bucareli y Ursua  Hinostrosa Lasso de la Vega;Bucareli Ursua  Hinostrosa Lasso Vega;1717;1779;;;haswiki;;;;;;;;;;;;;;;;;;;;;;;persIndias33
34;martin_mayorga;Martín Mayorga;1721;1783;1721;1783;Martín;;Díaz de Mayorga y Ferrer;;;Barcelona;;;ESP;;En el mar, frente a las costas de;;Cádiz;ESP;;;;;wsmwikibatch;PRGUGU00;PRNEMX00;Martin Mayorga;Martin;Mayorga;Mayorga;1721;1783;84712/martin-diaz-de-mayorga-y-ferrer;;haswiki;;;;;;;;;;;;;;;;;;;;;;;persIndias34
