OficialID;nombre_id;NOM_entero;Nacimiento_y;Fallecimiento_y;N_date_t;F_date_t;Nombres;particulo;Apellidos;titulo_de_nobleza;religious_order;PlaceOfBirth_Settlement;PlaceOfBirth_GZ_ID;PlaceOfBirth_Province;PlaceOfBirth_Country;Nacimiento_num;PlaceOfDeath_Settlement;PlaceOfDeath_GZ_ID;Fallecimiento_Province;PlaceOfDeath_Country;Fallecimiento_num;Fuente;Nota;flag;status;cargo_primero;cargo_ultimo;NOM_entero_STANDARD;Nombres_standard;Apellidos_standard;Apellidos_min;RANGE_S;RANGE_E;dbe;no_foreignkey;nowiki;tocayos;Nombres_alternative;Apellidos_alternative;N_date;F_date;Nom1;Nom2;Nom3;Part1;Ap1;Part2;Ap2;Part3;Ap3;N1S;N2S;N3S;A1S;A2S;A3S;flag_num;update_flag;FullOficialID
1603;isidoro_marin_bullon_y_figueroa;Isidoro Marín Bullón y Figueroa;1703;1748;1703;1748;Isidoro Marín;;Bullón y Figueroa;;;;;;;1703.05.13;;;;;1748.07.19;;;;q;OBGULE00;OBGULE00;Isidoro Marin Bullon y Figueroa;Isidoro Marin;Bullon y Figueroa;Bullon Figueroa;1703;1748;;;;;Isidoro Marín;Bullón y Figueroa;;;;;;;;;;;;;;;;;;;;persIndias1603
1604;jose_xiron_de_alvarado;José Xirón de Alvarado;1662;1724;1662;1724;José;;Xirón de Alvarado;;OP;;;;;1662;;;;;1724.06.21;;;;q;OBGULE00;OBGULE00;Jose Xiron de Alvarado;Jose;Xiron de Alvarado;Xiron Alvarado;1662;1724;;;;;José;Xirón de Alvarado;;;;;;;;;;;;;;;;;;;;persIndias1604
1605;juan_benito_garret_y_arlovi;Juan Benito Garret y Arlovi;1665;1716;1665;1716;Juan Benito;;Garret y Arlovi;;OPraem;;;;;1665;;;;;1716.10.07;;;;q;OBGULE00;OBGULE00;Juan Benito Garret y Arlovi;Juan Benito;Garret y Arlovi;Garret Arlovi;1665;1716;;;;;Juan Benito;Garret y Arlovi;;;;;;;;;;;;;;;;;;;;persIndias1605
1606;domingo_antonio_de_zatarain;Domingo Antonio de Zatarain;1684;1741;1684;1741;Domingo Antonio;de;Zatarain;;;;;;;1684.11.14;;;;;1741.02.06;;;;q;OBGULE00;OBGULE00;Domingo Antonio de Zatarain;Domingo Antonio;Zatarain;Zatarain;1684;1741;;;;;Domingo Antonio;Zatarain;;;;;;;;;;;;;;;;;;;;persIndias1606
1607;francisco_dionisio_de_villavicencio;Francisco Dionisio de Villavicencio;1664;1735;1664;1735;Francisco Dionisio;de;Villavicencio;;OSA;;;;;1664.07.31;;;;;1735.12.25;;;;q;OBGULE00;OBGULE00;Francisco Dionisio de Villavicencio;Francisco Dionisio;Villavicencio;Villavicencio;1664;1735;;;;;Francisco Dionisio;Villavicencio;;;;;;;;;;;;;;;;;;;;persIndias1607
1608;andres_quiles_galindo;Andrés Quiles Galindo;;1719;;1719;Andrés;;Quiles Galindo;;OFM;;;;;;;;;;1719.07.02;;;;q;OBGULE00;OBGULE00;Andres Quiles Galindo;Andres;Quiles Galindo;Quiles Galindo;1658;1719;;;;;Andrés;Quiles Galindo;;;;;;;;;;;;;;;;;;;;persIndias1608
1609;fernando_nunez_sagredo;Fernando Núñez Sagredo;;;;;Fernando;;Núñez Sagredo;;OSST;;;;;;;;;;;;;;q;OBGULE00;OBGULE00;Fernando Nunez Sagredo;Fernando;Nunez Sagredo;Nunez Sagredo;1573;1689;;;;;Fernando;Núñez Sagredo;;;;;;;;;;;;;;;;;;;;persIndias1609
1610;nicolas_delgado;Nicolás Delgado;;1698;;1698;Nicolás;;Delgado;;OFM;;;;;;León;2000007;;NIC;1698.11.25;;;;q;OBGULE00;OBGULE00;Nicolas Delgado;Nicolas;Delgado;Delgado;1627;1698;51975/nicolas-delgado;;;;Nicolás;Delgado;;;;;;;;;;;;;;;;;;;;persIndias1610
1611;tomas_manso;Tomás Manso;;1659;;1659;Tomás;;Manso;;OFM;;;;;;;;;;1659;;;;q;OBGULE00;OBGULE00;Tomas Manso;Tomas;Manso;Manso;1598;1659;;;;;Tomás;Manso;;;;;;;;;;;;;;;;;;;;persIndias1611
1612;juan_de_rojas_y_asua;Juan de Rojas y Asúa;;;;;Juan;de;Rojas y Asúa;;OdeM;;;;;;;;;;;;;;q;OBGULE00;OBGULE00;Juan de Rojas y Asua;Juan;Rojas y Asua;Rojas Asua;1622;1735;;;;;Juan;Rojas y Asúa;;;;;;;;;;;;;;;;;;;;persIndias1612
1613;andres_de_las_navas_y_quevedo;Andrés de las Navas y Quevedo;1622;1702;1622;1702;Andrés;de las;Navas y Quevedo;;OdeM;;;;;1622;;;;;1702.11.02;;;;q;OBGULE00;OBGUGU00;Andres de las Navas y Quevedo;Andres;las Navas y Quevedo;las Navas Quevedo;1622;1702;;;;;Andrés;Navas y Quevedo;;;;;;;;;;;;;;;;;;;;persIndias1613
1614;alfonso_bravo_de_laguna;Alfonso Bravo de Laguna;;;;;Alfonso;;Bravo de Laguna;;OFM;;;;;;;;;;;;;;q;OBGULE00;OBGULE00;Alfonso Bravo de Laguna;Alfonso;Bravo de Laguna;Bravo Laguna;1604;1724;;;;;Alfonso;Bravo de Laguna;;;;;;;;;;;;;;;;;;;;persIndias1614
1615;juan_de_la_torre_y_castro;Juan de la Torre y Castro;;1662;;1662;Juan;de la;Torre y Castro;;OFM;;;;;;;;;;1662;;;;q;OBGULE00;OBGULE00;Juan de la Torre y Castro;Juan;Torre;Torre;1602;1662;;;;;Juan;Torre;;;;;;;;;;;;;;;;;;;;persIndias1615
1616;alonso_de_briceno_brizeno;Alonso de Briceño Brizeño;1587;1668;1587;1668;Alonso;de;Briceño Brizeño;;;;;;;1587;;;;;1668.11.16;;;;q;OBGULE00;OBVECA00;Alonso de Briceno Brizeno;Alonso;Briceno;Briceno;1587;1668;;;;;Alonso;Briceño;;;;;;;;;;;;;;;;;;;;persIndias1616
1617;juan_barahona_zapata_del_aguila;Juan Barahona Zapata del Águila;1578;1632;1578;1632;Juan;;Barahona Zapata del Águila;;;;;;;1578.10;;;;;1632.11.19;;;;q;OBGULE00;OBGULE00;Juan Barahona Zapata del Aguila;Juan;Barahona Zapata del Aguila;Barahona Zapata Aguila;1578;1632;;;;;Juan;Barahona Zapata del Águila;;;;;;;;;;;;;;;;;;;;persIndias1617
1618;agustin_de_hinojosa_y_montalvo;Agustin de Hinojosa y Montalvo;1575;1631;1575;1631;Agustin;de;Hinojosa y Montalvo;;OFM;;;;;1575;;;;;1631.07.05;;;;q;OBGULE00;OBGULE00;Agustin de Hinojosa y Montalvo;Agustin;Hinojosa y Montalvo;Hinojosa Montalvo;1575;1631;;;;;Agustin;Hinojosa y Montalvo;;;;;;;;;;;;;;;;;;;;persIndias1618
1619;benito_rodriguez_valtodano_baltodano;Benito Rodriguez Valtodano Baltodano;;;;;Benito;;Rodriguez Valtodano Baltodano;;;;;;;;;;;;;;;;q;OBGULE00;OBGULE00;Benito Rodriguez Valtodano Baltodano;Benito;Rodriguez de Valtodano Baltodano;Rodriguez Valtodano Baltodano;1561;1679;;;;;Benito;Rodriguez de Valtodano Baltodano;;;;;;;;;;;;;;;;;;;;persIndias1619
1620;pedro_gomez_fernandez;Pedro Gómez Fernández;;1598;;1598;Pedro;;Gómez Fernández;;;;;;;;;;;;1598.07;;;;q;OBGULE00;OBGUGU00;Pedro Gomez Fernandez;Pedro;Gomez Fernandez de COrdoba;Gomez Fernandez COrdova;1508;1598;;;;;Pedro;Gómez Fernández de Córdoba;;;;;;;;;;;;;;;;;;;;persIndias1620
1621;pedro_de_villarreal;Pedro de Villarreal;;;;;Pedro;de;Villarreal;;;Andújar;;Jaén;ESP;;León;2000007;;NIC;;;;;q;OBGULE00;OBGULE00;Pedro de Villarreal;Pedro;Villarreal;Villarreal;1543;1669;81754/pedro-de-villarreal;;;;Pedro;Villarreal;;;;;;;;;;;;;;;;;;;;persIndias1621
1622;jeronimo_de_escobar;Jerónimo de Escobar;;1593;;1593;Jerónimo;de;Escobar;;OSA;;;;;;;;;;1593.03.19;;;;q;OBGULE00;OBGULE00;Jeronimo de Escobar;Jeronimo;Escobar;Escovar;1532;1593;;;;;Jerónimo;Escobar;;;;;;;;;;;;;;;;;;;;persIndias1622
1623;antonio_de_zayas;Antonio de Zayas;;1582;;1582;Antonio;de;Zayas;;OFM;;;;;;;;;;1582.10.16;;;;q;OBGULE00;OBGULE00;Antonio de Zayas;Antonio;Zayas;Zayas;1515;1582;;;;;Antonio;Zayas;;;;;;;;;;;;;;;;;;;;persIndias1623
1624;luis_de_la_fuente;Luís de la Fuente;;;;;Luís;de la;Fuente;;;;;;;;;;;;;;;;q;OBGULE00;OBGULE00;Luis de la Fuente;Luis;Fuente;Fuente;1504;1616;;;;;;;;;;;;;;;;;;;;;;;;;;persIndias1624
1625;fernando_gonzalez_de_bariodero;Fernando González de Bariodero;;;;;Fernando;;González de Bariodero;;;;;;;;;;;;;;;;q;OBGULE00;OBGULE00;Fernando Gonzalez de Bariodero;Fernando;Gonzalez de Bariodero;Gonzalez Bariodero;1484;1599;;;;;;;;;;;;;;;;;;;;;;;;;;persIndias1625
1626;diego_alvarez_de_osorio;Diego Álvarez de Osorio;1485;1536;1485;1536;Diego;;Álvarez de Osorio;;;;;;;1485;;;;;;;;;wsmwikibatch;PRGUNI00;OBGULE00;Diego Alvarez de Osorio;Diego;Alvarez de Osorio;Alvarez Osorio;1485;1536;51900/diego-alvarez-de-osorio;;;;Diego;Alvarez de Osorio;;;;;;;;;;;;;;;;;;;;persIndias1626
1627;lazaro_carrasco;Lázaro Carrasco;;1562;;1562;Lázaro;;Carrasco;;;;;;;;;;;;1562.11.20;;;;q;OBGULE00;OBGULE00;Lazaro Carrasco;Lazaro;Carrasco;Carrasco;1496;1562;;;;;;;;;;;;;;;;;;;;;;;;;;persIndias1627
1628;francisco_de_mendavia;Francisco de Mendavia;;;;;Francisco;de;Mendavia;;OSH;;;;;;;;;;;;;;q;OBGULE00;OBGULE00;Francisco de Mendavia;Francisco;Mendavia;Mendavia;1477;1590;52045/francisco-de-mendavia;;;;Francisco;Mendavia;;;;;;;;;;;;;;;;;;;;persIndias1628
1629;cayetano_franco_y_monroy;Cayetano Franco y Monroy;1736;1792;1736;1792;Cayetano;;Franco y Monroy;;;;;;;1736.08.07;;;;;1792.07.17;;;;q;OBGUGU00;OBGUGU00;Cayetano Franco y Monroy;Cayetano;Francos y Monroy;Francos Monroy;1736;1792;;;;;Cayetano;Francos y Monroy;;;;;;;;;;;;;;;;;;;;persIndias1629
1630;pedro_cortez_y_larraz;Pedro Cortez y Larraz;1712;1787;1712;1787;Pedro;;Cortez y Larraz;;;;;;;1712.06.06;;;;;1787.07.07;;;;q;OBGUGU00;OBGUGU00;Pedro Cortez y Larraz;Pedro;Cortez y Larraz;Cortez Larraz;1712;1787;;;;;Pedro;Cortez y Larraz;;;;;;;;;;;;;;;;;;;;persIndias1630
1631;pedro_pardo_de_figueroa;Pedro Pardo de Figueroa;;1751;;1751;Pedro;;Pardo de Figueroa;;OM;;;;;;;;;;1751.02.02;;;;q;OBGUGU00;OBGUGU00;Pedro Pardo de Figueroa;Pedro;Pardo de Figueroa;Pardo Figueroa;1675;1751;;;;;Pedro;Pardo de Figueroa;;;;;;;;;;;;;;;;;;;;persIndias1631
1632;francisco_jose_de_figueredo_y_victoria;Francisco José de Figueredo y Victoria;1685;1765;1685;1765;Francisco José;de;Figueredo y Victoria;;;;;;;1685;;;;;1765.06.24;;;;q;OBQUPO00;OBGUGU00;Francisco Jose de Figueredo y Victoria;Francisco Jose;Figueredo y Victoria;Figueredo Victoria;1685;1765;;;;;Francisco José;Figueredo y Victoria;;;;;;;;;;;;;;;;;;;;persIndias1632
1633;mauro_de_larreategui_y_colon;Mauro de Larreátegui y Colón;1650;1711;1650;1711;Mauro;de;Larreátegui y Colón;;OSB;;;;;1650;;;;;1711.11.30;;;;q;OBGUGU00;OBGUGU00;Mauro de Larreategui y Colon;Mauro;Larreategui y Colon;Larreategui Colon;1650;1711;;;;;Mauro;Larreátegui y Colón;;;;;;;;;;;;;;;;;;;;persIndias1633
1634;juan_garcilaso_de_la_vega;Juan Garcilaso de la Vega;;;;;Juan;;Garcilaso de la Vega;;;;;;;;;;;;;;;;q;OBGUGU00;OBGUGU00;Juan Garcilaso de la Vega;Juan;Garcilaso de la Vega;Garcilaso Vega;1592;1702;;;;;;;;;;;;;;;;;;;;;;;;;;persIndias1634
1635;bartolome_gonzalez_soltero;Bartolomé González Soltero;1585;1650;1585;1650;Bartolomé;;González Soltero;;;;;;;1585;;;;;1650.02.25;;;;q;OBGUGU00;OBGUGU00;Bartolome Gonzalez Soltero;Bartolome;Gonzalez Soltero;Gonzalez Soltero;1585;1650;;;;;Bartolomé;González Soltero;;;;;;;;;;;;;;;;;;;;persIndias1635
1636;juan_ramirez_de_arellano;Juan Ramírez de Arellano;;;;;Juan;;Ramírez de Arellano;;OP;;;;;;;;;;;;;;wsmwikibatch;PRSDJA00;OBGUGU00;Juan Ramirez de Arellano;Juan;Ramirez de Arellano;Ramirez Arellano;1540;1659;;;;;Juan;Ramírez de Arellano;;;;;;;;;;;;;;;;;;;;persIndias1636
1637;vicente_navas;Vicente Navas;1741;1809;1741;1809;Vicente;;Navas;;;;;;;1741.07.12;;;;;1809;;;;q;OBGUCY00;OBGUCY00;Vicente Navas;Vicente;Navas;Navas;1741;1809;;;;;;;;;;;;;;;;;;;;;;;;;;persIndias1637
1638;fernando_cardinanos;Fernando Cardiñanos;1731;1794;1731;1794;Fernando;;Cardiñanos;;;;;;;1731.05.29;;;;;1794.07;;;;q;OBGUCY00;OBGUCY00;Fernando Cardinanos;Fernando;Cardinanos;Cardinanos;1731;1794;;;;;;;;;;;;;;;;;;;;;;;;;;persIndias1638
1639;jose_antonio_de_isabela;José Antonio de Isabela;;1785;;1785;José Antonio;de;Isabela;;;;;;;;;;;;1785.12;;;;q;OBGUCY00;OBGUCY00;Jose Antonio de Isabela;Jose Antonio;Isabela;Isavela;1725;1785;;;;;;;;;;;;;;;;;;;;;;;;;;persIndias1639
1640;francisco_jose_de_palencia;Francisco José de Palencia;1709;1775;1709;1775;Francisco José;de;Palencia;;;;;;;1709.12.04;;;;;1775.11;;;;q;OBGUCY00;OBGUCY00;Francisco Jose de Palencia;Francisco Jose;Palencia;Palencia;1709;1775;;;;;;;;;;;;;;;;;;;;;;;;;;persIndias1640
1641;antonio_macarulla_minguilla_de_aguilain;Antonio Macarulla Minguilla de Aguilain;1718;1781;1718;1781;Antonio;;Macarulla Minguilla de Aguilain;;;;;;;1718.04.16;;;;;1781.06.12;;;;q;OBGUCY00;OBGDDU00;Antonio Macarulla Minguilla de Aguilain;Antonio;Macarulla Minguilla de Aguilain;Macarulla Minguilla Aguilain;1718;1781;;;;;Antonio;Macarulla Minguilla de Aguilain;;;;;;;;;;;;;;;;;;;;persIndias1641
1642;antonio_lopez_portillo_de_guadalupe;Antonio López Portillo de Guadalupe;1679;1742;1679;1742;Antonio;;López Portillo de Guadalupe;;;;;;;1679;;;;;1742.01.06;;;;q;OBGUCY00;OBGUCY00;Antonio Lopez Portillo de Guadalupe;Antonio;Lopez Portillo de Guadalupe;Lopez Portillo Guadalupe;1679;1742;;;;;;;;;;;;;;;;;;;;;;;;;;persIndias1642
1643;francisco_de_molina;Francisco de Molina;1686;1749;1686;1749;Francisco;de;Molina;;;;;;;1686.12.08;;;;;1749;;;;q;OBGUCY00;OBGUCY00;Francisco de Molina;Francisco;Molina;Molina;1686;1749;;;;;;;;;;;;;;;;;;;;;;;;;;persIndias1643
1644;juan_perez_carpintero;Juan Pérez Carpintero;1646;1724;1646;1724;Juan;;Pérez Carpintero;;;;;;;1646;;;;;1724.05.12;;;;q;OBGUCY00;OBGUCY00;Juan Perez Carpintero;Juan;Perez Carpintero;Perez Carpintero;1646;1724;;;;;;;;;;;;;;;;;;;;;;;;;;persIndias1644
1645;alfonso_del_galdo;Alfonso del Galdo;1550;1629;1550;1629;Alfonso;del; Galdo;;;;;;;1550.06.15;;;;;1629;;;;q;OBGUCY00;OBGUCY00;Alfonso del Galdo;Alfonso; Galdo; Galdo;1550;1629;;;;;;;;;;;;;;;;;;;;;;;;;;persIndias1645
1646;alonso_vargas_y_barca;Alonso Vargas y Barca;1633;1697;1633;1697;Alonso;;Vargas y Barca;;;;;;;1633.04;;;;;1697;;;;q;OBGUCY00;OBGUCY00;Alonso Vargas y Barca;Alonso;Vargas y Barca;Vargas Barca;1633;1697;;;;;;;;;;;;;;;;;;;;;;;;;;persIndias1646
1647;gaspar_de_andrada;Gaspar de Andrada;;;;;Gaspar;de;Andrada;;;;;;;;;;;;;;;;q;OBGUCY00;OBGUCY00;Gaspar de Andrada;Gaspar;Andrada;Andrada;1527;1662;;;;;;;;;;;;;;;;;;;;;;;;;;persIndias1647
1648;alfonso_de_la_cerda;Alfonso de la Cerda;;1592;;1592;Alfonso;de la;Cerda;;OP;;;;;;;;;;1592.06.25;;;;q;OBGUCY00;OBCCCC00;Alfonso de la Cerda;Alfonso;Cerda;Cerda;1518;1592;;;;;Alfonso;Cerda;;;;;;;;;;;;;;;;;;;;persIndias1648
1649;martin_de_espinosa_monzon;Martín de Espinosa Monzon;1614;1676;1614;1676;Martín;de;Espinosa Monzon;;;;;;;1614;;;;;1676;;;;q;OBGUCY00;OBGUCY00;Martin de Espinosa Monzon;Martin;Espinosa Monzon;Espinosa Monzon;1614;1676;;;;;;;;;;;;;;;;;;;;;;;;;;persIndias1649
1650;juan_merlo_de_la_fuente;Juan Merlo de la Fuente;;1665;;1665;Juan Merlo;de la;Fuente;;;;;;;;;;;;1665;;;;q;OBGUCY00;OBGUCY00;Juan Merlo de la Fuente;Juan Merlo;Fuente;Fuente;1590;1665;;;;;;;;;;;;;;;;;;;;;;;;;;persIndias1650
1651;manuel_machado_y_luna;Manuel Machado y Luna;1701;1752;1701;1752;Manuel;;Machado y Luna;;;;;;;1701.05.17;;;;;1752.01.29;;;;q;OBVECA00;OBVECA00;Manuel Machado y Luna;Manuel;Machado y Luna;Machado Luna;1701;1752;;;;;Manuel;Machado y Luna;;;;;;;;;;;;;;;;;;;;persIndias1651
1652;manuel_jimenez_breton;Manuel Jiménez Bretón;;1749;;1749;Manuel;;Jiménez Bretón;;;;;;;;;;;;1749.03.30;;;;q;OBVECA00;OBVECA00;Manuel Jimenez Breton;Manuel;Jimenez Breton;Jimenez Breton;1688;1749;;;;;Manuel;Jiménez Bretón;;;;;;;;;;;;;;;;;;;;persIndias1652
1653;juan_garcia_abadiano;Juan García Abadiano;1678;1747;1678;1747;Juan;;García Abadiano;;;;;;;1678.05.24;;;;;1747.05.06;;;;q;OBVECA00;OBVECA00;Juan Garcia Abadiano;Juan;Garcia Abadiano;Garcia Avadiano;1678;1747;;;;;Juan;García Abadiano;;;;;;;;;;;;;;;;;;;;persIndias1653
1654;agustin_de_gorritategui_gorrichategui;Agustín de Gorritátegui Gorrichategui;1716;1776;1716;1776;Agustín;de;Gorritátegui Gorrichategui;;;;;;;1716.10.14;;;;;1776.10.28;;;;q;OBPECU00;OBPECU00;Agustin de Gorritategui Gorrichategui;Agustin;Gorritategui;Gorritategui;1716;1776;;;;;Agustín;Gorritátegui;;;;;;;;;;;;;;;;;;;;persIndias1654
1655;jose_manuel_de_sarricolea_y_olea;José Manuel de Sarricolea y Olea;1670;1740;16.12.1670;17.10.1740;José Manuel;de;Sarricolea y Olea;;;Huanuco;6001084;;PER;16701207;Cuzco;;;PER;17401002;;;dbenew;q;OBRPCO00;OBCHSA00;Jose Manuel de Sarricolea y Olea;Jose Manuel;Sarricolea y Olea;Sarricolea Olea;1670;1740;47706/jose-manuel-de-sarricolea-y-olea;;;;José Manuel;Sarricolea y Olea;;;;;;;;;;;;;;;;;;;;persIndias1655
1656;gabriel_de_arregui_y_gutierrez;Gabriel de Arregui y Gutiérrez;1654;1724;1654;1724;Gabriel;de;Arregui y Gutiérrez;;OFM;;;;;1654.03.23;;;;;1724.10.09;;;;q;OBRPBA00;OBPECU00;Gabriel de Arregui y Gutierrez;Gabriel;Aguirre y Gutierrez;Aguirre Gutierrez;1654;1724;;;;;Gabriel;Aguirre y Gutiérrez;;;;;;;;;;;;;;;;;;;;persIndias1656
1657;juan_gonzalez_de_santiago;Juan González de Santiago;1635;1707;1635;1707;Juan;;González de Santiago;;;;;;;1635;;;;;1707.12.12;;;;q;OBPECU00;OBPECU00;Juan Gonzalez de Santiago;Juan;Gonzalez de Santiago;Gonzalez Santiago;1635;1707;;;;;Juan;González de Santiago;;;;;;;;;;;;;;;;;;;;persIndias1657
1658;manuel_de_mollinedo_angulo;Manuel de Mollinedo Angulo;;1699;;1699;Manuel;de;Mollinedo Angulo;;;;;;;;;;;;1699.12.12;;;;q;OBPECU00;OBPECU00;Manuel de Mollinedo Angulo;Manuel;Molinedo Angulo;Molinedo Angulo;1610;1699;;;;;Manuel;Molinedo Angulo;;;;;;;;;;;;;;;;;;;;persIndias1658
1659;agustin_munoz_de_sandoval;Agustín Muñoz de Sandoval;1610;1661;1610;1661;Agustín;;Muñoz de Sandoval;;;;;;;1610;;;;;1661.04;;;;q;OBPECU00;OBPECU00;Agustin Munoz de Sandoval;Agustin;Munoz Sandoval;Munoz Sandoval;1610;1661;;;;;Agustín;Muñoz Sandoval;;;;;;;;;;;;;;;;;;;;persIndias1659
1660;diego_montoya_mendoza;Diego Montoya Mendoza;1593;1640;1593;1640;Diego;;Montoya Mendoza;;;;;;;1593.07.23;;;;;1640.04.14;;;;q;OBQUPO00;OBPETR00;Diego Montoya Mendoza;Diego;Montoya Mendoza;Montoya Mendoza;1593;1640;;;;;Diego;Montoya Mendoza;;;;;;;;;;;;;;;;;;;;persIndias1660
1661;lorenzo_perez_de_grado;Lorenzo Pérez de Grado;;;;;Lorenzo;;Pérez de Grado;;;;;;;;;;;;;;;;q;OBRPPA00;OBPECU00;Lorenzo Perez de Grado;Lorenzo;Perez de Grado;Perez Grado;1555;1677;;;;;Lorenzo;Pérez de Grado;;;;;;;;;;;;;;;;;;;;persIndias1661
1662;fernando_de_mendoza_gonzalez;Fernando de Mendoza González;1549;1618;1549;1618;Fernando;de;Mendoza González;;;;;;;1549;;;;;1618;;;;q;OBPECU00;OBPECU00;Fernando de Mendoza Gonzalez;Fernando;Mendoza Gonzalez;Mendoza Gonzalez;1549;1618;;;;;Fernando;Mendoza González;;;;;;;;;;;;;;;;;;;;persIndias1662
1663;antonio_de_raya_navarrete;Antonio de Raya Navarrete;1536;1606;1536;1606;Antonio;de;Raya Navarrete;;;;;;;1536;;;;;1606.07.28;;;;q;OBPECU00;OBPECU00;Antonio de Raya Navarrete;Antonio;Raya Navarrete;Raya Navarrete;1536;1606;;;;;Antonio;Raya Navarrete;;;;;;;;;;;;;;;;;;;;persIndias1663
1664;sebastian_de_lartaun;Sebastián de Lartaún;1500;1583;1500;15.10.1583;Sebastián;de;Lartaún;;;Oyarzun;;;ESP;;Lima;;;PER;15831009;;;dbenew;q;OBPECU00;OBPECU00;Sebastian de Lartaun;Sebastian;Lartaum;Lartaum;1510;1583;35814/sebastian-de-lartaun;;;;Sebastián;Lartaum;;;;;;;;;;;;;;;;;;;;persIndias1664
1665;mateo_pinello;Mateo Pinello;;1569;;1569;Mateo;;Pinello;;;;;;;;;;;;1569;;;;q;OBPECU00;OBPECU00;Mateo Pinello;Matias;Pineto;Pineto;1505;1569;;;;;Matías;Pineto;;;;;;;;;;;;;;;;;;;;persIndias1665
1666;francisco_ramirez_(obispo);Francisco Ramírez (obispo);;1564;;1564;Francisco;;Ramírez;;;;;;;;;;;;1564;;;;q;OBPECU00;OBPECU00;Francisco Ramirez (obispo);Francisco;Ramirez;Ramirez;1502;1564;;;;si;;;;;;;;;;;;;;;;;;;;;;persIndias1666
1667;juan_solano;Juan Solano;1504;1580;1504;15.02.1580;Juan;;Solano;;OP;Archidona;;;ESP;15040000;Roma;;;ITA;15800219;;;dbenew;q;PRGUCR00;OBPECU00;Juan Solano;Juan;Solano;Solano;1504;1580;15513/juan-de-solano;;;;Juan;Solano;;;;;;;;;;;;;;;;;;;;persIndias1667
1668;vicente_de_valverde_alvarez;Vicente de Valverde Alvarez;1499;;1499;?;Vicente;de;Valverde Alvarez;;OP;;;;;1499;;;;;;;;;q;OBPECU00;OBPECU00;Vicente de Valverde Alvarez;Vicente;Valverde Alvarez;Valverde Alvarez;1499;1591;;;;;Vicente;Valverde Alvarez;;;;;;;;;;;;;;;;;;;;persIndias1668
1669;luis_la_encina_diaz_y_pereiro;Luis La Encina Díaz y Pereiro;1754;1816;1754;1816;Luis;;La Encina Díaz y Pereiro;;;;;;;1754.09.24;;;;;1816.01.16;;;;q;OBPEAR00;OBPEAR00;Luis La Encina Diaz y Pereiro;Luis;La Encina Diaz y Pereiro;La Encina Diaz Pereiro;1754;1816;;;;;Luis;La Encina Díaz y Pereiro;;;;;;;;;;;;;;;;;;;;persIndias1669
1670;pedro_jose_chavez_de_la_rosa;Pedro José Chávez de la Rosa;1740;;1740;?;Pedro José;;Chávez de la Rosa;;;;;;;1740.06.24;;;;;;;;;q;OBPEAR00;OBPEAR00;Pedro Jose Chavez de la Rosa;Pedro Jose;Chavez de la Rosa;Chavez Rosa;1740;1855;;;;;Pedro José;Chávez de la Rosa;;;;;;;;;;;;;;;;;;;;persIndias1670
1671;miguel_de_pamplona_gonzalez_bassecourt;Miguel de Pamplona González Bassecourt;1719;1792;1719;1792;Miguel de Pamplona;;González Bassecourt;;OFMCap;;;;;1719.04.24;;;;;1792.03.11;;;;q;OBPEAR00;OBPEAR00;Miguel de Pamplona Gonzalez Bassecourt;Miguel;Gonzalez Bassecourt;Gonzalez Bassecourt;1719;1792;;;;;Miguel;González Bassecourt;;;;;;;;;;;;;;;;;;;;persIndias1671
1672;manuel_de_abad_e_illanar;Manuel de Abad e Illanar;1713;1780;1713;1780;Manuel;de;Abad e Illanar;;OPraem;;;;;1713.12.01;;;;;1780.02.01;;;;q;OBRPCO00;OBPEAR00;Manuel de Abad e Illanar;Manuel;Abad e Illanar;Avad e Illanar;1713;1780;;;;;Manuel;Abad e Illanar;;;;;;;;;;;;;;;;;;;;persIndias1672
1673;diego_de_salguero_de_cabrera;Diego de Salguero de Cabrera;1710;1769;1710;1769;Diego;de;Salguero de Cabrera;;;;;;;1710;;;;;1769.12.02;;;;q;OBPEAR00;OBPEAR00;Diego de Salguero de Cabrera;Diego;Salguero y Cabrera;Salguero Cavrera;1710;1769;;;;;Diego;Salguero y Cabrera;;;;;;;;;;;;;;;;;;;;persIndias1673
1674;jacinto_aguado_y_chacon;Jacinto Aguado y Chacón;1696;1764;1696;1764;Jacinto;;Aguado y Chacón;;;;;;;1696.09.23;;;;;1764.03.27;;;;q;OBNGCA00;OBPEAR00;Jacinto Aguado y Chacon;Jacinto;Aguado y Chacon;Aguado Chacon;1696;1764;;;;;Jacinto;Aguado y Chacón;;;;;;;;;;;;;;;;;;;;persIndias1674
1675;juan_gonzalez_melgarejo;Juan González Melgarejo;1690;1754;1690;17.03.1754;Juan;;González Melgarejo;;;Asunción;9000006;;PAR;16900000;Santiago de Chile;3000001;;CHL;17540306;;;dbenew;q;OBCHSA00;OBPEAR00;Juan Gonzalez Melgarejo;Juan;Gonzalez Melgarejo;Gonzalez Melgarejo;1690;1754;47709/juan-gonzalez-melgarejo;;;;Juan;González Melgarejo;;;;;;;;;;;;;;;;;;;;persIndias1675
