gz_id;Entidad_ID;Nivel;tipo;Label;lat;lon;START;END_;C_START;C_END;tipolink;Cabecera;fuente_ID;template;Nivel_START;Nivel_END
1000000;FREDBPXX;Partido;Fronteras;Bajo Putumayo;90;0;1701;1808;1111;1808;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808);1701;1808
1000000;FREDCAXX;Partido;Fronteras;Pais de la Canela;90;0;1701;1808;1111;1808;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808);1701;1808
1000000;FREDCAXX;Fronteras;Fronteras;Pais de la Canela;90;0;1111;1808;1111;1808;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808);1111;9999
1000000;FREDXXXX;Fronteras;Fronteras;El Dorado;90;0;1111;1808;1111;1808;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808);1111;9999
1000000;FRFLGUXX;Partido;Fronteras;Guale;90;0;1701;1731;1111;1731;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1731);1701;1731
1000000;FRFLGUXX;Fronteras;Fronteras;Guale;90;0;1111;1731;1111;1731;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1731);1111;9999
1000000;FRGUCYTA;Partido;Fronteras;Taguzalpa;90;0;1701;1808;1111;1808;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808);1701;1808
1000000;FRGUCYXI;Partido;Fronteras;Xicayes;90;0;1701;1808;1111;1808;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808);1701;1808
1000000;FRGUMOCH;Partido;Fronteras;Choles;90;0;1701;1808;1111;1808;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808);1701;1808
1000000;FRGUNITO;Partido;Fronteras;Tologalpa;90;0;1701;1808;1111;1808;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808);1701;1808
1000000;FRMOCMXX;Partido;Fronteras;Costa mosquita;90;0;1701;1806;1111;9999;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-9999);1701;1806
1000000;FRMORFXX;Partido;Fronteras;Suerre;90;0;1701;1808;1111;9999;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-9999);1701;1808
1000000;FRMOTABT;Partido;Fronteras;Bocas del Toro;90;0;1701;1808;1111;9999;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-9999);1701;1808
1000000;FRMOTAXX;Partido;Fronteras;Talamanca;90;0;1701;1808;1111;9999;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-9999);1701;1808
1000000;FRMOXXXX;Fronteras;Fronteras;Golfo;90;0;1111;9999;1111;9999;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-9999);1111;9999
1000000;FRNGCHCH;Fronteras;Fronteras;Chocoes;90;0;1111;1808;1111;1808;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808);1111;9999
