ID;gz_id;label;nombre;nombrehoy;variantes;santo;fuente_ID;start;start_ex;end_;end_ex;check;template;check1;template1;wikitext1;wikitext2;wikitext
1453;1000934;Nexpa;Nexpa;;;;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1000934]]@Nombre: Nexpa@Santo: @Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1000934@----;;;;;
1454;1000935;Oaxtepec;Santo Domingo Oaxtepec;;Guastepec @ Guastepeque;Santo Domingo;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1000935]]@Nombre: Santo Domingo Oaxtepec@Santo: Santo Domingo@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1000935@----;;;;;
1455;1000936;Ocotepec;San Salvador Ocotepec;;;San Salvador;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1000936]]@Nombre: San Salvador Ocotepec@Santo: San Salvador@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1000936@----;;;;;
1456;1000937;Ocotitlan;Santo Domingo Ocotitlan;;;Santo Domingo;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1000937]]@Nombre: Santo Domingo Ocotitlan@Santo: Santo Domingo@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1000937@----;;;;;
1457;1000938;Panchimalco;San Juan Bautista Panchimalco;;;San Juan Bautista;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1000938]]@Nombre: San Juan Bautista Panchimalco@Santo: San Juan Bautista@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1000938@----;;;;;
1458;1000939;Pazulco;Santa Maria Pazulco;;;Santa Maria;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1000939]]@Nombre: Santa Maria Pazulco@Santo: Santa Maria@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1000939@----;;;;;
1459;1000940;Pueblo Nuevo;Pueblo Nuevo;;;;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1000940]]@Nombre: Pueblo Nuevo@Santo: @Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1000940@----;;;;;
1460;1000941;Puente De Ixtla;San Mateo Puente De Ixtla;;;San Mateo;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1000941]]@Nombre: San Mateo Puente De Ixtla@Santo: San Mateo@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1000941@----;;;;;
1461;1000942;San Andres;San Andres;;Acacueyecan de la Cal;San Andres;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1000942]]@Nombre: San Andres@Santo: San Andres@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1000942@----;;;;;
1462;1000943;San Vicente;San Vicente Zacualpan;;Zacualpan;San Vicente;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1000943]]@Nombre: San Vicente Zacualpan@Santo: San Vicente@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1000943@----;;;;;
1463;1000944;Santa Catarina;Santa Catarina Zacatepetlac;;Zacatepetlac;Santa Catarina;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1000944]]@Nombre: Santa Catarina Zacatepetlac@Santo: Santa Catarina@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1000944@----;;;;;
1464;1000945;Tecajec;San Nicolas Tecajec;;;San Nicolas;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1000945]]@Nombre: San Nicolas Tecajec@Santo: San Nicolas@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1000945@----;;;;;
1465;1000946;Tehuixtla;San Pedro y San Pablo Tehuixtla;;;San Pedro y San Pablo;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1000946]]@Nombre: San Pedro y San Pablo Tehuixtla@Santo: San Pedro y San Pablo@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1000946@----;;;;;
