gz_id;Entidad_ID;Nivel;tipo;Label;lat;lon;START;END_;C_START;C_END;tipolink;Cabecera;fuente_ID;template;Nivel_START;Nivel_END
3000037;PTSDLHBT;Partido;Partido politico;Bauta;22.9828;-82.5463999999;1765;1808;1765;1808;conceptos:partido;Bauta;;[[:gazetteer:3000037|Bauta]] (1765-1808);1765;1808
3000038;PTSDLHBV;Partido;Partido politico;Buenaventura;22.7836000004;-82.3332999996;1786;1808;1786;1808;conceptos:partido;Buenaventura;;[[:gazetteer:3000038|Buenaventura]] (1786-1808);1786;1808
3000039;PTSDLHCV;Partido;Partido politico;Calvario;23.0559439997;-82.331203;1765;1808;1765;1808;conceptos:partido;Calvario;;[[:gazetteer:3000039|Calvario]] (1765-1808);1765;1808
3000040;PTSDLHCO;Partido;Partido politico;Cano;23.0331000003;-82.4592000004;1765;1808;1765;1808;conceptos:partido;Cano;;[[:gazetteer:3000040|Cano]] (1765-1808);1765;1808
3000041;PTSDLHGA;Partido;Partido politico;Gabriel;22.8156000003;-82.4618999999;1786;1808;1786;1808;conceptos:partido;Gabriel;;[[:gazetteer:3000041|Gabriel]] (1786-1808);1786;1808
3000042;PTSDLHGI;Partido;Partido politico;Gibacoa;23.1134500004;-81.8731849999;1799;1808;1799;1808;conceptos:partido;Gibacoa;;[[:gazetteer:3000042|Gibacoa]] (1799-1808);1765;1808
3000043;PTSDMAGC;Partido;Partido politico;Guamacaro;22.9503000004;-81.4104000003;1765;1807;1765;1807;conceptos:partido;Guamacaro;;[[:gazetteer:3000043|Guamacaro]] (1765-1807);1765;1808
3000043;PTSDMAGC;Partido;Partido politico;Guamacaro;22.9503000004;-81.4104000003;1808;1808;1808;1808;conceptos:partido;Guamacaro;;[[:gazetteer:3000043|Guamacaro]] (1808-1808);1765;1808
3000045;PTSDLHGT;Partido;Partido politico;Guatao;23.0021999998;-82.4968999996;1765;1808;1765;1808;conceptos:partido;Guatao;;[[:gazetteer:3000045|Guatao]] (1765-1808);1765;1808
3000046;PTSDLHGY;Partido;Partido politico;Guajaybon;23.0276000002;-82.6456999998;1781;1808;1765;1808;conceptos:partido;Guajaybon;;[[:gazetteer:3000046|Guajaybon]] (1765-1808);1781;1808
3000047;PTSDMAGM;Partido;Partido politico;Guamutas;22.8501000004;-80.9167000004;1765;1776;1765;1776;conceptos:partido;Guamutas;;[[:gazetteer:3000047|Guamutas]] (1765-1776);1765;1808
