Entidad;Nombre;Variantes;tipo;Provincia_generica;Reg;WikiID;Redirect;Entidad_alternate;START;END_;Numero_corriente;GCath;CathHierarchy;viaf;Region;Nivel_default;Comentario;Lat_Capital;Lon_Capital
PTSDLHMR;Marianao;Marianao @ Marianabo @ Quemados viejo @ Quemados de Marianao @ Buenavista;Partido;La Habana;SDO;marianao_partido_sdo;~~REDIRECT>marianao_partido_sdo~~;SDLHMRPT;1765;1808;1321;;;;Santo Domingo;Partido;;23.07345;-82.43063
PTSDLHPA;Palacios;Palacios @;Partido;La Habana;SDO;palacios_partido_sdo;~~REDIRECT>palacios_partido_sdo~~;SDLHPAPT;1808;1808;1322;;;;Santo Domingo;Partido;;22.5872;-83.2486
PTSDLHPI;Isla de Pinos;Isla de Pinos @;Partido;La Habana;SDO;isla_de_pinos_partido_sdo;~~REDIRECT>isla_de_pinos_partido_sdo~~;SDLHPIPT;1778;1808;1323;;;;Santo Domingo;Partido;;21.69;-82.81
PTSDLHPO;Potosi;Potosi @;Partido;La Habana;SDO;potosi_partido_sdo;~~REDIRECT>potosi_partido_sdo~~;SDLHPOPT;1765;1808;1324;;;;Santo Domingo;Partido;;23.11774;-82.31058
PTSDLHPR;Prensa;Prensa @ Cerro;Partido;La Habana;SDO;prensa_partido_sdo;~~REDIRECT>prensa_partido_sdo~~;SDLHPRPT;1765;1808;1325;;;;Santo Domingo;Partido;;23.11446;-82.37813
PTSDLHPZ;Pozas;Pozas @ Posas @ Cacarajicara;Partido;La Habana;SDO;pozas_partido_sdo;~~REDIRECT>pozas_partido_sdo~~;SDLHPZPT;1801;1808;1326;;;;Santo Domingo;Partido;;22.86718;-83.29887
PTSDLHQU;Quemado;Quemado @;Partido;La Habana;SDO;quemado_partido_sdo;~~REDIRECT>quemado_partido_sdo~~;SDLHQUPT;1765;9999;1429;;;;Santo Domingo;Partido;;23.0294;-82.6275
PTSDLHRE;Regla;Regla @;Partido;La Habana;SDO;regla_partido_sdo;~~REDIRECT>regla_partido_sdo~~;SDLHREPT;1765;1808;1327;;;;Santo Domingo;Partido;;23.12601;-82.33203
PTSDLHRI;Sibarimar;Sibarimar @ Rincon de Sibarimar @ Rincon;Partido;La Habana;SDO;sibarimar_partido_sdo;~~REDIRECT>sibarimar_partido_sdo~~;SDLHRIPT;1765;1808;1328;;;;Santo Domingo;Partido;;23.1675;-82.1173
PTSDLHSC;Santa Cruz de los Pinos;Santa Cruz de los Pinos @ Pinos;Partido;La Habana;SDO;santa_cruz_de_los_pinos_partido_sdo;~~REDIRECT>santa_cruz_de_los_pinos_partido_sdo~~;SDLHSCPT;1765;1808;1329;;;;Santo Domingo;Partido;;22.68192;-83.12108
PTSDLHSD;San Diego;San Diego @ San Diego de los Baños;Partido;La Habana;SDO;san_diego_partido_sdo;~~REDIRECT>san_diego_partido_sdo~~;SDLHSDPT;1808;1808;1330;;;;Santo Domingo;Partido;;22.64631;-83.36725
PTSDLHSJ;San Jeronimo;San Jeronimo @ San Geronimo @ Cerro Pelado @ San Geronimo de Peñalver;Partido;La Habana;SDO;san_jeronimo_partido_sdo;~~REDIRECT>san_jeronimo_partido_sdo~~;SDLHSJPT;1788;1808;1331;;;;Santo Domingo;Partido;;23.05;-82.2334
PTSDLHSL;San Lazaro;San Lazaro @;Partido;La Habana;SDO;san_lazaro_partido_sdo;~~REDIRECT>san_lazaro_partido_sdo~~;SDLHSLPT;1765;1808;1332;;;;Santo Domingo;Partido;;23.13993;-82.37199
PTSDLHSM;San Marcos;San Marcos @ Guanacaje;Partido;La Habana;SDO;san_marcos_partido_sdo;~~REDIRECT>san_marcos_partido_sdo~~;SDLHSMPT;1765;1808;1333;;;;Santo Domingo;Partido;;22.75532;-82.80807
PTSDLHSP;San Pedro;San Pedro @;Partido;La Habana;SDO;san_pedro_partido_sdo;~~REDIRECT>san_pedro_partido_sdo~~;SDLHSPPT;1765;1808;1334;;;;Santo Domingo;Partido;;22.95211;-82.49124
PTSDLHTA;Tapaste;Tapaste @;Partido;La Habana;SDO;tapaste_partido_sdo;~~REDIRECT>tapaste_partido_sdo~~;SDLHTAPT;1795;1808;1335;;;;Santo Domingo;Partido;;23.02394;-82.13648
PTSDLHWA;Wajay;Wajay @ Jubajay;Partido;La Habana;SDO;wajay_partido_sdo;~~REDIRECT>wajay_partido_sdo~~;SDLHWAPT;1765;1808;1336;;;;Santo Domingo;Partido;;23.00209;-82.42433
PTSDLHYA;Yaguaramas;Yaguaramas @;Partido;La Habana;SDO;yaguaramas_partido_sdo;~~REDIRECT>yaguaramas_partido_sdo~~;SDLHYAPT;1788;1808;1337;;;;Santo Domingo;Partido;;22.25385;-80.72135
PTSDMAAG;Aguacate;Aguacate @;Partido;La Habana;SDO;aguacate_partido_sdo;~~REDIRECT>aguacate_partido_sdo~~;SDMAAGPT;1790;1808;1338;;;;Santo Domingo;Partido;;22.984;-81.8231
PTSDMACM;Cuabal de Madruga;Cuabal de Madruga @ Madruga @ Cuajal de Madruga;Partido;La Habana;SDO;cuabal_de_madruga_partido_sdo;~~REDIRECT>cuabal_de_madruga_partido_sdo~~;SDMACMPT;1790;1808;1339;;;;Santo Domingo;Partido;;22.9099;-81.8575
PTSDMAGC;Guamacaro;Guamacaro @;Partido;La Habana;SDO;guamacaro_partido_sdo;~~REDIRECT>guamacaro_partido_sdo~~;SDMAGCPT;1765;1808;1340;;;;Santo Domingo;Partido;;22.9503;-81.4104
PTSDMAGM;Guamutas;Guamutas @;Partido;La Habana;SDO;guamutas_partido_sdo;~~REDIRECT>guamutas_partido_sdo~~;SDMAGMPT;1765;1808;1341;;;;Santo Domingo;Partido;;22.94823;-80.92077
