gz_id;Entidad_ID;Nivel;tipo;Label;lat;lon;start;START_ex;end_;END_ex;C_START;C_Start_ex;C_END_;C_END_ex;gz_start;gz_end;tipolink;Cabecera;fuente_ID;template
1000000;FRCIMOXX;Fronteras;Fronteras;Moqui;90.0000000001;9.99875737762e-11;1111;start;1808;hgis;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808)
1000000;FRCINAXX;Fronteras;Fronteras;Navajos;90.0000000001;9.99875737762e-11;1111;start;1808;hgis;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808)
1000000;FRCITEXX;Fronteras;Fronteras;Gran Teguayo;90.0000000001;9.99875737762e-11;1111;start;1808;hgis;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808)
1000000;FRCIXXXX;Fronteras;Fronteras;Cibola;90.0000000001;9.99875737762e-11;1111;start;1808;hgis;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808)
1000000;FRCIYUXX;Fronteras;Fronteras;Yutas;90.0000000001;9.99875737762e-11;1111;start;1808;hgis;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808)
1000000;FRCMSGXX;Fronteras;Fronteras;Sierra Gorda;90.0000000001;9.99875737762e-11;1111;start;9999;end;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-9999)
1000000;FRCMXXXX;Fronteras;Fronteras;Chichimeca;90.0000000001;9.99875737762e-11;1111;start;9999;end;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-9999)
1000000;FREDBPXX;Fronteras;Fronteras;Bajo Putumayo;90.0000000001;9.99875737762e-11;1111;start;1808;hgis;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808)
1000000;FREDCAXX;Fronteras;Fronteras;Pais de la Canela;90.0000000001;9.99875737762e-11;1111;start;1808;hgis;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808)
1000000;FREDXXXX;Fronteras;Fronteras;El Dorado;90.0000000001;9.99875737762e-11;1111;start;1808;hgis;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808)
1000000;FRFLGUXX;Fronteras;Fronteras;Guale;90.0000000001;9.99875737762e-11;1111;start;1731;exact;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1731)
1000000;FRFLXXXX;Fronteras;Fronteras;La Florida;90.0000000001;9.99875737762e-11;1111;start;9999;end;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-9999)
1000000;FRGDNLHX;Fronteras;Fronteras;Huaxteca;90.0000000001;9.99875737762e-11;1111;start;1747;exact;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1747)
