citlist;Cita_completa;ftid;FuenteID;tipo;Nombre;Apellido;Autores_adicionales;Titulo;en_;Vols;Lugar;Año;Año original;Signatura;Archivo;URL;Nota;flag;tiempo;template;wikiincluded
Archivalia;'Copia de informe de Emparán sobre el estado de la provincia de Cumaná, 3 de agosto de 1793', en: Archivo General de Indias,Caracas,521;1448;agi_caracas_521_1;Archivalia;;;;Copia de informe de Emparán sobre el estado de la provincia de Cumaná, 3 de agosto de 1793;;;;;;Caracas,521;Archivo General de Indias;;;;;---- dataentry fuente ----@tipo-publicacion : Archivalia@FuenteID : agi_caracas_521_1@Nombre : @Apellido : @Autores adicionales : @Titulo : Copia de informe de Emparán sobre el estado de la provincia de Cumaná, 3 de agosto de 1793@en : @Vols : @Lugar : @Año : @Original : @Vols : @Archivo : Archivo General de Indias@Signatura : Caracas,521@URL : @Cita completa : 'Copia de informe de Emparán sobre el estado de la provincia de Cumaná, 3 de agosto de 1793', en: Archivo General de Indias,Caracas,521@----;yes
Archivalia;'Copia de informe de Emparán sobre las tenencias de gobierno, 22 de junio de 1793', en: Archivo General de Indias,Caracas,521;1449;agi_caracas_521_2;Archivalia;;;;Copia de informe de Emparán sobre las tenencias de gobierno, 22 de junio de 1793;;;;;;Caracas,521;Archivo General de Indias;;;;;---- dataentry fuente ----@tipo-publicacion : Archivalia@FuenteID : agi_caracas_521_2@Nombre : @Apellido : @Autores adicionales : @Titulo : Copia de informe de Emparán sobre las tenencias de gobierno, 22 de junio de 1793@en : @Vols : @Lugar : @Año : @Original : @Vols : @Archivo : Archivo General de Indias@Signatura : Caracas,521@URL : @Cita completa : 'Copia de informe de Emparán sobre las tenencias de gobierno, 22 de junio de 1793', en: Archivo General de Indias,Caracas,521@----;yes
Archivalia;'Testimonio de la Real Provición [...] sobre la supreción de los thenientes de la Governación de la ciudad de Cumaná y Nueva Barcelona, 8 de noviembre de 1793', en: Archivo General de Indias,Caracas,521;1450;agi_caracas_521_3;Archivalia;;;;Testimonio de la Real Provición [...] sobre la supreción de los thenientes de la Governación de la ciudad de Cumaná y Nueva Barcelona, 8 de noviembre de 1793,f.15;;;;;;Caracas,521;Archivo General de Indias;;;;;---- dataentry fuente ----@tipo-publicacion : Archivalia@FuenteID : agi_caracas_521_3@Nombre : @Apellido : @Autores adicionales : @Titulo : Testimonio de la Real Provición [...] sobre la supreción de los thenientes de la Governación de la ciudad de Cumaná y Nueva Barcelona, 8 de noviembre de 1793,f.15@en : @Vols : @Lugar : @Año : @Original : @Vols : @Archivo : Archivo General de Indias@Signatura : Caracas,521@URL : @Cita completa : 'Testimonio de la Real Provición [...] sobre la supreción de los thenientes de la Governación de la ciudad de Cumaná y Nueva Barcelona, 8 de noviembre de 1793', en: Archivo General de Indias,Caracas,521@----;yes
Archivalia;'Fortificaciones, pertrechos de guerra situados de tropa', en: Archivo General de Indias,Caracas,878;1451;agi_caracas_878;Archivalia;;;;Fortificaciones, pertrechos de guerra situados de tropa;;;;;;Caracas,878;Archivo General de Indias;;;;;---- dataentry fuente ----@tipo-publicacion : Archivalia@FuenteID : agi_caracas_878@Nombre : @Apellido : @Autores adicionales : @Titulo : Fortificaciones, pertrechos de guerra situados de tropa@en : @Vols : @Lugar : @Año : @Original : @Vols : @Archivo : Archivo General de Indias@Signatura : Caracas,878@URL : @Cita completa : 'Fortificaciones, pertrechos de guerra situados de tropa', en: Archivo General de Indias,Caracas,878@----;yes
Archivalia;'Títulos varios', en: Archivo General de Indias,Caracas,50;1492;agi_caracas_titulos;Archivalia;;;;Títulos varios;;;;;;Caracas,50;Archivo General de Indias;;;;;---- dataentry fuente ----@tipo-publicacion : Archivalia@FuenteID : agi_caracas_titulos@Nombre : @Apellido : @Autores adicionales : @Titulo : Títulos varios@en : @Vols : @Lugar : @Año : @Original : @Vols : @Archivo : Archivo General de Indias@Signatura : Caracas,50@URL : @Cita completa : 'Títulos varios', en: Archivo General de Indias,Caracas,50@----;yes
Archivalia;'Cuentas de diferentes corregimiento del Nuevo Reino de Granada', en: Archivo General de Indias,Contaduria,S. 13 (1341,1347,1541,1544-1549-1551,1591-1597, 1600, 1602, 1604, 1607, 1857);1493;agi_contaduria_cuentas;Archivalia;;;;Cuentas de diferentes corregimiento del Nuevo Reino de Granada;;;;;;Contaduria,S. 13 (1341,1347,1541,1544-1549-1551,1591-1597, 1600, 1602, 1604, 1607, 1857);Archivo General de Indias;;;;;---- dataentry fuente ----@tipo-publicacion : Archivalia@FuenteID : agi_contaduria_cuentas@Nombre : @Apellido : @Autores adicionales : @Titulo : Cuentas de diferentes corregimiento del Nuevo Reino de Granada@en : @Vols : @Lugar : @Año : @Original : @Vols : @Archivo : Archivo General de Indias@Signatura : Contaduria,S. 13 (1341,1347,1541,1544-1549-1551,1591-1597, 1600, 1602, 1604, 1607, 1857)@URL : @Cita completa : 'Cuentas de diferentes corregimiento del Nuevo Reino de Granada', en: Archivo General de Indias,Contaduria,S. 13 (1341,1347,1541,1544-1549-1551,1591-1597, 1600, 1602, 1604, 1607, 1857)@----;yes
Archivalia;'Licencia de ANASTASIO GONZALEZ RAMIREZ DE ZARATE', en: Archivo General de Indias,CONTRATACION,5465,N.2,R.29;1452;agi_contratacion_5465_2_29;Archivalia;;;;Licencia de ANASTASIO GONZALEZ RAMIREZ DE ZARATE;;;;;;CONTRATACION,5465,N.2,R.29;Archivo General de Indias;;;;;---- dataentry fuente ----@tipo-publicacion : Archivalia@FuenteID : agi_contratacion_5465_2_29@Nombre : @Apellido : @Autores adicionales : @Titulo : Licencia de ANASTASIO GONZALEZ RAMIREZ DE ZARATE@en : @Vols : @Lugar : @Año : @Original : @Vols : @Archivo : Archivo General de Indias@Signatura : CONTRATACION,5465,N.2,R.29@URL : @Cita completa : 'Licencia de ANASTASIO GONZALEZ RAMIREZ DE ZARATE', en: Archivo General de Indias,CONTRATACION,5465,N.2,R.29@----;yes
Archivalia;'Licencia de ANTANASIO GONZALEZ RAMIREZ DE ZARATE', en: Archivo General de Indias,CONTRATACION,5467,N.81;1453;agi_contratacion_5467_81;Archivalia;;;;Licencia de ANTANASIO GONZALEZ RAMIREZ DE ZARATE;;;;;;CONTRATACION,5467,N.81;Archivo General de Indias;;;;;---- dataentry fuente ----@tipo-publicacion : Archivalia@FuenteID : agi_contratacion_5467_81@Nombre : @Apellido : @Autores adicionales : @Titulo : Licencia de ANTANASIO GONZALEZ RAMIREZ DE ZARATE@en : @Vols : @Lugar : @Año : @Original : @Vols : @Archivo : Archivo General de Indias@Signatura : CONTRATACION,5467,N.81@URL : @Cita completa : 'Licencia de ANTANASIO GONZALEZ RAMIREZ DE ZARATE', en: Archivo General de Indias,CONTRATACION,5467,N.81@----;yes
Archivalia; 'Sección de correos', en: Archivo General de Indias, Correos;1321;AGI_Correos;Archivalia;;NN.;;Sección de correos;;;;;;Correos;Archivo General de Indias;;;;;---- dataentry fuente ----@tipo-publicacion : Archivalia@FuenteID : AGI_Correos@Nombre : @Apellido : NN.@Autores adicionales : @Titulo : Sección de correos@en : @Vols : @Lugar : @Año : @Original : @Vols : @Archivo : Archivo General de Indias@Signatura : Correos@URL : @Cita completa :  'Sección de correos', en: Archivo General de Indias, Correos@----;yes
Archivalia;'Instrucciones para el corregidor de Bolaños', en: Archivo General de Indias,Guadalajara,115,carpeta 4a;1454;agi_guadalajara_115_4a;Archivalia;;;;Instrucciones para el corregidor de Bolaños;;;;;;Guadalajara,115,carpeta 4a;Archivo General de Indias;;;;;---- dataentry fuente ----@tipo-publicacion : Archivalia@FuenteID : agi_guadalajara_115_4a@Nombre : @Apellido : @Autores adicionales : @Titulo : Instrucciones para el corregidor de Bolaños@en : @Vols : @Lugar : @Año : @Original : @Vols : @Archivo : Archivo General de Indias@Signatura : Guadalajara,115,carpeta 4a@URL : @Cita completa : 'Instrucciones para el corregidor de Bolaños', en: Archivo General de Indias,Guadalajara,115,carpeta 4a@----;yes
