START;END_;Tipo;Label;Nombre;Variantes;Entidad_ID;Nivel
1111;1808;Fronteras;Butalmapus;Araucania;Araucania @ Butalmapus;FRCHBMBM;Provincia_menor
1111;1808;Fronteras;Carelmapu;Araucania;Carelmapu @;PTCHCHCM;Partido
1111;1808;Fronteras;Chaco Gualamba;Gran Chaco;Chaco Gualamba @ Chaco Austral;FRRPCHGU;Partido
1111;1808;Fronteras;Chaco Septentrional;Gran Chaco;Chaco Septentrional @ Chaco Boreal @ Chaco Chiriguano;FRRPCHBO;Partido
1111;1808;Fronteras;Chimilas;Indios bravos;Chimilas @;FRNGSMCH;Fronteras
1111;1808;Fronteras;Chocoes;Chocoes;Chocoes @;FRNGCHCH;Fronteras
1111;1808;Fronteras;Choles;Golfo;Choles @;FRGUMOCH;Partido
1111;1808;Fronteras;Cibola;Cibola;Cibola @;FRCIXXXX;Fronteras
1111;1808;Fronteras;Darienes;Darienes;Cunas @ Cunacuna @ Cuna Cuna @ Cunacunas @ Uraba @ Urabi;FRNGCUXX;Fronteras
1111;1808;Fronteras;Darienes;Darienes;Cunas @ Cunacuna @ Cuna Cuna @ Cunacunas @ Uraba @ Urabi;FRNGCUXX;Partido
1111;1808;Fronteras;El Dorado;El Dorado;El Dorado @ Coropa @ Nueva Estremadura @ Nueva Extremadura;FREDXXXX;Fronteras
1111;1808;Fronteras;Estancias;Estancias de Misiones;Estancias de Misiones @;PTRPMIEM;Partido
1111;1808;Fronteras;Fronteras de Paraguay;Mamelucos;Fronteras de Paraguay @;PTRPPAFR;Partido
1111;1808;Fronteras;Gila;Cibola;Gila @;FRCIGIXX;Partido
1111;1808;Fronteras;Gran Chaco;Gran Chaco;Gran Chaco @;FRRPCHXX;Fronteras
1111;1808;Fronteras;Gran Pajonal;Paititi;Gran Pajonal @ Pangoa;FRPAPJXX;Partido
1111;1808;Fronteras;Gran Teguayo;Quivira;Gran Teguayo @ Tiguas @ Tiwas @ Tehuas @ Tihuas @ Teguas @ Yutas;FRCITEXX;Partido
1111;1808;Fronteras;Guajiros;Indios bravos;Guajiros @;FRNGSMGU;Fronteras
1111;1808;Fronteras;Huamboyas;Pais de la Canela;Huamboyas @;FRQUMCHU;Partido
1111;1808;Fronteras;Itatines y Jerez;Mamelucos;Itatines @ Jerez;FRPAMAIT;Partido
1111;1808;Fronteras;Jivaros;Pais de la Canela;Jivaros @ Jibaros;FRQUJIXX;Fronteras
1111;1808;Fronteras;Llanos de Manso;Gran Chaco;Llanos de Manso @;FRRPCHLL;Partido
1111;1808;Fronteras;Mamelucos;Mamelucos;Mamelucos @;FRPAMAXX;Fronteras
1111;1808;Fronteras;Moqui;Cibola;Moqui @;FRCIMOXX;Partido
1111;1808;Fronteras;Motilones;Indios bravos;Motilones @;FRNGMOXX;Fronteras
1111;1808;Fronteras;Natage;Cibola;Apacheria Natage @;FRQVNMNT;Partido
1111;1808;Fronteras;Navajos;Cibola;Navajos @;FRCINAXX;Partido
1111;1808;Fronteras;Pais de la Canela;Pais de la Canela;Pais de la Canela @;FREDCAXX;Fronteras
1111;1808;Fronteras;Pais de la Canela;Pais de la Canela;Pais de la Canela @;FREDCAXX;Partido
