fid;REG;Entidad;tipo;Label;Nombre;START;START_ex;END;END_ex;START_nb;START_na;END_nb;END_na;Agregado;Ent_identica;AbrA;AbrB;Wikilink_id;Wikilink_tipo;Entidad_alt;Wikilink;Wikilink2;Provincia_generica;Fuente;Nombre completo;Nombre_completo_wiki;Cabecera
561;CHL;PRCHSA00;Gobernacion;Chile;Chile;1563;exact;1785;exact;;;;;False;SUCH0000;Prov.;Prov.;santiago_provincia_chl;conceptos:cabecera;CHSA00PR;chl_provincia_santiago;CHL;Provincia;;Gobernacion cabecera de Chile;[[:conceptos:cabecera|Gobernacion cabecera]] de Chile;True
563;CHA;JUCCCBAR;Subdelegacion;Arque;Arque;1784;exact;1808;hgis;;;;;False;;Sd.;Sd.;arque_jurisdiccion_cha;conceptos:subdelegacion;CCCBARJU;cha_cochabamba_arque;CHA;Cochabamba;;Subdelegacion de Arque;[[:conceptos:subdelegacion|Subdelegacion]] de Arque;False
564;CHA;JUCCCBAY;Subdelegacion;Ayopaya;Ayopaya;1784;exact;1808;hgis;;;;;False;;Sd.;Sd.;ayopaya_jurisdiccion_cha;conceptos:subdelegacion;CCCBAYJU;cha_cochabamba_ayopaya;CHA;Cochabamba;;Subdelegacion de Ayopaya;[[:conceptos:subdelegacion|Subdelegacion]] de Ayopaya;False
566;CHA;JUCCCBCB;Corregimiento;Cochabamba;Cochabamba;1583;not_after;1783;exact;;;;;False;;C;C;cochabamba_jurisdiccion_cha;conceptos:corregimiento;CCCBCBJU;cha_cochabamba_cochabamba;CHA;Cochabamba;;Corregimiento de Cochabamba;[[:conceptos:corregimiento|Corregimiento]] de Cochabamba;False
567;CHA;JUCCCBCL;Subdelegacion;Clisa;Clisa;1784;exact;1808;hgis;;;;;False;;Sd.;Sd.;clisa_jurisdiccion_cha;conceptos:subdelegacion;CCCBCLJU;cha_cochabamba_clisa;CHA;Cochabamba;;Subdelegacion de Clisa;[[:conceptos:subdelegacion|Subdelegacion]] de Clisa;False
569;CHA;PRCCCBSC;Gobernacion-Capitania General;Santa Cruz;Santa Cruz de la Sierra;1561;exact;1783;exact;;;;;False;;G;Gob.;santa cruz de la sierra_provincia_cha;conceptos:gobernacion;CCCBSCPR;cha_provincia_santa cruz de la sierra;CHA;Provincia;;Gobernacion-Capitania General de Santa Cruz;[[:conceptos:gobernacion|Gobernacion-Capitania General]] de Santa Cruz;False
571;CHA;JUCCCBTA;Subdelegacion;Tapacari;Tapacari;1784;exact;1808;hgis;;;;;False;;Sd.;Sd.;tapacari_jurisdiccion_cha;conceptos:subdelegacion;CCCBTAJU;cha_cochabamba_tapacari;CHA;Cochabamba;;Subdelegacion de Tapacari;[[:conceptos:subdelegacion|Subdelegacion]] de Tapacari;False
573;CHA;JUCCCBVG;Subdelegacion;Valle-grande;Valle-grande;1784;exact;1808;hgis;;;;;False;;Sd.;Sd.;valle grande_jurisdiccion_cha;conceptos:subdelegacion;CCCBVGJU;cha_cochabamba_valle grande;CHA;Cochabamba;;Subdelegacion de Valle-grande;[[:conceptos:subdelegacion|Subdelegacion]] de Valle-grande;False
574;CHA;JUCCPOAT;Corregimiento;Atacama;Atacama;1583;not_after;1783;exact;;;;;False;;C;C;atacama_jurisdiccion_cha;conceptos:corregimiento;CCPOATJU;cha_potosi_atacama;CHA;Potosi;;Corregimiento de Atacama;[[:conceptos:corregimiento|Corregimiento]] de Atacama;False
575;CHA;JUCCPOAT;Subdelegacion;Atacama;Atacama;1784;exact;1808;hgis;;;;;False;;Sd.;Sd.;atacama_jurisdiccion_cha;conceptos:subdelegacion;CCPOATJU;cha_potosi_atacama;CHA;Potosi;;Subdelegacion de Atacama;[[:conceptos:subdelegacion|Subdelegacion]] de Atacama;False
576;CHA;JUCCCCCA;Corregimiento;Carangas;Carangas;1583;not_after;1783;exact;;;;;False;;C;C;carangas_jurisdiccion_cha;conceptos:corregimiento;CCCCCAJU;cha_charcas_carangas;CHA;Charcas;;Corregimiento de Carangas;[[:conceptos:corregimiento|Corregimiento]] de Carangas;False
