OficialID;foreignkey;prefix;prefixurl
1215;bdtye;cathie;https://www.catholic-hierarchy.org/bishop/
1216;12625;GCath;
1216;bdvyc;cathie;https://www.catholic-hierarchy.org/bishop/
1217;12626;GCath;
1217;bdenavia;cathie;https://www.catholic-hierarchy.org/bishop/
1218;12627;GCath;
1218;bfloresde;cathie;https://www.catholic-hierarchy.org/bishop/
1219;12655;GCath;
1219;bdelavara;cathie;https://www.catholic-hierarchy.org/bishop/
1220;12661;GCath;
1220;bvalera;cathie;https://www.catholic-hierarchy.org/bishop/
1221;12662;GCath;
1221;bportor;cathie;https://www.catholic-hierarchy.org/bishop/
1222;13125;GCath;
1222;bmargal;cathie;https://www.catholic-hierarchy.org/bishop/
1223;Francisco Javier de Lizana y Beaumont;wiki-es;https://es.wikipedia.org/wiki/
1223;13142;GCath;
1223;bdelizana;cathie;https://www.catholic-hierarchy.org/bishop/
1224;13493;GCath;
1224;bsantan;cathie;https://www.catholic-hierarchy.org/bishop/
1225;13568;GCath;
1225;blopezg;cathie;https://www.catholic-hierarchy.org/bishop/
1226;13730;GCath;
1227;13731;GCath;
1227;bhermi;cathie;https://www.catholic-hierarchy.org/bishop/
1228;13732;GCath;
1228;bespa;cathie;https://www.catholic-hierarchy.org/bishop/
1229;13733;GCath;
1229;btorcm;cathie;https://www.catholic-hierarchy.org/bishop/
1230;13746;GCath;
1231;13747;GCath;
1231;bgarcmo;cathie;https://www.catholic-hierarchy.org/bishop/
1232;13757;GCath;
1232;bmartim;cathie;https://www.catholic-hierarchy.org/bishop/
1233;13758;GCath;
1233;bdiem;cathie;https://www.catholic-hierarchy.org/bishop/
1234;13759;GCath;
1234;bantf;cathie;https://www.catholic-hierarchy.org/bishop/
1235;13760;GCath;
1235;bmaro;cathie;https://www.catholic-hierarchy.org/bishop/
1236;13789;GCath;
1236;bcorlab;cathie;https://www.catholic-hierarchy.org/bishop/
1237;13790;GCath;
1237;46696361;viaf;https://viaf.org/viaf/
1237;bcarlaf;cathie;https://www.catholic-hierarchy.org/bishop/
1238;13791;GCath;
1238;58800226;viaf;https://viaf.org/viaf/
1238;bqupo;cathie;https://www.catholic-hierarchy.org/bishop/
1239;13792;GCath;
1239;bcarmar;cathie;https://www.catholic-hierarchy.org/bishop/
1240;13812;GCath;
1240;bgapan;cathie;https://www.catholic-hierarchy.org/bishop/
1241;14195;GCath;
1241;blacu;cathie;https://www.catholic-hierarchy.org/bishop/
1242;14231;GCath;
1243;14234;GCath;
1243;bcobmun;cathie;https://www.catholic-hierarchy.org/bishop/
1244;14850;GCath;
1244;36875637;viaf;https://viaf.org/viaf/
1244;bhernav;cathie;https://www.catholic-hierarchy.org/bishop/
1245;14851;GCath;
1245;bpear;cathie;https://www.catholic-hierarchy.org/bishop/
1246;José Manuel de Goyeneche;wiki-es;https://es.wikipedia.org/wiki/
1246;14855;GCath;
1246;bgoye;cathie;https://www.catholic-hierarchy.org/bishop/
1247;14860;GCath;
1247;bgondlr;cathie;https://www.catholic-hierarchy.org/bishop/
1248;14861;GCath;
1248;bdeparada;cathie;https://www.catholic-hierarchy.org/bishop/
1249;14862;GCath;
1249;bdelcorro;cathie;https://www.catholic-hierarchy.org/bishop/
1250;14863;GCath;
1250;bbaan;cathie;https://www.catholic-hierarchy.org/bishop/
1251;14867;GCath;
1251;19542360;viaf;https://viaf.org/viaf/
1251;bdefonte;cathie;https://www.catholic-hierarchy.org/bishop/
1252;14868;GCath;
1252;7644240;viaf;https://viaf.org/viaf/
1252;bnunezde;cathie;https://www.catholic-hierarchy.org/bishop/
1253;14869;GCath;
1253;brubio;cathie;https://www.catholic-hierarchy.org/bishop/
1254;Juan Antonio Vizarrón y Eguiarreta;wiki-es;https://es.wikipedia.org/wiki/
1254;14870;GCath;
1254;bvizarron;cathie;https://www.catholic-hierarchy.org/bishop/
1255;14871;GCath;
1256;14872;GCath;
