santo
""
[-]
Altagracia
Altagracia de San Jose
Angeles
Anunciacion
Ascension
Asuncion
Asuncion (San Pedro)
Belen
Buen Jesus
Candelaria
Caridad
Carmen
Cinco Señores
Circuncision
Concepcion
Corpus Christi
Desposorios
Divino Pastor
Dolores
Dolores y San Pablo Ermitaño
Ecce Homo
Encarnacion
Espiritu Santo
Guadalupe
Jesus
Jesus Nazareno
Jesus, Maria y Jose
Loreto
Luz
Magdalena
Merced
Mercedes
Natividad
Natividad de La Virgen
Natividad De Nuestra Señora
Nativitas
Navidad De Jesus
Nazareno
Nieves
Niño Dios
NS de Chiquinquira
Nuestra Señora
Nuestra Señora de Chiquinquira
Nuestra Señora de Copacabana
Nuestra Señora de la Angustia
Nuestra Señora de la Capilla
Nuestra Señora de la Guia
Nuestra Señora de la Pobreza
Nuestra Señora De Loreto
Nuestra Señora de los Angeles
Nuestra Señora de los Dolores
Nuestra Señora De Montserrate
Nuestra Señora De Navidad
Nuestra Señora de Regla de Madruga
Nuestra Señora del Buen Viaje
Nuestra Señora del Pilar
Nuestra Señora del Popolo
Nuestra Señora del Populo
Nuestra Señora La Conquistadora
Patricinio de San Jose
Patrocinio
Pilar
Pilar y San Rafael
Presentacion
Purificacion
Remedios
Reyes
Reyes Magos
Rosario
Saint Landry
Salvador
San  Miguel
San Agaton
San Agustin
San Alexo
San Alonso
San Ambrosio
San Andres
San Angel
San Anselmo
San Antonino
San Antonio
San Antonio Abad
San Antonio de los Naranjos
San Antonio de Padua
San Antonio del Mar
San Atanasio
San Baltasar
San Baltazar
San Bartolome
San Basilio
San Basilio el Magno
San Benito
San Benito Abad
San Bernabe
San Bernardino
San Bernardo
San Blas
San Bonifacio
San Buenaventura
San Bueneventura
San Camilo
San Carlos
San Cayetano
San Cipriano
San Claudio
San Clemente
San Cosme
San Cosme y  Damian
San Cosme y San Damian
San Cristobal
San Damian
San Diego
San Diego Alcala
San Diego Alcantara
San Dimas
San Dionisio
San Emigdio
San Estanislao
San Esteban
San Eugenio
San Eustaquio
San Faustino
San Feliciano
San Felipe
San Felipe De Jesus
San Felipe Jesus
San Felipe Neri
San Felipe y Santiago
San Felix
San Fermin
San Fernando
San Fidel
San Francisco
San Francisco Asis
San Francisco Borja
San Francisco de Asis
San Francisco de Paula
San Francisco Javier
San Francisco Solano
San Gabriel
San Gaspar
San Genaro
San German
San Geronimo
San Gil
San Gregorio
San Gregorio Nacianceno
San Guillermo
San Hilario
San Hipolito
San Ignacio
San Ignacio Loyola
San Ildefonso
San Isidro
San Jacinto
San Javier
San Jeronimo
San Joaquin
San Jorge
San Jose
San Jose (San Javier)
San Jose (San Lucas)
San Jose y Santiago
San Juan
San Juan (Concepcion)
San Juan (San Esteban)
San Juan Bautista
San Juan Bautista (San Jose)
San Juan Capistrano
San Juan Crisostomo
San Juan de
San Juan de Buenavista
San Juan Evangelista
San Juan Nepomuceno
San Juanico
San Judas
San Julian
San Lazaro
San ldefonso
San Lorenzo
San Lucas
San Luis
San Luis Bertran
San Luis Gonzaga
San Luis Obispo
San Luiz Gonzaga
San Manuel
San Marcelo
San Marcelo de Leon
San Marcial
San Marcos
San Marcos Evangelista
San Martin
San Martin (San Andres)
San Mateo
San Matias
San Maximo
San Melchor
San Miguel
San Miguel Arcangel
San Miguel del Palmar
San Miguelito
San Narciso
San Nicolas
San Nicolas de Bari
San Nicolas Tolentino
San Onofre
San Pablo
San Pablo (San Pedro)
San Pedrito
San Pedro
San Pedro Alcantara
San Pedro Apostol
San Pedro de
San Pedro de Alcantara
San Pedro Martir
San Pedro Nolasco
San Pedro y San Antonio
San Pedro y San Pablo
San Pelayo
San Rafael
San Raimundo
San Ramon
San Raymundo
San Regis
San Roman
San Roque
San Rosendo
San Salvador
San Sebastian
San Serafin
San Severino
San Simon
San Tadeo
San Teodoro
San Timoteo
San Valentin
San Vicente
San Xavier
San Zenon
Sanctispiritus
Sanctorum
Santa Agueda
Santa Ana
Santa Ana y San Jose
Santa Anita
Santa Apolonia
Santa Barbara
Santa Catalina
Santa Catarina
Santa Catarina Sena
Santa Catharina
Santa Cecilia
Santa Clara
Santa Cruz
Santa Cruz y Soledad
Santa Efigenia
Santa Elena
Santa Eulalia
Santa Fe
Santa Florentina
Santa Gertrudis
Santa Ines
Santa Isabel
Santa Juana
Santa Justina
Santa Lucia
Santa Magdalena
Santa Margarita
Santa Maria
Santa Maria (San Antonio)
Santa Maria (San Simon)
Santa Maria (Santa Lucia)
Santa Maria (Trinidad)
Santa Maria De Jesus
Santa Maria de la Defensa
Santa Maria del Puerto
Santa Maria Magdalena
Santa Maria Natividad
Santa Marta
Santa Monica
Santa Olaya
Santa Rita
Santa Rosa
Santa Rosalia
Santa Tecla
Santa Teresa
Santa Ursula
Santander
Santander de Mainas
Santanez
Santiago
Santiago y San Felipe
Santiaguito
Santillana
Santisima Cruz
Santisima Trinidad
Santo Angel
Santo Corazon
Santo Cristo
Santo Domingo
Santo Domingo (San Andres)
Santo Ecce
Santo Ecce Home
Santo Espiritu
Santo Rosario
Santo Tomas
Santo Tomas Canturiense
Santo Tome
Santo Toribio
Santos Angeles de Orabueya
Santos Angeles de Roamainas
Santos Inocentes
Santos Reyes
Santuario
Socorro
Soledad
Todos Santos
Transfiguracion
Tres Reyes
Trinidad
Vera Paz
Victoria
Visitacion
