REG;gz_id;InstID;Label;Tipo;Cardinalidad;Rango;Lugar;START_;START_ex;END_;END_ex;Nota;Fuente;Orden;Superior;Principal;Domain
QUI;5600014;Correo_5600014;Estafeta de correo de Riobamba;Estafeta de correo;Estafeta;4;Riobamba;1772;;9999;;;AGI_Correos;;Quito;Lima;Correo
QUI;5600022;Correo_5600022;Estafeta de correo de Babahoyo;Estafeta de correo;Estafeta;4;Babahoyo;1783;;9999;;;AGI_Correos;;Guayaquil;Lima;Correo
QUI;5600025;Correo_5600025;Estafeta de correo de Naranjal;Estafeta de correo;Estafeta;4;Naranjal;1783;;9999;;;AGI_Correos;;Guayaquil;Lima;Correo
QUI;5600028;Correo_5600028;Estafeta de correo de Portoviejo;Estafeta de correo;Estafeta;4;Portoviejo;1808;;9999;;;AGI_Correos;;Guayaquil;Lima;Correo
QUI;5600031;Correo_5600031;Estafeta de correo de Almaguer;Estafeta de correo;Estafeta;4;Almaguer;1796;;9999;;;AGI_Correos;;Popayan;Santa Fe;Correo
QUI;5600032;Correo_5600032;Estafeta de correo de Buga;Estafeta de correo;Estafeta;4;Buga;1782;;1788;;;AGI_Correos;;Popayan;Lima;Correo
QUI;5600032;Correo_5600032;Estafeta de correo de Buga;Estafeta de correo;Estafeta;4;Buga;1789;;9999;;Según Pando ya 1774;AGI_Correos;;Popayan;Santa Fe;Correo
QUI;5600033;Correo_5600033;Estafeta de correo de Cali;Estafeta de correo;Estafeta;4;Cali;1782;;1788;;;AGI_Correos;;Popayan;Lima;Correo
QUI;5600033;Correo_5600033;Estafeta de correo de Cali;Estafeta de correo;Estafeta;4;Cali;1789;;9999;;Según Pando ya 1774;AGI_Correos;;Popayan;Santa Fe;Correo
NGR;5600036;Correo_5600036;Estafeta de correo de Anserma;Estafeta de correo;Estafeta;4;Anserma;1777;;9999;;;AGI_Correos;;Cartago;Santa Fe;Correo
NGR;5600037;Correo_5600037;Administración de correo de Cartago;Administración de correo;Subprincipal;2;Cartago;1776;;9999;;;AGI_Correos;;Santa Fe;Santa Fe;Correo
NGR;5600040;Correo_5600040;Estafeta de correo de Toro;Estafeta de correo;Estafeta;4;Toro;1777;;9999;;;AGI_Correos;;Cartago;Santa Fe;Correo
QUI;5600042;Correo_5600042;Estafeta de correo de Pasto;Estafeta de correo;Estafeta;4;Pasto;1772;;9999;;;AGI_Correos;;Quito;Lima;Correo
QUI;5600044;Correo_5600044;Estafeta de correo de Alausi;Estafeta de correo;Estafeta;4;Alausi;1788;;9999;;;AGI_Correos;;Quito;Lima;Correo
QUI;5600046;Correo_5600046;Estafeta de correo de Macas;Estafeta de correo;Estafeta;4;Macas;1807;;9999;;;AGI_Correos;;Quito;Lima;Correo
QUI;5600050;Correo_5600050;Estafeta de correo de Barbacoas;Estafeta de correo;Estafeta;4;Barbacoas;1784;;9999;;pocas cuentas;AGI_Correos;;Pasto;Lima;Correo
QUI;5600051;Correo_5600051;Estafeta de correo de Caloto;Estafeta de correo;Estafeta;4;Caloto;1782;;1788;;reaparece solo 1794 en las cuentas de Santa Fe;AGI_Correos;;Popayan;Lima;Correo
QUI;5600051;Correo_5600051;Estafeta de correo de Caloto;Estafeta de correo;Estafeta;4;Caloto;1789;;9999;;Según Pando ya 1774;reaparece solo 1794 en las cuentas de Santa Fe;AGI_Correos;Popayan;Santa Fe;Correo
QUI;5600082;Correo_5600082;Estafeta de correo de Cañar;Estafeta de correo;Estafeta;4;Cañar;1805;not_after;9999;not_after;;AGI_Correos;;Quito;Lima;Correo
QUI;5600087;Correo_5600087;Estafeta de correo de Gualaseo;Estafeta de correo;Estafeta;4;Gualaseo;1805;not_after;9999;not_after;;AGI_Correos;;Quito;Lima;Correo
QUI;5600160;Correo_5600160;Estafeta de correo de Mercaderes;Estafeta de correo;Estafeta;4;Mercaderes;1796;;9999;;;AGI_Correos;;Popayan;Santa Fe;Correo
QUI;5600164;Correo_5600164;Estafeta de correo de Quilichao;Estafeta de correo;Estafeta;4;Quilichao;1782;;1788;;Según Pando ya 1774;AGI_Correos;;Popayan;Lima;Correo
QUI;5600164;Correo_5600164;Estafeta de correo de Quilichao;Estafeta de correo;Estafeta;4;Quilichao;1789;;9999;;;AGI_Correos;;Popayan;Santa Fe;Correo
NGR;5600169;Correo_5600169;Estafeta de correo de Supia;Estafeta de correo;Estafeta;4;Supia;1792;;9999;;;AGI_Correos;;Cartago;Santa Fe;Correo
QUI;5600188;Correo_5600188;Estafeta de correo de Tuquerres;Estafeta de correo;Estafeta;4;Tuquerres;1795;;9999;;;AGI_Correos;;Pasto;Lima;Correo
QUI;5600237;Correo_5600237;Estafeta de correo de Ambato;Estafeta de correo;Estafeta;4;Ambato;1772;;9999;;;AGI_Correos;;Quito;Lima;Correo
QUI;5600254;Correo_5600254;Estafeta de correo de Guano;Estafeta de correo;Estafeta;4;Guano;1808;;9999;;;AGI_Correos;;Quito;Lima;Correo
QUI;5600271;Correo_5600271;Estafeta de correo de Tulua;Estafeta de correo;Estafeta;4;Tulua;1783;;1788;;;AGI_Correos;;Popayan;Lima;Correo
QUI;5600271;Correo_5600271;Estafeta de correo de Tulua;Estafeta de correo;Estafeta;4;Tulua;1789;;9999;;;AGI_Correos;;Popayan;Santa Fe;Correo
QUI;5600433;Correo_5600433;Estafeta de correo de Tulcan;Estafeta de correo;Estafeta;4;Tulcan;1804;not_after;9999;not_after;;AGI_Correos;;Quito;Lima;Correo
QUI;5600505;Correo_5600505;Estafeta de correo de Roldanillo;Estafeta de correo;Estafeta;4;Roldanillo;1782;;1788;;reaparece solo 1794 en las cuentas de Santa Fe;AGI_Correos;;Popayan;Lima;Correo
QUI;5600505;Correo_5600505;Estafeta de correo de Roldanillo;Estafeta de correo;Estafeta;4;Roldanillo;1789;;9999;;reaparece solo 1794 en las cuentas de Santa Fe;AGI_Correos;;Popayan;Santa Fe;Correo
QUI;5600720;Correo_5600720;Estafeta de correo de Llano Grande;Estafeta de correo;Estafeta;4;Llano Grande;1782;;1788;;;AGI_Correos;;Popayan;Lima;Correo
QUI;5600720;Correo_5600720;Estafeta de correo de Llano Grande;Estafeta de correo;Estafeta;4;Llano Grande;1789;;9999;;;AGI_Correos;;Popayan;Santa Fe;Correo
QUI;5600762;Correo_5600762;Estafeta de correo de San Pablo;Estafeta de correo;Estafeta;4;San Pablo;1796;;9999;;;AGI_Correos;;Popayan;Santa Fe;Correo
PER;6000001;Correo_6000001;Administración de correo de Lima;Administración de correo;Subprincipal;2;Lima;1768;;9999;;;AGI_Correos;;;;Correo
PER;6000002;Correo_6000002;Administración de correo de Cuzco;Administración de correo;Subprincipal;2;Cuzco;1768;;9999;;;AGI_Correos;;Lima;Lima;Correo
PER;6000002;Correo_6000002;Estafeta de correo de Cuzco;Estafeta de correo;Estafeta;4;Cuzco;1769;;9999;;;AGI_Correos;;Lima;Lima;Correo
PER;6000003;Correo_6000003;Estafeta de correo de Trujillo;Estafeta de correo;Estafeta;4;Trujillo;1772;;9999;;;AGI_Correos;;Lima;Lima;Correo
PER;6000004;Correo_6000004;Estafeta de correo de Tarma;Estafeta de correo;Estafeta;4;Tarma;1783;;9999;;;AGI_Correos;;Lima;Lima;Correo
PER;6000005;Correo_6000005;Estafeta de correo de Huancavelica;Estafeta de correo;Estafeta;4;Huancavelica;1772;;9999;;;AGI_Correos;;Lima;Lima;Correo
PER;6000006;Correo_6000006;Estafeta de correo de Huamanga;Estafeta de correo;Estafeta;4;Huamanga;1772;;9999;;;AGI_Correos;;Lima;Lima;Correo
PER;6000007;Correo_6000007;Administración de correo de Arequipa;Administración de correo;Subprincipal;2;Arequipa;1772;;9999;;;AGI_Correos;;Lima;Lima;Correo
PER;6000008;Correo_6000008;Estafeta de correo de Callao;Estafeta de correo;Estafeta;4;Callao;1806;;9999;;;AGI_Correos;;Lima;Lima;Correo
PER;6000021;Correo_6000021;Estafeta de correo de Arica;Estafeta de correo;Estafeta;4;Arica;1772;;9999;;;AGI_Correos;;Lima;Lima;Correo
PER;6000026;Correo_6000026;Estafeta de correo de Tacna;Estafeta de correo;Estafeta;4;Tacna;1772;;9999;;;AGI_Correos;;Arequipa;Lima;Correo
PER;6000055;Correo_6000055;Estafeta de correo de Camana;Estafeta de correo;Estafeta;4;Camana;1772;;9999;;;AGI_Correos;;Ica;Lima;Correo
PER;6000057;Correo_6000057;Estafeta de correo de Acari;Estafeta de correo;Estafeta;4;Acari;1778;;9999;;;AGI_Correos;;Lima;Lima;Correo
PER;6000060;Correo_6000060;Estafeta de correo de Chala;Estafeta de correo;Estafeta;4;Chala;1777;;9999;;;AGI_Correos;;Lima;Lima;Correo
PER;6000062;Correo_6000062;Estafeta de correo de Ocoña;Estafeta de correo;Estafeta;4;Ocoña;1772;;9999;;;AGI_Correos;;Lima;Lima;Correo
