REG;gz_id;InstID;Label;Tipo;Cardinalidad;Rango;Lugar;START_;START_ex;END_;END_ex;Nota;Fuente;Orden;Superior;Principal;Domain
NES;1000001;Uni01;Universidad de Mexico;Universidad;Universidad Real y Pontificia;;México;1553;exact;9999;end;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);Secular;;;Universidades
SDO;3000001;Uni02;Universidad de Santo Tomás de Aquino;Universidad;Universidad Pontificia;;Santo Domingo;1538;exact;1746;exact;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);OP;;;Universidades
SDO;3000001;Uni02;Universidad de Santo Tomás de Aquino;Universidad;Universidad Real y Pontificia;;Santo Domingo;1747;exact;1799;exact;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);OP;;;Universidades
PER;6000001;Uni03;Universidad de San Marcos;Universidad;Universidad Real y Pontificia;;Lima;1551;exact;9999;end;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);Secular;;;Universidades
SDO;3000001;Uni04;Universidad de Santiago de la Paz;Universidad;Universidad Real;;Santo Domingo;1583;exact;1747;exact;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);SJ;;;Universidades
SDO;3000001;Uni04;Universidad de Santiago de la Paz;Universidad;Universidad Real y Pontificia;;Santo Domingo;1748;exact;1766;exact;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);SJ;;;Universidades
QUI;5600001;Uni05;Universidad de San Fulgencio;Universidad;Universidad;;Quito;1586;exact;1786;exact;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);OSA;;;Universidades
PER;6000001;Uni06;Universidad de San Ildefonso;Universidad;Universidad Real y Pontificia;;Lima;1608;exact;9999;end;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);OSA;;;Universidades
PER;6000002;Uni07;Universidad de San Ignacio de Loyola;Universidad;Universidad Colegio máximo;;Cuzco;1621;exact;1766;exact;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);SJ;;;Universidades
RPL;9000002;Uni08;Colegio máximo de la Compañía de Jesús;Colegio;Colegio máximo;;Córdoba;1621;exact;1766;exact;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);SJ;;;Universidades
CHL;7000001;Uni09;Colegio máximo  de San Miguel;Colegio;Colegio máximo;;Santiago;1621;exact;1766;exact;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);SJ;;;Universidades
QUI;5600001;Uni10;Universidad de San Gregorio Magno;Universidad;Universidad;;Quito;1622;exact;1768;exact;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);SJ;;;Universidades
NGR;5000001;Uni11;Academia de San Francisco Javier;Academia;Academia;;Santafé;1623;exact;1703;exact;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);SJ;;;Universidades
CHA;8000001;Uni12;Universidad de San Francisco Javier;Universidad;Universidad;;Charcas;1624;exact;1766;exact;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);SJ;;;Universidades
NES;1000022;Uni13;Universidad de Mérida;Universidad;Universidad Real y Pontificia;;Mérida;1624;exact;1766;exact;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);SJ;;;Universidades
NGR;5000001;Uni14;Universidad de Santo Tomás de Aquino;Universidad;Universidad;;Santafé;1639;exact;9999;end;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);OP;;;Universidades
GUA;2000003;Uni15;Colegio de Santo Tomás;Colegio;Colegio máximo;;Guatemala;1621;exact;1659;exact;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);OP;;;Universidades
GUA;2000003;Uni15;Colegio máximo de la Compañía de Jesús;Colegio;Colegio máximo;;Guatemala;1621;exact;1675;exact;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);SJ;;;Universidades
GUA;2000003;Uni15;Universidad de San Carlos Borromeo;Universidad;Universidad Real y Pontificia;;Guatemala;1676;exact;9999;end;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);Secular;;;Universidades
PER;6000006;Uni16;Universidad de San Cristóbal;Universidad;Universidad Real y Pontificia;;Huamanga;1680;exact;9999;end;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);Secular;;;Universidades
CHL;7000001;Uni17;Universidad de Santo Tomás de Aquino;Universidad;Universidad;;Santiago;1685;exact;1747;ca;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);OP;;;Universidades
QUI;5600001;Uni18;Universidad de Santo Tomás de Aquino;Universidad;Universidad;;Quito;1688;exact;1787;exact;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);OP;;;Universidades
PER;6000002;Uni19;Universidad de San Antonio Abad;Universidad;Universidad;;Cuzco;1692;exact;9999;end;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);OP;;;Universidades
NGR;5000001;Uni20;Universidad de San Nicolás de Bari;Universidad;Universidad;;Santafé;1694;exact;9999;end;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);OSA;;;Universidades
NGR;5000001;Uni14;Universidad de San Francisco Javier;Universidad;Universidad;;Santafé;1704;exact;1766;exact;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);SJ;;;Universidades
VEN;4000001;Uni21;Universidad de Santa Rosa de Lima;Universidad;Universidad Real y Pontificia;;Caracas;1721;exact;9999;end;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);Secular;;;Universidades
CHL;7000002;Uni22;Universidad Pencopolitana;Universidad;Universidad Pontificia;;Concepción;1724;exact;1766;exact;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);SJ;;;Universidades
SDO;3000004;Uni23;Universidad de San Jerónimo;Universidad;Universidad Real y Pontificia;;La Habana;1728;exact;9999;end;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);OP;;;Universidades
CHL;7000001;Uni24;Universidad de San Felipe;Universidad;Universidad Real y Pontificia;;Santiago;1747;exact;9999;end;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);Secular;;;Universidades
NGR;5000002;Uni25;Universidad de San Francisco Javier;Universidad;Universidad Real y Pontificia;;Panamá;1749;exact;1766;exact;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);SJ;;;Universidades
NGR;5000002;Uni25;Universidad de San Francisco Javier;Universidad;Universidad Real y Pontificia;;Panamá;1767;exact;1781;exact;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);Secular;;;Universidades
NGR;5000001;Uni14;Universidad de San Francisco Javier;Universidad;Universidad;;Santafé;1767;exact;9999;end;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);Secular;;;Universidades
CHA;8000001;Uni12;Universidad de San Francisco Javier;Universidad;Universidad;;Charcas;1767;exact;9999;end;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);Secular;;;Universidades
RPL;9000002;Uni08;Universidad de San Carlos;Universidad;Universidad;;Córdoba;1767;exact;1799;exact;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);OFM;;;Universidades
RPL;9000002;Uni26;Colegio de Monserrat;Colegio;Colegio máximo;;Córdoba;1778;exact;1799;exact;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);OFM;;;Universidades
QUI;5600001;Uni27;Universidad pública;Universidad;Universidad;;Quito;1788;exact;9999;end;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);Secular;;;Universidades
GDJ;1000002;Uni28;Universidad de Santo Tomás;Universidad;Universidad Real y Pontificia;;Guadalajara;1791;exact;9999;end;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);Secular;;;Universidades
RPL;9000002;Uni08;Universidad de San Carlos y Nuestra Señora de Monserrat;Universidad;Universidad Real;;Córdoba;1800;exact;1807;exact;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);OFM;;;Universidades
RPL;9000002;Uni08;Universidad de San Carlos y Nuestra Señora de Monserrat;Universidad;Universidad Real y Pontificia;;Córdoba;1808;exact;9999;end;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);Secular;;;Universidades
PER;8000041;Caja_Carabaya_CHA;Caja real de Carabaya;Caja real;Principal;2;Carabaya;1690;;1796;;Morales Padrón: 1721, pero hay cuentas desde 1690;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
CHA;8000281;Caja_Carangas_CHA;Caja real de Carangas;Caja real;Principal;2;Carangas;1652;;1803;;;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
CHA;8000001;Caja_Charcas_CHA;Caja real de Charcas;Caja real;Principal;2;Charcas;1578;;1692;;;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
PER;8000018;Caja_Chucuito_CHA;Caja real de Chucuito;Caja real;Principal;2;Chucuito;1707;;1802;;;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
CHA;8000004;Caja_Cochabamba_CHA;Caja real de Cochabamba;Caja real;Principal;2;Cochabamba;1773;;9999;;;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
CHA;8000005;Caja_La_Paz_CHA;Caja real de La Paz;Caja real;Principal;2;La Paz;1601;;9999;;;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
CHA;8000010;Caja_Oruro_CHA;Caja real de Oruro;Caja real;Principal;2;Oruro;1606;;9999;;Morales Padrón: 1609;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
CHA;8000006;Caja_Potosí_CHA;Caja real de Potosí;Caja real;Principal;2;Potosí;1549;;9999;;;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
PER;8000002;Caja_Chucuito_CHA;Caja real de Puno;Caja real;Principal;2;Puno;1803;;9999;;;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
CHA;8000009;Caja_Santa_Cruz_de_la_Sierra_CHA;Caja real de Santa Cruz de la Sierra;Caja real;Principal;2;Santa Cruz de la Sierra;1789;;1802;;;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
CHL;7000007;Caja_Chiloé_CHL;Caja real de Chiloé;Caja real;Principal;2;Chiloé;1782;;9999;;;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
CHL;7000002;Caja_Concepción_CHL;Caja real de Concepción;Caja real;Principal;2;Concepción;1111;;1111;;Morales Padrón:  siglo XVI!;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
CHL;7000002;Caja_Concepción_CHL;Caja real de Concepción;Caja real;Principal;2;Concepción;1708;;9999;;;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
CHL;7000001;Caja_Santiago_de_Chile_CHL;Caja real de Santiago de Chile;Caja real;Principal;2;Santiago de Chile;1567;;9999;;;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
CHL;7000005;Caja_Valdivia_CHL;Caja real de Valdivia;Caja real;Principal;2;Valdivia;1767;;9999;;;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
GDJ;1000202;Caja_Sinaloa_GDJ;Caja real de Alamos;Caja real;Principal;2;Alamos;1770;;1782;;Morales Padrón: 1772?;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
GDJ;1000017;Caja_Sonora_GDJ;Caja real de Arizpe;Caja real;Principal;2;Arizpe;1781;;9999;;;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
GDJ;1000051;Caja_Bolaños_GDJ;Caja real de Bolaños;Caja real;Principal;2;Bolaños;1752;;9999;;;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
GDJ;1000003;Caja_Chihuahua_GDJ;Caja real de Chihuahua;Caja real;Principal;2;Chihuahua;1775;;9999;;;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
GDJ;1000204;Caja_Sinaloa_GDJ;Caja real de Cosalá;Caja real;Principal;2;Cosalá;1807;;9999;;;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
GDJ;1000004;Caja_Durango_GDJ;Caja real de Durango;Caja real;Principal;2;Durango;1599;;9999;;;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
GDJ;1000002;Caja_Guadalajara_GDJ;Caja real de Guadalajara;Caja real;Principal;2;Guadalajara;1559;;9999;;;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
GDJ;1000210;Caja_Sinaloa_GDJ;Caja real de Rosario;Caja real;Principal;2;Rosario;1783;;1806;;;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
GDJ;1000042;Caja_Saltillo_GDJ;Caja real de Saltillo;Caja real;Principal;2;Saltillo;1794;;9999;;;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
GDJ;1000059;Caja_San_Blas_GDJ;Caja real de San Blas;Caja real;Principal;2;San Blas;1774;;9999;;;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
GDJ;1000240;Caja_Sombrerete_GDJ;Caja real de Sombrerete;Caja real;Principal;2;Sombrerete;1668;;9999;;;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
GUA;2000132;Caja_Acajutla_GUA;Caja real de Acajutla;Caja real;Principal;2;Acajutla;1111;;1111;;Morales Padrón: siglo XVII;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
GUA;2000010;Caja_Cartago_GUA;Caja real de Cartago;Caja real;Principal;2;Cartago;1111;;1111;;Morales Padrón: siglo XVII;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
GUA;2000042;Caja_Chiapas_GUA;Caja real de Chiapa;Caja real;Principal;2;Chiapa;1540;;1543;;;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
GUA;2000005;Caja_Chiapas_GUA;Caja real de Chiapa;Caja real;Principal;2;Chiapa;1544;;1549;;;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
GUA;2000005;Caja_Chiapas_GUA;Caja real de Chiapas;Caja real;Principal;2;Chiapas;1801;;9999;;;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
GUA;2000009;Caja_Honduras_GUA;Caja real de Honduras;Caja real;Principal;2;Honduras;1527;;1543;;Cuentas en el AGI hasta 1679;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
GUA;2000001;Caja_Honduras_GUA;Caja real de Honduras;Caja real;Principal;2;Honduras;1544;;1563;;Cuentas en el AGI hasta 1679;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
GUA;2000006;Caja_Honduras_GUA;Caja real de Comayagua;Caja real;Principal;2;Comayagua;1564;;1679;;Cuentas en el AGI hasta 1679;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
GUA;2000680;Caja_Granada_GUA;Caja real de Granada;Caja real;Principal;2;Granada;1111;;1111;;Morales Padrón: siglo XVII;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
GUA;2000003;Caja_Guatemala_GUA;Caja real de Guatemala;Caja real;Principal;2;Guatemala;1529;;9999;;;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
GUA;2000007;Caja_León_GUA;Caja real de León;Caja real;Principal;2;León;1573;;1695;;Cuentas en el AGI hasta 1695;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
GUA;2000677;Caja_Nueva_Segovia_GUA;Caja real de Nueva Segovia;Caja real;Principal;2;Nueva Segovia;1111;;1111;;Morales Padrón: siglo XVI;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
GUA;2000246;Caja_San_Pedro_Sula_GUA;Caja real de San Pedro Sula;Caja real;Principal;2;San Pedro Sula;1111;;1111;;Morales Padrón: siglo XVI;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
GUA;2000131;Caja_Sonsonate_GUA;Caja real de Sonsonate;Caja real;Principal;2;Sonsonate;1605;;1674;;Cuentas en el AGI hasta 1615;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
GUA;2000264;Caja_Tegucigalpa_GUA;Caja real de Tegucigalpa;Caja real;Principal;2;Tegucigalpa;1111;;1662;;Hay cuentas para 1662.;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
NES;1000006;Caja_Acapulco_NES;Caja real de Acapulco;Caja real;Principal;2;Acapulco;1590;;9999;;;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
NES;1000226;Caja_Campeche_NES;Caja real de Campeche;Caja real;Principal;2;Campeche;1716;;9999;;Morales Padrón: Funcionaba en 1578.?;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
NES;1000005;Caja_Guanajuato_NES;Caja real de Guanajuato;Caja real;Principal;2;Guanajuato;1665;;9999;;;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
NES;1000022;Caja_Mérida_NES;Caja real de Mérida;Caja real;Principal;2;Mérida;1540;;9999;;;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
NES;1000001;Caja_México_NES;Caja real de México;Caja real;Principal;2;México;1521;;1604;;;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
NES;1000008;Caja_Michoacán_NES;Caja real de Michoacán;Caja real;Principal;2;Michoacán;1761;;9999;;;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
NES;1000014;Caja_Oaxaca_NES;Caja real de Oaxaca;Caja real;Principal;2;Oaxaca;1790;;9999;;;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
NES;1000007;Caja_Pachuca_NES;Caja real de Pachuca;Caja real;Principal;2;Pachuca;1667;;9999;;;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
NES;1000217;Caja_Panuco_NES;Caja real de Panuco;Caja real;Principal;2;Panuco;1111;;1111;;Morales Padrón: siglo XVI;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
NES;1005098;Caja_Perote_NES;Caja real de Perote;Caja real;Principal;2;Perote;1786;;9999;;;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
NES;1004862;Caja_Presidio_del_Carmen_NES;Caja real de Presidio del Carmen;Caja real;Principal;2;Presidio del Carmen;1729;;1731;;;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
NES;1004862;Caja_Presidio_del_Carmen_NES;Caja real de Presidio del Carmen;Caja real;Principal;2;Presidio del Carmen;1775;;9999;;Morales Padrón: 1770?;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
NES;1000015;Caja_Puebla_NES;Caja real de Puebla;Caja real;Principal;2;Puebla;1698;;1728;;;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
NES;1000015;Caja_Puebla_NES;Caja real de Puebla;Caja real;Principal;2;Puebla;1787;;9999;;;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
NES;1000016;Caja_San_Luis_Potosí_NES;Caja real de San Luis Potosí;Caja real;Principal;2;San Luis Potosí;1628;;9999;;;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
NES;1004860;Caja_Tabasco_NES;Caja real de Tabasco;Caja real;Principal;2;Tabasco;1601;;1732;;Morales Padrón: A partir de 1769?;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
NES;1000021;Caja_Veracruz_NES;Caja real de Veracruz;Caja real;Principal;2;Veracruz;1531;;9999;;;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
GDJ;1000024;Caja_Zacatecas_NES;Caja real de Zacatecas;Caja real;Principal;2;Zacatecas;1544;;9999;;;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
NES;1000117;Caja_Zimapan_NES;Caja real de Zimapan;Caja real;Principal;2;Zimapan;1722;;9999;;;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
NGR;5000013;Caja_Veragua_NGR;Caja real de Veragua;Caja real;Principal;2;Veragua;1111;;1111;;Morales Padrón: siglo XVI;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
PER;6000007;Caja_Arequipa_PER;Caja real de Arequipa;Caja real;Principal;2;Arequipa;1599;;9999;;;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
PER;6000021;Caja_Arica_PER;Caja real de Arica;Caja real;Principal;2;Arica;1642;;9999;;Suprimida en ocasiones?;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
PER;6000070;Caja_Cailloma_PER;Caja real de Cailloma;Caja real;Principal;2;Cailloma;1631;;1779;;;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
PER;6000610;Caja_Castrovirreyna_PER;Caja real de Castrovirreyna;Caja real;Principal;2;Castrovirreyna;1600;;1630;;Morales Padrón: siglo XVI y XVII;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
PER;6001262;Caja_Chachapoyas_PER;Caja real de Chachapoyas;Caja real;Principal;2;Chachapoyas;1627;;1639;;;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
PER;6000002;Caja_Cuzco_PER;Caja real de Cuzco;Caja real;Principal;2;Cuzco;1532;;9999;;;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
PER;6000006;Caja_Huamanga_PER;Caja real de Huamanga;Caja real;Principal;2;Huamanga;1764;;9999;;;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
PER;6000005;Caja_Huancavelica_PER;Caja real de Huancavelica;Caja real;Principal;2;Huancavelica;1577;;1784;;;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
PER;6001133;Caja_Jauja_PER;Caja real de Jauja;Caja real;Principal;2;Jauja;1730;;1785;;;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
PER;6000001;Caja_Lima_PER;Caja real de Lima;Caja real;Principal;2;Lima;1532;;1604;;;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
PER;6001391;Caja_Piura_y_Paita_PER;Caja real de Piura y Paita;Caja real;Principal;2;Piura y Paita;1600;;1779;;;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
PER;6000611;Caja_San_Juan_de_Matucana_PER;Caja real de San Juan de Matucana;Caja real;Principal;2;San Juan de Matucana;1721;;1729;;;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
PER;6001415;Caja_Saña_PER;Caja real de Saña;Caja real;Principal;2;Saña;1722;;1761;;;MORALES PADRON, Francisco: Atlas histórico-cultural de América, 2 vols. (Las Palmas de Gran Canaria 1988).;;;;Cajas
